ID,活跃度类型,活跃值,奖励,活动掉落
ID,ActiveType,Active,Reward,HdDrop
int,int,int,list,list
1,1,20,5002:1;11:10000,150:1;158:1;15025:1;219:1
2,1,40,9002:1;5:15000,500:1;150:1;158:1;15025:1;219:1
3,1,60,115:1;11:15000,501:1;150:1;158:1;15025:1;219:1
4,1,80,115:1;5:20000,502:1;150:1;158:1;15025:1;203:1;219:1
5,1,100,115:1;11:25000;26:50;15099:1,503:1;150:1;158:1;15025:1;203:1;219:1
6,2,20,12122:1;1:20000,150:1;158:1;15025:1;219:3
7,2,40,12122:1;5:20000,150:1;158:1;15025:1;219:3
8,2,60,12122:1;11:20000;26:100,503:1;150:1;158:1;15025:1;219:3
9,2,80,116:1;5:40000;26:150,503:2;150:1;158:1;15025:1;219:3
10,2,100,116:1;11:30000;26:300;15100:1,503:3;150:1;158:1;15025:1;219:3
