唯一id,商品标识,名称,解锁条件,金额,奖励1,倒计时,价值,弹出次数,是否弹出,累计充值
Id,ProductID,Name,TriggeringCondition,Money,Reward,Time,Value,Popup,PopupWindow,Recharge
int,int,string,list,float,list,int,int,int,int,int
65,1,吉芬地下20专属礼包,7:30020,98.0,12144:1;139:1;115:11,43200,500,1,1,1
66,1,吉芬地下20专属礼包,7:30020,98.0,12144:1;139:1;115:11,43200,500,1,1,2
67,1,吉芬地下20专属礼包,7:30020,98.0,12144:1;139:1;115:11,43200,500,1,1,3
68,2,苏克拉特沙漠10专属礼包,7:50010,168.0,12144:2;138:2;139:2;115:11,43200,500,1,1,1
69,2,苏克拉特沙漠10专属礼包,7:50010,168.0,12144:2;138:2;139:2;115:11,43200,500,1,1,2
70,2,苏克拉特沙漠10专属礼包,7:50010,168.0,12144:2;138:2;139:2;115:11,43200,500,1,1,3
71,3,焦土平原30专属礼包,7:120030,198.0,513:2;137:2;139:1;116:11,43200,400,1,1,1
72,3,焦土平原30专属礼包,7:120030,198.0,513:2;137:2;139:1;116:11,43200,400,1,1,2
73,3,焦土平原30专属礼包,7:120030,198.0,513:2;137:2;139:1;116:11,43200,400,1,1,3
74,4,焦土平原70专属礼包,7:120070,198.0,513:2;137:2;139:1;116:11,43200,400,1,1,1
75,4,焦土平原70专属礼包,7:120070,198.0,513:2;137:2;139:1;116:11,43200,400,1,1,2
76,4,焦土平原70专属礼包,7:120070,198.0,513:2;137:2;139:1;116:11,43200,400,1,1,3
77,5,虚影峡谷30专属礼包,7:130030,98.0,12144:1;139:1;2:1000,43200,300,1,1,1
78,5,虚影峡谷30专属礼包,7:130030,328.0,12144:2;139:2;116:30;2:1000,43200,300,1,1,2
79,5,虚影峡谷30专属礼包,7:130030,648.0,12144:3;139:4;116:50;2:3000,43200,300,1,1,3
80,6,虚影峡谷80专属礼包,7:130080,6.0,531:2;2:60,43200,500,1,1,1
81,6,虚影峡谷80专属礼包,7:130080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
82,6,虚影峡谷80专属礼包,7:130080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
83,7,莱蒂斯丘陵30专属礼包,7:140030,30.0,531:2;138:1;115:4,43200,400,1,1,1
84,7,莱蒂斯丘陵30专属礼包,7:140030,198.0,513:2;138:2;115:11;2:298,43200,400,1,1,2
85,7,莱蒂斯丘陵30专属礼包,7:140030,648.0,513:3;138:4;115:50;2:3000,43200,300,1,1,3
86,8,莱蒂斯丘陵80专属礼包,7:140080,30.0,531:2;139:1;116:4,43200,400,1,1,1
87,8,莱蒂斯丘陵80专属礼包,7:140080,198.0,513:2;139:2;116:11;2:298,43200,400,1,1,2
88,8,莱蒂斯丘陵80专属礼包,7:140080,648.0,513:3;139:4;116:50;2:3000,43200,400,1,1,3
89,9,地下矿道30专属礼包,7:150030,98.0,12144:1;139:1;2:1000,43200,300,1,1,1
90,9,地下矿道30专属礼包,7:150030,328.0,12144:2;139:2;116:30;2:1000,43200,300,1,1,2
