ID,档位类型,消耗的道具数量:增加的好感度,活动ID
Id,Classitemid,Classcostaddlike,Activityid
int,int,list,int
1,206,1:10:0;50:500:0;99:990:0;520:5200:1;1314:13140:1,60
2,207,1:1:0;50:50:0;100:100:0;999:999:0,60
3,209,1:10:0;50:500:0;100:1000:0;500:5000:1,59
4,208,1:30:0;50:1500:0;90:2700:0,59
5,211,1:10:0;10:100:0;100:1000:1;666:6660:1,61
6,212,1:10:0;10:100:0;100:1000:0;666:6660:0,61
7,213,1:1314:1,62
8,214,1:1:0;9:9:0;99:99:0;999:999:0,62
9,223,1:1314:1,65
10,224,1:1:0;9:9:0;99:99:0;999:999:0,65
11,222,1:10:0;50:500:0;100:1000:0;500:5000:1,66
12,221,1:30:0;50:1500:0;90:2700:0,66
13,230,1:1000:1,87
14,231,1:10:0;50:500:0;100:1000:0,87
15,235,1:1000:1,89
16,236,1:5:0;10:50:0;100:500:0,89
17,240,1:1000:1,95
18,241,1:10:0;10:100:0;100:1000:0,95
19,247,1:1000:1,99
20,246,1:10:0;10:100:0;100:1000:0,99
21,248,1:1000:1,100
22,249,1:10:0;10:100:0;100:1000:0,100
23,256,1:1000:1,104
24,257,1:10:0;10:100:0;100:1000:0,104
25,258,1:1000:1,119
26,259,1:10:0;10:100:0;100:1000:0,119
27,262,1:1000:1,126
28,263,1:10:0;10:100:0;100:1000:0,126
29,269,1:1000:1,141
30,270,1:10:0;10:100:0;100:1000:0,141
33,275,1:1000:1,142
34,276,1:10:0;10:100:0;100:1000:0,142
31,273,1:1000:1,140
32,274,1:10:0;10:100:0;100:1000:0,140
