唯一id,显示排序,兑换条件1,兑换条件2,全服奖励数量,兑换数量,兑换奖励,活动Id,类型,是否系统公告,筛选范围,刷新天数
Id,Order,ExchangeCondition1,ExchangeCondition2,ServersReward,Number,Reward,ActivitiesId,Type,Broadcast,Scope,ResetDay
int,int,list,list,int,int,list,int,int,int,list,int
1,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,17,0,1,,0
2,2,1:817:1:20:1,,,10,848:1,17,0,0,,0
3,1,1:837:1:3:2,2:3:1:3:2,,3,830:1,18,0,1,,0
4,2,1:815:1:20:1,,,10,837:1,18,0,0,,0
5,1,1:832:1:3:2,2:3:1:3:2,,3,830:1,19,0,1,,0
6,2,1:813:1:20:1,,,10,832:1,19,0,0,,0
7,1,1:840:1:3:2,2:3:1:3:2,,3,830:1,20,0,1,,0
8,2,1:816:1:20:1,,,10,840:1,20,0,0,,0
9,1,1:833:1:3:2,2:3:1:3:2,,3,830:1,21,0,1,,0
10,2,1:814:1:20:1,,,10,833:1,21,0,0,,0
11,1,1:843:1:3:2,2:3:1:3:2,,3,830:1,22,0,1,,0
12,2,1:824:1:20:1,,,10,843:1,22,0,0,,0
13,1,1:823:1:3:2,2:3:1:3:2,,3,830:1,23,0,1,,0
14,2,1:811:1:20:1,,,10,823:1,23,0,0,,0
15,1,1:839:1:3:2,2:3:1:3:2,,3,830:1,24,0,1,,0
16,2,1:820:1:20:1,,,10,839:1,24,0,0,,0
17,1,1:847:1:3:2,2:3:1:3:2,,3,830:1,25,0,1,,0
18,2,1:822:1:20:1,,,10,847:1,25,0,0,,0
19,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,26,0,1,,0
20,2,1:817:1:20:1,,,10,848:1,26,0,0,,0
21,1,1:837:1:3:2,2:3:1:3:2,,3,830:1,27,0,1,,0
22,2,1:815:1:20:1,,,10,837:1,27,0,0,,0
23,1,1:832:1:3:2,2:3:1:3:2,,3,830:1,28,0,1,,0
24,2,1:813:1:20:1,,,10,832:1,28,0,0,,0
25,1,1:840:1:3:2,2:3:1:3:2,,3,830:1,29,0,1,,0
26,2,1:816:1:20:1,,,10,840:1,29,0,0,,0
27,1,1:833:1:3:2,2:3:1:3:2,,3,830:1,30,0,1,,0
28,2,1:814:1:20:1,,,10,833:1,30,0,0,,0
29,1,1:843:1:3:2,2:3:1:3:2,,3,830:1,31,0,1,,0
30,2,1:824:1:20:1,,,10,843:1,31,0,0,,0
31,1,1:823:1:3:2,2:3:1:3:2,,3,830:1,32,0,1,,0
32,2,1:811:1:20:1,,,10,823:1,32,0,0,,0
33,1,1:839:1:3:2,2:3:1:3:2,,3,830:1,33,0,1,,0
34,2,1:820:1:20:1,,,10,839:1,33,0,0,,0
35,1,1:847:1:3:2,2:3:1:3:2,,3,830:1,34,0,1,,0
36,2,1:822:1:20:1,,,10,847:1,34,0,0,,0
37,1,1:16:210:188,2:9:2:2:3,,5,12338:1,58,1,1,12231:12232:12259:12234:12235:12261:12262:12263:12264:12265:12291:12236:12280:12246:12269:12266:12267:12268:12240:12270:12275:12242:12243:12244:12245:12271:12272:12273:12274:12241:12239:12247:12248:12249:12250:12276:12277:12278:12279:12237:12251:12254:12281:12252:12255:12253:12282:12283:12284:12285:12256:12257:12258:12290:12260:12286:12287:12288:12289:12233,1
