序列id,签到类型,签到奖励,Vip等级,活动Id,签到天数
ID,SignInType,SignInReward,VipLevel,ActivitiesId,Day
int,int,list,int,int,int
1,0,15062:4,,92,1
2,0,15063:2,,92,2
3,0,110:3,,92,3
4,0,15064:4,,92,4
5,0,15062:2,,92,5
6,0,15063:2,,92,6
7,0,110:3,,92,7
8,0,15064:4,,92,8
9,0,15063:2,,92,9
10,0,15062:5,,92,10
11,0,15063:2,,92,11
12,0,110:3,,92,12
13,0,15064:4,,92,13
14,0,15063:2,,92,14
15,0,15062:2,,92,15
16,0,15063:2,,92,16
17,0,110:3,,92,17
18,0,15064:4,,92,18
19,0,15063:2,,92,19
20,0,15062:5,,92,20
21,0,15063:2,,92,21
22,0,110:3,,92,22
23,0,15064:4,,92,23
24,0,15063:2,,92,24
25,0,15062:2,,92,25
26,0,15063:2,,92,26
27,0,110:3,,92,27
28,0,11201:1,,92,28
29,0,15063:2,,92,29
30,0,595:1,,92,30
