任务ID,任务枚举,任务奖励,是否显示进度,积分
TaskId,TaskCondition,Reward,ShowState,Integral
int,list,list,int,int
1,1:15,12838:1;26:100;23:1,1,1
2,37:15,115:5;26:100;23:1,1,1
3,48:2:4,530:10;26:100;23:1,1,1
4,22:1,601:5;26:100;23:1,1,1
5,51:1,1:10000;26:100;23:1,1,1
6,58:10,12838:1;26:100;23:1,1,1
7,37:35,115:5;26:100;23:1,1,1
8,48:2:10,530:10;26:100;23:1,1,1
9,53:1,601:10;26:100;23:1,1,1
10,51:10,1:20000;26:100;23:1,1,1
11,58:20,12838:1;26:100;23:1,1,1
12,37:50,115:5;26:100;23:1,1,1
13,48:2:15,530:10;26:100;23:1,1,1
14,62:1,12838:1;26:100;23:1,1,1
15,51:20,601:20;26:100;23:1,1,1
16,58:30,12838:1;26:100;23:1,1,1
17,37:70,115:3;26:100;23:1,1,1
18,48:3:10,530:10;26:100;23:1,1,1
19,64:1,601:30;26:100;23:1,1,1
20,44:2:10,1:30000;26:100;23:1,1,1
21,58:40,12838:1;26:100;23:1,1,1
22,37:80,115:3;26:100;23:1,1,1
23,48:3:15,530:10;26:100;23:1,1,1
24,64:1,601:40;26:100;23:1,1,1
25,44:2:30,1:40000;26:100;23:1,1,1
26,58:50,12838:1;26:100;23:1,1,1
27,37:90,115:3;26:100;23:1,1,1
28,48:3:20,530:10;26:100;23:1,1,1
29,64:1,601:50;26:100;23:1,1,1
30,44:3:3,1:50000;26:100;23:1,1,1
31,58:60,12838:1;26:100;23:1,1,1
32,37:100,115:3;26:100;23:1,1,1
33,48:3:35,530:10;26:100;23:1,1,1
34,64:1,601:50;26:100;23:1,1,1
35,44:3:5,1:50000;26:100;23:1,1,1
36,58:70,942:1;26:100;23:1,1,1
37,37:115,5:25000;26:100;23:1,1,1
38,48:3:40,11:20000;26:100;23:1,1,1
39,64:1,19:10000;26:100;23:1,1,1
40,44:3:6,942:1;26:100;23:1,1,1
41,58:80,942:1;26:100;23:1,1,1
42,37:130,5:30000;26:100;23:1,1,1
43,48:3:50,11:22000;26:100;23:1,1,1
44,64:1,19:12000;26:100;23:1,1,1
45,44:3:7,942:1;26:100;23:1,1,1
46,58:90,942:1;26:100;23:1,1,1
47,37:145,5:30000;26:100;23:1,1,1
48,48:3:60,11:24000;26:100;23:1,1,1
49,64:1,19:14000;26:100;23:1,1,1
50,44:3:9,942:1;26:100;23:1,1,1
51,58:100,942:1;26:100;23:1,1,1
52,37:160,5:30000;26:100;23:1,1,1
53,48:3:70,11:26000;26:100;23:1,1,1
54,64:1,19:16000;26:100;23:1,1,1
55,44:3:11,942:1;26:100;23:1,1,1
56,58:110,942:1;26:100;23:1,1,1
57,37:175,5:30000;26:100;23:1,1,1
58,48:3:80,11:28000;26:100;23:1,1,1
59,64:1,19:20000;26:100;23:1,1,1
60,44:3:13,942:1;26:100;23:1,1,1
61,58:120,942:1;26:100;23:1,1,1
62,37:190,5:30000;26:100;23:1,1,1
63,48:3:90,11:30000;26:100;23:1,1,1
64,64:1,19:22000;26:100;23:1,1,1
65,44:3:15,942:1;26:100;23:1,1,1
66,58:130,942:1;26:100;23:1,1,1
67,37:200,5:30000;26:100;23:1,1,1
68,48:3:100,11:32000;26:100;23:1,1,1
69,64:1,19:25000;26:100;23:1,1,1
70,44:3:17,942:1;26:100;23:1,1,1
