唯一id,充值金额,奖励1,奖励天数,奖励档次
Id,RechargeAmount,Reward,Day,Index
int,float,list,int,int
1,1.0,175:10;531:1;2:10;127:1;125:1,1,1
2,30.0,175:100;531:2;2:68;126:1;125:1,1,2
3,68.0,175:100;531:3;2:88;127:1;125:1,1,3
4,128.0,175:200;627:1;2:188;126:2;125:2,1,4
5,328.0,175:300;687:1;2:333;127:2;125:2,1,5
6,648.0,175:500;687:1;2:666;126:2;127:2,1,6
7,1296.0,175:1000;520:1;531:5;2:777;134:1,1,7
8,1944,175:1000;687:1;531:6;2:888;138:1,1,8
9,2592,175:1000;520:1;531:7;2:999;138:1,1,9
10,1.0,528:1;2:10;127:1;125:1,15,1
11,30.0,531:2;2:68;126:1;125:1,15,2
12,68.0,531:3;2:88;127:1;125:1,15,3
13,128.0,198:2;2:188;126:2;129:1,15,4
14,328.0,687:1;2:333;127:2;125:2,15,5
15,648.0,687:1;2:666;127:2;126:2,15,6
16,1296.0,610:1;531:5;134:1;129:1,15,7
17,1944,687:1;531:10;2:888;138:1,15,8
18,2592,610:1;520:1;138:1;129:1,15,9
19,1.0,528:1;47:20000;531:1;2:10,29,1
20,30.0,115:5;47:50000;531:2;2:68,29,2
21,68.0,116:5;47:50000;531:3;2:88,29,3
22,128.0,45:20000;47:50000;531:4;2:188,29,4
23,328.0,687:1;47:50000;531:5;2:333,29,5
24,648.0,687:1;47:50000;531:6;2:666,29,6
25,1296.0,610:1;47:50000;134:1;2:777,29,7
26,1944,687:1;47:100000;531:8;2:888,29,8
27,2592,610:1;47:100000;138:1;2:999,29,9
