唯一id,好感度等级,好感度上限,好感度固定值对应奖励,活动ID
Id,Likelevel,LikeMax,Conditionrewards,Activityid
int,int,int,list,int
1,1,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
2,2,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
3,3,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
4,4,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
5,5,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
6,6,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
7,7,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
8,8,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
9,9,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
10,10,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
11,11,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
12,12,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
13,13,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
14,14,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
15,15,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
16,16,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
17,17,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
18,18,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
19,19,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
20,20,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
21,21,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
22,22,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
23,23,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
24,24,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
25,25,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
26,26,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
27,27,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
28,28,12000,1500:531:5;4000:100:50;7000:110:25;12000:850:1,60
29,1,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
30,2,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
31,3,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
32,4,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
33,5,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
34,6,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
35,7,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
36,8,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
37,9,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
38,10,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
39,11,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
40,12,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
41,13,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
42,14,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
43,15,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
44,16,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
45,17,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
46,18,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
47,19,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
48,20,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
49,21,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
50,22,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
51,23,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
52,24,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
53,25,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
54,26,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
55,27,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
56,28,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,59
57,1,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
58,2,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
59,3,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
60,4,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
61,5,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
62,6,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
63,7,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
64,8,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
65,9,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
66,10,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
67,11,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
68,12,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
69,13,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
70,14,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
71,15,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
72,16,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
73,17,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
74,18,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
75,19,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
76,20,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
77,21,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
78,22,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
79,23,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
80,24,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
81,25,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
82,26,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
83,27,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
84,28,6660,1000:100:50;2500:12191:1;4000:110:25;6660:849:1,61
85,1,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
86,2,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
87,3,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
88,4,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
89,5,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
90,6,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
91,7,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
92,8,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
93,9,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
94,10,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
95,11,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
96,12,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
97,13,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
98,14,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
99,15,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
100,16,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
101,17,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
102,18,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
103,19,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
104,20,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
105,21,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
106,22,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
107,23,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
108,24,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
109,25,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
110,26,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
111,27,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
112,28,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,62
113,1,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
114,2,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
115,3,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
116,4,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
117,5,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
118,6,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
119,7,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
120,8,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
121,9,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
122,10,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
123,11,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
124,12,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
125,13,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
126,14,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
127,15,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
128,16,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
129,17,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
130,18,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
131,19,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
132,20,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
133,21,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
134,22,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
135,23,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
136,24,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
137,25,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
138,26,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
139,27,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
140,28,1314,188:100:25;500:100:25;750:110:15;1000:110:15;1314:852:1,65
141,1,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
142,2,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
143,3,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
144,4,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
145,5,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
146,6,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
147,7,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
148,8,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
149,9,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
150,10,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
151,11,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
152,12,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
153,13,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
154,14,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
155,15,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
156,16,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
157,17,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
158,18,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
159,19,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
160,20,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
161,21,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
162,22,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
163,23,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
164,24,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
165,25,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
166,26,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
167,27,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
168,28,10000,2500:12146:1;5000:12146:1;7500:12146:1;10000:829:1,66
169,1,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
170,2,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
171,3,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
172,4,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
173,5,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
174,6,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
175,7,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
176,8,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
177,9,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
178,10,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
179,11,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
180,12,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
181,13,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
182,14,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
183,15,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
184,16,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
185,17,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
186,18,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
187,19,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
188,20,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
189,21,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
190,22,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
191,23,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
192,24,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
193,25,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
194,26,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
195,27,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
196,28,1000,200:141:5;400:141:7;600:141:9;800:141:10;1000:853:1,87
197,1,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
198,2,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
199,3,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
200,4,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
201,5,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
202,6,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
203,7,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
204,8,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
205,9,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
206,10,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
207,11,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
208,12,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
209,13,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
210,14,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
211,15,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
212,16,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
213,17,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
214,18,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
215,19,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
216,20,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
217,21,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
218,22,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
219,23,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
220,24,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
221,25,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
222,26,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
223,27,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
224,28,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:853:1,89
225,1,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
226,2,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
227,3,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
228,4,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
229,5,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
230,6,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
231,7,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
232,8,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
233,9,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
234,10,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
235,11,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
236,12,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
237,13,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
238,14,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
239,15,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
240,16,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
241,17,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
242,18,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
243,19,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
244,20,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
245,21,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
246,22,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
247,23,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
248,24,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
249,25,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
250,26,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
251,27,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
252,28,1000,100:100:25;300:100:25;500:100:25;750:110:15;1000:854:1,95
253,1,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
254,2,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
255,3,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
256,4,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
257,5,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
258,6,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
259,7,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
260,8,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
261,9,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
262,10,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
263,11,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
264,12,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
265,13,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
266,14,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
267,15,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
268,16,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
269,17,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
270,18,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
271,19,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
272,20,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
273,21,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
274,22,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
275,23,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
276,24,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
277,25,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
278,26,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
279,27,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
280,28,1000,100:531:10;300:100:20;500:110:20;800:141:10;1000:854:1,99
281,1,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
282,2,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
283,3,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
284,4,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
285,5,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
286,6,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
287,7,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
288,8,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
289,9,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
290,10,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
291,11,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
292,12,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
293,13,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
294,14,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
295,15,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
296,16,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
297,17,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
298,18,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
299,19,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
300,20,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
301,21,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
302,22,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
303,23,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
304,24,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
305,25,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
