ID,低级奖,Normal奖,Mini奖,Mvp奖,模板权重,非MVP抽奖概率,MVP抽奖概率,一个道具的价格,抽一次价格（道具）,抽一次价格（金币）,抽全部价格（道具）,抽全部价格（金币）,刷新价格（金币）,结束本轮次数,活动Id
Id,LowNormalNum,NormalNum,MiniNum,MvpNum,ModProbability,Probability,MvpProbability,ItemPrice,RewardOneItem,RewardOneGold,RewardAllItem,RewardAdllGold,RefreshPrice,NoRewardNum,ActivitiesId
int,list,list,list,list,int,list,list,int,list,list,list,int,list,int,int
1,5:8012,1:8013,1:8014,1:8015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,3,220:5;220:10;220:20;220:40;220:80;220:160;220:320;220:640,15;30;60;120;240;480;960;1920,220:1000,3000,0;10;20;30;40;50,3,64
2,4:8012,2:8013,1:8014,1:8015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
3,3:8012,3:8013,1:8014,1:8015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
4,2:8012,4:8013,1:8014,1:8015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
5,1:8012,5:8013,1:8014,1:8015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
6,1:8012,4:8013,2:8014,1:8015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
7,2:8012,3:8013,2:8014,1:8015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
8,3:8012,2:8013,2:8014,1:8015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
9,4:8012,1:8013,2:8014,1:8015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
10,1:8012,3:8013,3:8014,1:8015,1000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
11,2:8012,2:8013,3:8014,1:8015,1000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
12,3:8012,1:8013,3:8014,1:8015,1000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,64
