段位ID,段位名称,段位积分,段位奖励,胜利资源奖励,失败资源奖励,胜利积分,遇强敌胜利积分,遇弱胜利积分,失败积分,遇强敌失败积分,遇弱失败积分,强弱区间,连胜积分,胜利匹配区间,失败匹配区间,赛季降段
ArenaLevelId,ArenaLevelName,ArenaLevelScore,ArenaLevelReward,WinReward,FailReward,WinScore,WinScore1,WinScore2,LostScore,LostScore1,LostScore2,Section,WinStreak,Win,Fail,LevelReduce
int,string,int,list,list,list,int,int,int,int,int,int,list,list,list,list,int
10001,青铜III,300,1:200000;12:1000;19:29000;521:1,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;,20:50;50:100;100:200,10001
10002,青铜II,700,1:210000;12:1200;19:30500;521:2,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;,20:50;50:100;100:200,10001
10003,青铜I,1100,1:220000;12:1400;19:32000;521:3,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;,20:50;50:100;100:200,10001
10004,白银III,1500,1:235000;12:2000;19:33500;521:4,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;,20:50;50:100;100:200,10003
10005,白银II,2000,1:250000;12:2200;19:36500;521:5,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;,20:50;50:100;100:200,10003
10006,白银I,2500,1:265000;12:2400;19:39500;521:6,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;,20:50;50:100;100:200,10003
10007,黄金III,3000,1:290000;12:3000;19:42500;522:1,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;-50:-10;-100:-50,20:50;50:100;100:200,10004
10008,黄金II,4000,1:315000;12:3200;19:47500;522:2,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;-50:-10;-100:-50,20:50;50:100;100:200,10005
10009,黄金I,5000,1:340000;12:3400;19:52500;522:3,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;-50:-10;-100:-50,20:50;50:100;100:200,10006
10010,钻石III,6000,1:370000;12:4000;19:57500;522:4,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;-50:-10;-100:-50,0:20;20:50;50:100,10006
10011,钻石II,8000,1:400000;12:4200;19:65000;522:5,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;-50:-10;-100:-50,0:20;20:50;50:100,10007
10012,钻石I,10000,1:430000;12:4400;19:72500;522:6,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-50:50;-50:-10;-100:-50,0:20;20:50;50:100,10008
10013,王者III,12000,1:485000;12:5000;19:80000;523:1;522:1,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10009
10014,王者II,15000,1:540000;12:5200;19:90000;523:1;522:3,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10009
10015,王者I,18000,1:600000;12:5400;19:100000;523:1;522:5,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10010
10016,神话Ⅲ,30000,1:620000;12:5600;19:150000;523:2;522:2,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10010
10017,神话Ⅱ,45000,1:640000;12:5800;19:200000;523:2;522:4,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10010
10018,神话Ⅰ,60000,1:660000;12:6000;19:250000;523:3;522:6,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10010
10019,神话Ⅰ,99999999,1:660000;12:6000;19:250000;523:3;522:6,1:30000;12:100,1:10000;12:50,110,130,100,50,60,40,5;5,2;5;10;15;20,-30:10;-50:-10;-80:-50;-100:-80,0:10;10:20;20:30;30:40;40:50,10010
