排名ID,区号,开始时间,结束时间,休息时间,竞技场排名,排名奖励
RankId,Zone,StartTime,CloseTime,Rest,ArenaRank,ArenaReward
int,int,string,string,int,list,list
1,1,2020-05-18 05:00:00,2020-05-27 21:00:00,0,1;1,306:1
2,1,2020-05-18 05:00:00,2020-05-27 21:00:00,0,2;2,305:1
3,1,2020-05-18 05:00:00,2020-05-27 21:00:00,0,3;3,304:1
4,2,2020-05-19 05:00:00,2020-05-28 21:00:00,0,1;1,306:1
5,2,2020-05-19 05:00:00,2020-05-28 21:00:00,0,2;2,305:1
6,2,2020-05-19 05:00:00,2020-05-28 21:00:00,0,3;3,304:1
7,3,2020-05-20 05:00:00,2020-05-29 21:00:00,0,1;1,306:1
8,3,2020-05-20 05:00:00,2020-05-29 21:00:00,0,2;2,305:1
9,3,2020-05-20 05:00:00,2020-05-29 21:00:00,0,3;3,304:1
10,4,2020-05-21 05:00:00,2020-05-30 21:00:00,0,1;1,306:1
11,4,2020-05-21 05:00:00,2020-05-30 21:00:00,0,2;2,305:1
12,4,2020-05-21 05:00:00,2020-05-30 21:00:00,0,3;3,304:1
13,5,2020-05-22 05:00:00,2020-05-31 21:00:00,0,1;1,306:1
14,5,2020-05-22 05:00:00,2020-05-31 21:00:00,0,2;2,305:1
15,5,2020-05-22 05:00:00,2020-05-31 21:00:00,0,3;3,304:1
16,6,2020-05-23 05:00:00,2020-06-01 21:00:00,0,1;1,306:1
17,6,2020-05-23 05:00:00,2020-06-01 21:00:00,0,2;2,305:1
18,6,2020-05-23 05:00:00,2020-06-01 21:00:00,0,3;3,304:1
19,7,2020-05-24 05:00:00,2020-06-02 21:00:00,0,1;1,306:1
20,7,2020-05-24 05:00:00,2020-06-02 21:00:00,0,2;2,305:1
21,7,2020-05-24 05:00:00,2020-06-02 21:00:00,0,3;3,304:1
22,100,2020-05-22 05:00:00,2020-05-31 21:00:00,0,1;1,306:1
23,100,2020-05-22 05:00:00,2020-05-31 21:00:00,0,2;2,305:1
24,100,2020-05-22 05:00:00,2020-05-31 21:00:00,0,3;3,304:1
