唯一id,品质,最大星级,效果ID,职业类型,职业分支,职业阶段,升星条件,增加战力,熔炼返还材料,神器重铸消耗,批次id,开服天数区间
Id,Quality,ArtifactMaxLevel,ArtifacFuncId,JobType,JobBranch,JobStage,Condition,AddFight,SmeltReturn,ReforgeCost,Times,ArtifactDuration
int,int,int,list,int,int,int,list,list,list,list,int,list
14200,1,1,1:11126:21126:41000;,1,1,3,14200|1:1|100000,1250,48|10;14200|1:48|10:1|100000,,,
14201,1,1,1:11227:21227:41001;,1,2,3,14201|1:1|100000,1250,48|10;14201|1:48|10:1|100000,,,
14202,1,1,1:12122:22122:42000;,4,1,3,14202|1:1|100000,1250,48|10;14202|1:48|10:1|100000,,,
14203,1,1,1:12223:22223:42001;,4,2,3,14203|1:1|100000,1250,48|10;14203|1:48|10:1|100000,,,
14204,1,1,1:13125:23125:43000;,3,1,3,14204|1:1|100000,1250,48|10;14204|1:48|10:1|100000,,,
14205,1,1,1:13227:23227:43001;,3,2,3,14205|1:1|100000,1250,48|10;14205|1:48|10:1|100000,,,
14206,1,1,1:14123:24123:44000;,2,1,3,14206|1:1|100000,1250,48|10;14206|1:48|10:1|100000,,,
14207,1,1,1:14224:24224:44001;,2,2,3,14207|1:1|100000,1250,48|10;14207|1:48|10:1|100000,,,
14208,1,1,1:15127:25127:45000;,5,1,3,14208|1:1|100000,1250,48|10;14208|1:48|10:1|100000,,,
14209,1,1,1:15222:25222:45001;,5,2,3,14209|1:1|100000,1250,48|10;14209|1:48|10:1|100000,,,
14210,2,1,1:11126:21126:41101;,1,1,3,14210|1:1|100000,1550,48|20;14210|1:48|20:1|100000,,,
14211,2,1,1:11227:21227:41105;,1,2,3,14211|1:1|100000,1550,48|20;14211|1:48|20:1|100000,,,
14212,2,1,1:12122:22122:42101;,4,1,3,14212|1:1|100000,1550,48|20;14212|1:48|20:1|100000,,,
14213,2,1,1:12223:22223:42103;,4,2,3,14213|1:1|100000,1550,48|20;14213|1:48|20:1|100000,,,
14214,2,1,1:13125:23125:43102;,3,1,3,14214|1:1|100000,1550,48|20;14214|1:48|20:1|100000,,,
14215,2,1,1:13227:23227:43104;,3,2,3,14215|1:1|100000,1550,48|20;14215|1:48|20:1|100000,,,
14216,2,1,1:14123:24123:44100;,2,1,3,14216|1:1|100000,1550,48|20;14216|1:48|20:1|100000,,,
14217,2,1,1:14224:24224:44104;,2,2,3,14217|1:1|100000,1550,48|20;14217|1:48|20:1|100000,,,
14218,2,1,1:15127:25127:45102;,5,1,3,14218|1:1|100000,1550,48|20;14218|1:48|20:1|100000,,,
14219,2,1,1:15222:25222:45104;,5,2,3,14219|1:1|100000,1550,48|20;14219|1:48|20:1|100000,,,
14220,2,2,1:11126:21126:41101;2:11125:21125:41100;,1,1,3,14210|1:1|100000;14220|1:1|200000,1550;1870,48|25;14210|1:48|25:1|100000;48|25:14210|1:14220|1:1|200000,,,
14221,2,2,1:11227:21227:41105;2:11228:21228:41103;,1,2,3,14211|1:1|100000;14221|1:1|200000,1550;1870,48|25;14211|1:48|25:1|100000;48|25:14211|1:14221|1:1|200000,,,
14222,2,2,1:12122:22122:42101;2:12121:22121:42100;,4,1,3,14212|1:1|100000;14222|1:1|200000,1550;1870,48|25;14212|1:48|25:1|100000;48|25:14212|1:14222|1:1|200000,,,
14223,2,2,1:12223:22223:42103;2:12224:22224:42104;,4,2,3,14213|1:1|100000;14223|1:1|200000,1550;1870,48|25;14213|1:48|25:1|100000;48|25:14213|1:14223|1:1|200000,,,
14224,2,2,1:13125:23125:43102;2:13124:23124:43101;,3,1,3,14214|1:1|100000;14224|1:1|200000,1550;1870,48|25;14214|1:48|25:1|100000;48|25:14214|1:14224|x:1|200000,,,
14225,2,2,1:13227:23227:43104;2:13226:23226:43105;,3,2,3,14215|1:1|100000;14225|1:1|200000,1550;1870,48|25;14215|1:48|25:1|100000;48|25:14215|1:14225|1:1|200000,,,
14226,2,2,1:14123:24123:44100;2:14122:24122:44101;,2,1,3,14216|1:1|100000;14226|1:1|200000,1550;1870,48|25;14216|1:48|25:1|100000;48|25:14216|1:14226|1:1|200000,,,
14227,2,2,1:14224:24224:44104;2:14225:24225:44103;,2,2,3,14217|1:1|100000;14227|1:1|200000,1550;1870,48|25;14217|1:48|25:1|100000;48|25:14217|1:14227|1:1|200000,,,
14228,2,2,1:15127:25127:45102;2:15126:25126:45100;,5,1,3,14218|1:1|100000;14228|1:1|200000,1550;1870,48|25;14218|1:48|25:1|100000;48|25:14218|1:14228|1:1|200000,,,
14229,2,2,1:15222:25222:45104;2:15223:25223:45103;,5,2,3,14219|1:1|100000;14229|1:1|200000,1550;1870,48|25;14219|1:48|25:1|100000;48|25:14219|1:14229|1:1|200000,,,
14230,2,3,1:11126:21126:41101;2:11125:21125:41100;3:11130:21130:41102;,1,1,3,14210|1:1|100000;14220|1:1|200000;14230|1:1|400000,1550;1870;2500,48|30;14210|1:48|30:1|100000;48|30:14210|1:14220|1:1|200000;48|30:14210|1:14220|1:14230|1:1|400000,,,
14231,2,3,1:11227:21227:41105;2:11228:21228:41103;3:11229:21229:41104;,1,2,3,14211|1:1|100000;14221|1:1|200000;14231|1:1|400000,1550;1870;2500,48|30;14211|1:48|30:1|100000;48|30:14211|1:14221|1:1|200000;48|30:14211|1:14221|1:14231|1:1|400000,,,
14232,2,3,1:12122:22122:42101;2:12121:22121:42100;3:12125:22125:42102;,4,1,3,14212|1:1|100000;14222|1:1|200000;14232|1:1|400000,1550;1870;2500,48|30;14212|1:48|30:1|100000;48|30:14212|1:14222|1:1|200000;48|30:14212|1:14222|1:14232|1:1|400000,,,
14233,2,3,1:12223:22223:42103;2:12224:22224:42104;3:12225:22225:42105;,4,2,3,14213|1:1|100000;14223|1:1|200000;14233|1:1|400000,1550;1870;2500,48|30;14213|1:48|30:1|100000;48|30:14213|1:14223|1:1|200000;48|30:14213|1:14223|1:14233|1:1|400000,,,
14234,2,3,1:13125:23125:43102;2:13124:23124:43101;3:13123:23123:43100;,3,1,3,14214|1:1|100000;14224|1:1|200000;14234|1:1|400000,1550;1870;2500,48|30;14214|1:48|30:1|100000;48|30:14214|1:14224|1:1|200000;48|30:14214|1:14224|1:14234|1:1|400000,,,
14235,2,3,1:13227:23227:43104;2:13226:23226:43105;3:13223:23223:43103;,3,2,3,14215|1:1|100000;14225|1:1|200000;14235|1:1|400000,1550;1870;2500,48|30;14215|1:48|30:1|100000;48|30:14215|1:14225|1:1|200000;48|30:14215|1:14225|1:14235|1:1|400000,,,
14236,2,3,1:14123:24123:44100;2:14122:24122:44101;3:14127:24127:44102;,2,1,3,14216|1:1|100000;14226|1:1|200000;14236|1:1|400000,1550;1870;2500,48|30;14216|1:48|30:1|100000;48|30:14216|1:14226|1:1|200000;48|30:14216|1:14226|1:14236|1:1|400000,,,
14237,2,3,1:14224:24224:44104;2:14225:24225:44103;3:14227:24227:44105;,2,2,3,14217|1:1|100000;14227|1:1|200000;14237|1:1|400000,1550;1870;2500,48|30;14217|1:48|30:1|100000;48|30:14217|1:14227|1:1|200000;48|30:14217|1:14227|1:14237|1:1|400000,,,
14238,2,3,1:15127:25127:45102;2:15126:25126:45100;3:15124:25124:45101;,5,1,3,14218|1:1|100000;14228|1:1|200000;14238|1:1|400000,1550;1870;2500,48|30;14218|1:48|30:1|100000;48|30:14218|1:14228|1:1|200000;48|30:14218|1:14228|1:14238|1:1|400000,,,
14239,2,3,1:15222:25222:45104;2:15223:25223:45103;3:15224:25224:45105;,5,2,3,14219|1:1|100000;14229|1:1|200000;14239|1:1|400000,1550;1870;2500,48|30;14219|1:48|30:1|100000;48|30:14219|1:14229|1:1|200000;48|30:14219|1:14229|1:14239|1:1|400000,,,
14240,3,1,1:11126:21126:41301;,1,1,3,14240|1:1|100000,1750,48|50;14240|1:48|50:1|100000,,,
14241,3,1,1:11227:21227:41308;,1,2,3,14241|1:1|100000,1750,48|50;14241|1:48|50:1|100000,,,
14242,3,1,1:12122:22122:42301;,4,1,3,14242|1:1|100000,1750,48|50;14242|1:48|50:1|100000,,,
