卡片ID,卡片名称,来源目标,升级目标,卡片类型,卡片部位,卡片等级,卡片属性,卡片图鉴ID,卡片BUFF,卡组权重,卡片附加战斗力,推荐职业,筛选用基础属性,卡片相克属性,卡片升级费用
CardId,CardName,FromCardId,ToCardId,CardType,CardLocation,CardLevel,Attribute1,CardPicId,BUFF,Pro,FightPower,Profession,Attribute2,Attribute3,UpCost
int,string,int,int,int,int,int,list,int,list,int,int,list,list,int,int
12101,长老树精卡片,,12201,1,1,1,10:9;8:2,1,,1,1,4;5,10;8,1,1000
12102,波利卡片,,12202,1,1,1,9:9;8:2,2,,1,1,1;2;3,9;8,2,1000
12103,疯兔卡片,,12203,1,2,1,7:100;15:1,3,,1,1,1;2;3;4;5,7;15,3,1000
12104,蚯蚓卡片,,12204,1,2,1,7:100;14:1,4,,1,1,1;2;3;4;5,7;14,1,1000
12105,黑狐卡片,,12205,1,3,1,10:14,5,,1,1,4;5,10,2,1000
12106,杰洛米卡片,,12206,1,3,1,9:14,6,,1,1,3;2;1,9,3,1000
12107,小恶魔卡片,,12207,1,4,1,9:6;97:20,7,,1,1,3;2;1,9;97,1,1000
12108,艾吉欧蜈蚣卡片,,12208,1,4,1,10:6;97:20,8,,1,1,4;5,10;97,2,1000
12109,邪骸战士卡片,,12209,1,5,1,11:9;16:1,9,,1,1,1;2;3;4;5,11;16,3,1000
12110,小巴风特卡片,,12210,1,5,1,11:9;13:1,10,,1,1,1;2;3;4;5,11;13,1,1000
12111,人鱼士兵卡片,,12211,1,6,1,12:6;93:10,11,,1,1,1;2;3,12;93,2,1000
12112,犬妖卡片,,12212,1,6,1,12:6;94:10,12,,1,1,4;5,12;94,3,1000
12201,长老树精卡片,12101,12301,1,1,2,10:18;8:4,1,,1,3,4;5,10;8,1,2000
12202,波利卡片,12102,12302,1,1,2,9:18;8:4,2,,1,3,1;2;3,9;8,2,2000
12203,疯兔卡片,12103,12303,1,2,2,7:200;15:2,3,,1,3,1;2;3;4;5,7;15,3,2000
12204,蚯蚓卡片,12104,12304,1,2,2,7:200;14:2,4,,1,3,1;2;3;4;5,7;14,1,2000
12205,黑狐卡片,12105,12305,1,3,2,10:28,5,,1,3,4;5,10,2,2000
12206,杰洛米卡片,12106,12306,1,3,2,9:28,6,,1,3,3;2;1,9,3,2000
12207,小恶魔卡片,12107,12307,1,4,2,9:9;97:51,7,,1,3,3;2;1,9;97,1,2000
12208,艾吉欧蜈蚣卡片,12108,12308,1,4,2,10:9;97:51,8,,1,3,4;5,10;97,2,2000
12209,邪骸战士卡片,12109,12309,1,5,2,11:18;16:2,9,,1,3,1;2;3;4;5,11;16,3,2000
12210,小巴风特卡片,12110,12310,1,5,2,11:18;13:2,10,,1,3,1;2;3;4;5,11;13,1,2000
12211,人鱼士兵卡片,12111,12311,1,6,2,12:13;93:20,11,,1,3,1;2;3,12;93,2,2000
12212,犬妖卡片,12112,12312,1,6,2,12:13;94:20,12,,1,3,4;5,12;94,3,2000
12301,长老树精卡片,12201,,1,1,3,10:42;8:6,1,,1,6,4;5,10;8,1,
12302,波利卡片,12202,,1,1,3,9:42;8:6,2,,1,6,1;2;3,9;8,2,
12303,疯兔卡片,12203,,1,2,3,7:410;15:4,3,,1,6,1;2;3;4;5,7;15,3,
12304,蚯蚓卡片,12204,,1,2,3,7:410;14:4,4,,1,6,1;2;3;4;5,7;14,1,
12305,黑狐卡片,12205,,1,3,3,10:56,5,,1,6,4;5,10,2,
12306,杰洛米卡片,12206,,1,3,3,9:56,6,,1,6,3;2;1,9,3,
12307,小恶魔卡片,12207,,1,4,3,9:26;97:80,7,,1,6,3;2;1,9;97,1,
12308,艾吉欧蜈蚣卡片,12208,,1,4,3,10:26;97:80,8,,1,6,4;5,10;97,2,
12309,邪骸战士卡片,12209,,1,5,3,11:37;16:4,9,,1,6,1;2;3;4;5,11;16,3,
12310,小巴风特卡片,12210,,1,5,3,11:37;13:4,10,,1,6,1;2;3;4;5,11;13,1,
12311,人鱼士兵卡片,12211,,1,6,3,12:26;93:40,11,,1,6,1;2;3,12;93,2,
12312,犬妖卡片,12212,,1,6,3,12:26;94:40,12,,1,6,4;5,12;94,3,
12113,波利王卡片,,12213,2,1,1,9:58;7:430,101,,1,10,1;2;3,9;7,1,10000
12114,蓝疯兔卡片,,12214,2,1,1,10:68;8:8;7:100,102,,1,10,4;5,10;8;7,2,10000
12115,哥布灵首领卡片,,12215,2,1,1,9:68;8:8;7:100,103,,1,10,3;2;1,9;8;7,3,10000
12116,流浪之狼卡片,,12216,2,2,1,7:710;15:7,104,,1,10,1;2;3;4;5,7;15,1,10000
12117,犬妖首领卡片,,12217,2,2,1,7:710;14:7,105,,1,10,1;2;3;4;5,7;14,2,10000
12118,深渊骑士卡片,,12218,2,2,1,7:1000,106,,1,10,1;2;3;4;5,7,3,10000
12119,迷幻之王卡片,,12219,2,3,1,10:68;92:53,107,,1,10,4;5,10;92,1,10000
12120,龙蝇卡片,,12220,2,3,1,9:68;91:53,108,,1,10,1;2;3,9;91,2,10000
12121,天使波利卡片,,12221,2,3,1,9:68;10:68;86:53;76:53,109,,1,10,3;2;4;5;1,9;10;86;76,3,10000
12122,幽灵波利卡片,,12222,2,4,1,10:70;9:70;95:51,110,,1,10,3;2;4;5;1,9;10;95,1,10000
12123,暗黑祭司卡片,,12223,2,4,1,10:49;97:100;77:53,111,,1,10,4;5,10;97;77,2,10000
12124,弑神者卡片,,12224,2,4,1,9:49;97:100;74:53,112,,1,10,3;2;1,9;97;74,3,10000
12125,兽牙怪卡片,,12225,2,5,1,11:53;16:6;84:53,113,,1,10,1;2;3;4;5,11;16;84,1,10000
12126,行刑者卡片,,12226,2,5,1,11:68;82:53;72:53,114,,1,10,1;2;3;4;5,11;82;72,2,10000
12127,狮鹫兽卡片,,12227,2,5,1,11:53;13:6;85:53,115,,1,10,1;2;3;4;5,11;13;85,3,10000
12128,半龙人卡片,,12228,2,6,1,12:39;93:40;95:40,116,,1,10,3;2;1,12;93;95,1,10000
12129,凯美拉卡片,,12229,2,6,1,12:53;96:40;87:53,117,,1,10,1;2;3;4;5,12;96;87,2,10000
12130,鹗枭男爵卡片,,12230,2,6,1,12:53;94:40;74:53,118,,1,10,4;5,12;94;74,3,10000
12213,波利王卡片,12113,12313,2,1,2,9:100;7:740,101,,1,18,1;2;3,9;7,1,15000
12214,蓝疯兔卡片,12114,12314,2,1,2,10:110;8:11;7:270,102,,1,18,4;5,10;8;7,2,15000
12215,哥布灵首领卡片,12115,12315,2,1,2,9:110;8:11;7:270,103,,1,18,3;2;1,9;8;7,3,15000
12216,流浪之狼卡片,12116,12316,2,2,2,7:1200;15:11,104,,1,18,1;2;3;4;5,7;15,1,15000
12217,犬妖首领卡片,12117,12317,2,2,2,7:1200;14:11,105,,1,18,1;2;3;4;5,7;14,2,15000
12218,深渊骑士卡片,12118,12318,2,2,2,7:1800,106,,1,18,1;2;3;4;5,7,3,15000
12219,迷幻之王卡片,12119,12319,2,3,2,10:110;92:92,107,,1,18,4;5,10;92,1,15000
12220,龙蝇卡片,12120,12320,2,3,2,9:110;91:92,108,,1,18,1;2;3,9;91,2,15000
12221,天使波利卡片,12121,12321,2,3,2,9:110;10:110;86:100;76:100,109,,1,18,3;2;4;5;1,9;10;86;76,3,15000
12222,幽灵波利卡片,12122,12322,2,4,2,10:110;9:110;95:100,110,,1,18,3;2;4;5;1,9;10;95,1,15000
12223,暗黑祭司卡片,12123,12323,2,4,2,10:84;97:150;77:100,111,,1,18,4;5,10;97;77,2,15000
12224,弑神者卡片,12124,12324,2,4,2,9:84;97:150;74:100,112,,1,18,3;2;1,9;97;74,3,15000
12225,兽牙怪卡片,12125,12325,2,5,2,11:89;16:11;84:100,113,,1,18,1;2;3;4;5,11;16;84,1,15000
12226,行刑者卡片,12126,12326,2,5,2,11:110;82:100;72:100,114,,1,18,1;2;3;4;5,11;82;72,2,15000
12227,狮鹫兽卡片,12127,12327,2,5,2,11:89;13:11;85:100,115,,1,18,1;2;3;4;5,11;13;85,3,15000
12228,半龙人卡片,12128,12328,2,6,2,12:67;93:69;95:69,116,,1,18,3;2;1,12;93;95,1,15000
12229,凯美拉卡片,12129,12329,2,6,2,12:89;96:69;87:100,117,,1,18,1;2;3;4;5,12;96;87,2,15000
12230,鹗枭男爵卡片,12130,12330,2,6,2,12:89;94:69;74:100,118,,1,18,4;5,12;94;74,3,15000
12313,波利王卡片,12213,12413,2,1,3,9:150;7:1100,101,,1,27,1;2;3,9;7,1,20000
12314,蓝疯兔卡片,12214,12414,2,1,3,10:170;8:13;7:490,102,,1,27,4;5,10;8;7,2,20000
