卡片ID,卡片品质,最大等级,收集奖励1,收集奖励2,收集奖励3,收集奖励4,收集奖励5
Cardid,CardQuality,MaxLv,CardReward1,CardReward2,CardReward3,CardReward4,CardReward5
int,int,int,list,list,list,list,list
1,1,3,2:10,2:20,2:30,0,0
2,1,3,2:10,2:20,2:30,0,0
3,1,3,2:10,2:20,2:30,0,0
4,1,3,2:10,2:20,2:30,0,0
5,1,3,2:10,2:20,2:30,0,0
6,1,3,2:10,2:20,2:30,0,0
7,1,3,2:10,2:20,2:30,0,0
8,1,3,2:10,2:20,2:30,0,0
9,1,3,2:10,2:20,2:30,0,0
10,1,3,2:10,2:20,2:30,0,0
11,1,3,2:10,2:20,2:30,0,0
12,1,3,2:10,2:20,2:30,0,0
101,2,4,2:50,2:75,2:100,2:125,0
102,2,4,2:50,2:75,2:100,2:125,0
103,2,4,2:50,2:75,2:100,2:125,0
104,2,4,2:50,2:75,2:100,2:125,0
105,2,4,2:50,2:75,2:100,2:125,0
106,2,4,2:50,2:75,2:100,2:125,0
107,2,4,2:50,2:75,2:100,2:125,0
108,2,4,2:50,2:75,2:100,2:125,0
109,2,4,2:50,2:75,2:100,2:125,0
110,2,4,2:50,2:75,2:100,2:125,0
111,2,4,2:50,2:75,2:100,2:125,0
112,2,4,2:50,2:75,2:100,2:125,0
113,2,4,2:50,2:75,2:100,2:125,0
114,2,4,2:50,2:75,2:100,2:125,0
115,2,4,2:50,2:75,2:100,2:125,0
116,2,4,2:50,2:75,2:100,2:125,0
117,2,4,2:50,2:75,2:100,2:125,0
118,2,4,2:50,2:75,2:100,2:125,0
501,3,5,2:100,2:150,2:200,2:250,2:300
502,3,5,2:100,2:150,2:200,2:250,2:300
503,3,5,2:100,2:150,2:200,2:250,2:300
504,3,5,2:100,2:150,2:200,2:250,2:300
505,3,5,2:100,2:150,2:200,2:250,2:300
506,3,5,2:100,2:150,2:200,2:250,2:300
507,3,5,2:100,2:150,2:200,2:250,2:300
508,3,5,2:100,2:150,2:200,2:250,2:300
509,3,5,2:100,2:150,2:200,2:250,2:300
510,3,5,2:100,2:150,2:200,2:250,2:300
511,3,5,2:100,2:150,2:200,2:250,2:300
512,3,5,2:100,2:150,2:200,2:250,2:300
513,3,5,2:100,2:150,2:200,2:250,2:300
514,3,5,2:100,2:150,2:200,2:250,2:300
515,3,5,2:100,2:150,2:200,2:250,2:300
516,3,5,2:100,2:150,2:200,2:250,2:300
517,3,5,2:100,2:150,2:200,2:250,2:300
518,3,5,2:100,2:150,2:200,2:250,2:300
519,3,5,2:100,2:150,2:200,2:250,2:300
520,3,5,2:100,2:150,2:200,2:250,2:300
521,3,5,2:100,2:150,2:200,2:250,2:300
522,3,5,2:100,2:150,2:200,2:250,2:300
523,3,5,2:100,2:150,2:200,2:250,2:300
524,3,5,2:100,2:150,2:200,2:250,2:300
525,3,5,2:100,2:150,2:200,2:250,2:300
526,3,5,2:100,2:150,2:200,2:250,2:300
527,3,5,2:100,2:150,2:200,2:250,2:300
528,3,5,2:100,2:150,2:200,2:250,2:300
529,3,5,2:100,2:150,2:200,2:250,2:300
530,3,5,2:100,2:150,2:200,2:250,2:300
531,3,5,2:100,2:150,2:200,2:250,2:300
532,3,5,2:100,2:150,2:200,2:250,2:300
533,3,5,2:100,2:150,2:200,2:250,2:300
534,3,5,2:100,2:150,2:200,2:250,2:300
535,3,5,2:100,2:150,2:200,2:250,2:300
536,3,5,2:100,2:150,2:200,2:250,2:300
537,3,5,2:100,2:150,2:200,2:250,2:300
538,3,5,2:100,2:150,2:200,2:250,2:300
539,3,5,2:100,2:150,2:200,2:250,2:300
540,3,5,2:100,2:150,2:200,2:250,2:300
541,3,5,2:100,2:150,2:200,2:250,2:300
542,3,5,2:100,2:150,2:200,2:250,2:300
543,3,5,2:100,2:150,2:200,2:250,2:300
544,3,5,2:100,2:150,2:200,2:250,2:300
545,3,5,2:100,2:150,2:200,2:250,2:300
546,3,5,2:100,2:150,2:200,2:250,2:300
547,3,5,2:100,2:150,2:200,2:250,2:300
548,3,5,2:100,2:150,2:200,2:250,2:300
549,3,5,2:100,2:150,2:200,2:250,2:300
550,3,5,2:100,2:150,2:200,2:250,2:300
551,3,5,2:100,2:150,2:200,2:250,2:300
552,3,5,2:100,2:150,2:200,2:250,2:300
553,3,5,2:100,2:150,2:200,2:250,2:300
554,3,5,2:100,2:150,2:200,2:250,2:300
555,3,5,2:100,2:150,2:200,2:250,2:300
556,3,5,2:100,2:150,2:200,2:250,2:300
557,3,5,2:100,2:150,2:200,2:250,2:300
558,3,5,2:100,2:150,2:200,2:250,2:300
559,3,5,2:100,2:150,2:200,2:250,2:300
560,3,5,2:100,2:150,2:200,2:250,2:300
561,3,5,2:100,2:150,2:200,2:250,2:300
562,3,5,2:100,2:150,2:200,2:250,2:300
563,3,5,2:100,2:150,2:200,2:250,2:300
564,3,5,2:100,2:150,2:200,2:250,2:300
565,3,5,2:100,2:150,2:200,2:250,2:300
566,3,5,2:100,2:150,2:200,2:250,2:300
