id,祝福效果,激活条件
Id,Suit1,TriggerConditions
int,list,list
1,37:300;39:300;40:300;41:300;42:300,3:1:12
2,37:600;39:600;40:600;41:600;42:600,3:1:18
3,37:900;39:900;40:900;41:900;42:900,3:1:24
4,37:1200;39:1200;40:1200;41:1200;42:1200,3:1:12;3:2:12
5,37:2000;39:2000;40:2000;41:2000;42:2000,3:2:24
6,37:3000;39:3000;40:3000;41:3000;42:3000,3:2:12;3:3:12
7,37:4000;39:4000;40:4000;41:4000;42:4000,3:3:24
8,37:5000;39:5000;40:5000;41:5000;42:5000,3:3:12;3:4:12
9,37:6000;39:6000;40:6000;41:6000;42:6000,3:4:24
10,37:8000;39:8000;40:8000;41:8000;42:8000,3:4:12;3:5:12
11,37:10000;39:10000;40:10000;41:10000;42:10000,3:5:24
