唯一id,最长战斗时间,关卡奖励,怪物等级,特殊奖励,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,卡槽解锁,查封配置
Id,MaxFightingTime,RewardItems,MonsterLevel,SpecialReward,FightCheck,SpAddition,PowerWeaken,StayTimeWeaken,version,CardUnlock,CloseDown
int,int,list,int,list,int,string,string,string,int,string,string
1,90,5:8540,1,,100,20:50,,,7,,
2,90,5:9360,3,,200,20:50,,,7,,
3,90,5:10170,5,,300,20:50,,,7,,
4,90,5:10980,6,,400,20:50,,,7,,
5,90,5:11800,7,12121:1,500,20:50,,,7,,
6,90,5:12610,8,,600,20:50,,,7,,
7,90,5:13430,9,,700,20:50,,,7,,
8,90,5:14240,10,,800,20:50,,,7,,
9,90,5:15060,10,,900,20:50,,,7,,
10,90,5:15870,15,12122:1,1000,20:50,,,7,,
11,90,5:16680,20,,1100,20:50,,,7,,
12,90,5:17500,25,,1200,20:50,,,7,,
13,90,5:18310,30,,1259,20:50,,,7,,
14,90,5:19130,35,,1000,20:50,,,7,,
15,90,5:19940,40,12121:1,1266,20:50,,,7,,
16,90,5:20750,45,,1269,20:50,,,7,,
17,90,5:21570,50,,1272,20:50,2544;9:-1;10:-1;19:-3|3307;9:-2;10:-2;19:-6|3434;9:-3;10:-3;19:-9|3561;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
18,90,5:22380,60,,1699,20:50,3398;9:-1;10:-1;19:-3|4417;9:-2;10:-2;19:-6|4587;9:-3;10:-3;19:-9|4757;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
19,90,5:23200,65,,1702,20:50,3404;9:-1;10:-1;19:-3|4425;9:-2;10:-2;19:-6|4595;9:-3;10:-3;19:-9|4765;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
