序列ID,赛季ID,赛季类型,赛季条件,奖励1,奖励2,奖励3,赛季周期（天）,开始时间,结束时间,赛季休赛期（天）,活动道具,档位
Id,CompetitionId,CompetitionType,CompetitionCondition,CompetitionReward1,CompetitionReward2,CompetitionReward3,CompetitionPeriod,BeginTime,EndTime,RestTime,HuodongItem,Level
int,int,int,list,list,list,list,list,string,string,int,list,int
1,1,1,1:99.9:100,12838:10;11:50000;2:300;100:10,12838:10;11:60000;2:300;100:10,595:1;12138:3;11:80000;2:500;100:20,3;5;7,19:00:00,21:00:00,0,,1
2,1,1,1:99:99.9,12838:5;11:30000;2:250;100:8,12838:5;11:40000;2:250;100:8,12138:2;11:60000;2:400;100:17,,,,,,2
3,1,1,1:97:99,12838:2;11:20000;2:200;100:6,12838:2;11:30000;2:200;100:6,12138:1;11:50000;2:300;100:15,,,,,,3
4,1,1,1:95:97,512:1;11:15000;2:150;100:4,512:1;11:20000;2:150;100:4,12838:10;11:40000;2:200;100:12,,,,,,4
5,1,1,1:90:95,511:10;11:10000;2:100;100:2,511:10;11:15000;2:100;100:2,12838:5;11:30000;2:100;100:10,,,,,,5
6,1,1,1:0:90,511:5;11:5000;2:50;100:1,511:5;11:10000;2:50;100:1,12838:2;11:20000;2:50;100:5,,,,,,6
11,2,2,1:99.9:100,12838:10;11:100000;2:300;100:10,12838:10;11:120000;2:300;100:10,595:1;12138:3;2:500;102:50;101:50,3;5;7,12:00:00,21:00:00,0,500;501;502;503;504,1
12,2,2,1:97:99.9,12838:5;11:80000;2:250;100:8,12838:5;11:100000;2:250;100:8,12138:2;2:400;102:40;101:40,,,,,500;501;502;503;504,2
13,2,2,1:95:97,12838:2;11:60000;2:200;100:6,12838:2;11:80000;2:200;100:6,12138:1;2:300;102:30;101:30,,,,,500;501;502;503;504,3
14,2,2,1:90:95,512:1;11:40000;2:150;100:4,512:1;11:60000;2:150;100:4,12838:10;2:200;102:20;101:20,,,,,500;501;502;503;504,4
15,2,2,1:60:90,511:10;11:20000;2:100;100:2,511:10;11:40000;2:100;100:2,12838:5;2:100;102:10;101:10,,,,,500;501;502;503;504,5
16,2,2,1:0:60,511:5;11:10000;2:50;100:1,511:5;11:30000;2:50;100:1,12838:2;2:50;102:5;101:5,,,,,500;501;502;503;504,6
21,3,3,1:99.9:100,505:20;531:5;508:5;100:10,505:20;531:5;508:7;100:10,595:1;509:20;520:3;102:50;101:50,3;5;7,12:00:00,21:00:00,0,152,1
22,3,3,1:97:99.9,505:15;2:300;508:3;100:8,505:15;2:300;508:5;100:8,509:15;520:2;102:40;101:40,,,,,152,2
23,3,3,1:95:97,505:10;2:200;508:1;100:6,505:10;2:200;508:3;100:6,509:10;520:1;102:30;101:30,,,,,152,3
24,3,3,1:90:95,505:5;2:150;512:3;100:4,505:5;2:150;508:1;100:4,509:5;531:10;102:20;101:20,,,,,152,4
25,3,3,1:60:90,505:2;2:100;512:2;100:2,505:2;2:100;512:2;100:2,508:5;531:5;102:10;101:10,,,,,152,5
26,3,3,1:0:60,505:1;2:50;512:1;100:1,505:1;2:50;512:1;100:1,508:3;531:3;102:5;101:5,,,,,152,6
31,4,4,1:99.9:100,529:3;505:20;520:1;198:1,529:3;505:20;520:1;198:1,529:10;595:1;509:20;520:3;198:5,3;5;7,12:00:00,21:00:00,0,201;202,1
32,4,4,1:97:99.9,529:1;505:15;531:10;197:7,529:1;505:15;531:10;197:7,529:5;509:15;520:2;198:2,,,,,201;202,2
33,4,4,1:95:97,529:1;505:10;531:5;197:5,529:1;505:10;531:5;197:5,529:4;509 :10;520:1;198:1,,,,,201;202,3
34,4,4,1:90:95,529:1;505:5;531:4;197:3,529:1;505:5;531:4;197:3,529:3;509:5;531:10;197:5,,,,,201;202,4
35,4,4,1:60:90,529:1;505:2;531:3;197:2,529:1;505:2;531:3;197:2,529:2;508:5;531:5;197:3,,,,,201;202,5
36,4,4,1:0:60,529:1;505:1;531:2;197:1,529:1;505:1;531:2;197:1,529:1;508:3;531:3;197:2,,,,,201;202,6
37,5,5,5:1:1,529:3;493:30;15042:1;1:1000000,529:3;493:30;15042:1;1:1000000,595:1;529:10;498:50;15042:3;1:2000000,3;5;7,12:00:00,21:00:00,0,238;239,1
38,5,5,5:2:2,529:1;493:20;531:10;1:500000,529:1;493:20;531:10;1:500000,529:3;498:20;15042:2;1:1000000,,,,,238;239,2
39,5,5,5:3:3,528:5;493:15;531:5;1:300000,528:5;493:15;531:5;1:300000,529:2;498:15;15042:1;1:500000,,,,,238;239,3
40,5,5,5:4:10,528:3;493:10;531:3;1:200000,528:3;493:10;531:3;1:200000,529:1;498:10;531:7;1:300000,,,,,238;239,4
41,5,5,5:11:20,528:2;493:5;531:2;1:100000,528:2;493:5;531:2;1:100000,528:3;498:5;531:4;1:200000,,,,,238;239,5
42,5,5,5:21:500,528:1;493:3;531:1;1:50000,528:1;493:3;531:1;1:50000,528:1;498:3;531:1;1:50000,,,,,238;239,6
