ID,低级奖,Normal奖,Mini奖,Mvp奖,模板权重,非MVP抽奖概率,MVP抽奖概率,一个道具的价格,抽一次价格（道具）,抽一次价格（金币）,抽全部价格（道具）,抽全部价格（金币）,刷新价格（金币）,结束本轮次数,抽一次送赛季积分,抽全部送赛季积分
Id,LowNormalNum,NormalNum,MiniNum,MvpNum,ModProbability,Probability,MvpProbability,ItemPrice,RewardOneItem,RewardOneGold,RewardAllItem,RewardAdllGold,RefreshPrice,NoRewardNum,RewardOnePoint,RewardAllPoint
int,list,list,list,list,int,list,list,int,list,list,list,int,list,int,list,int
1,5:6012,1:6013,1:6014,1:6015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,3,152:5;152:10;152:20;152:40;152:80;152:160;152:320;152:640,15;30;60;120;240;480;960;1920,152:1000,3000,0;10;10;20;30;50,3,10;10;10;10;10;10;10;10,80
2,4:6012,2:6013,1:6014,1:6015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
3,3:6012,3:6013,1:6014,1:6015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
4,2:6012,4:6013,1:6014,1:6015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
5,1:6012,5:6013,1:6014,1:6015,10000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
6,1:6012,4:6013,2:6014,1:6015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
7,2:6012,3:6013,2:6014,1:6015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
8,3:6012,2:6013,2:6014,1:6015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
9,4:6012,1:6013,2:6014,1:6015,5000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
10,1:6012,3:6013,3:6014,1:6015,1000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
11,2:6012,2:6013,3:6014,1:6015,1000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
12,3:6012,1:6013,3:6014,1:6015,1000,8000;10000;5000,1;1;1;1000;1000;1000;1000;1000,,,,,,,,,
