ID,称号名字,称号类别,称号属性,任务条件枚举,消耗道具,称号时限,分解,条件计数是否每日刷新
ID,Name,Type,Attribute,TaskCondition,TaskConditionItem,Time,DecomposeReward,RefreshDaily
int,string,int,list,list,list,int,int,int
104,以一敌百,1,21:12,77:100,,,,
105,一骑当千,1,21:20,77:1000,,,,
111,通天教主,1,21:12,81:225:1,225:1,24,100,
113,神殿问鼎,1,21:12,96:1,,,,
117,英灵战狂,1,21:12,75:300,,,,
201,理财大师,2,21:12,81:228:1,228:1,720,100,
202,理财专家,2,21:12,81:229:1,229:1,720,100,
203,理财王者,2,21:26,78:12,,,,
204,卢恩银行家,2,21:26,85:12,,,,
205,卡普拉会员,2,21:12,79:100,,,,1
206,卡普拉贵宾,2,21:20,79:1000,,,,1
207,卡普拉社长,2,21:32,79:10000,,,,1
208,一掷千金,2,21:10,31:10000,,,,1
209,富可敌国,2,21:26,31:100000,,,,1
301,持之以恒,3,21:12,82:7,,,,
302,不忘初心,3,21:20,82:30,,,,
304,试炼新兵,3,21:12,37:375,,,,
305,试炼勇士,3,21:20,37:750,,,,
306,试炼王者,3,21:28,37:1500,,,,
307,英雄远征,3,21:16,92:4,,,,
309,攻无不克,3,21:26,49:10,,,,
312,光阴似箭,3,21:12,84:50,,,,
313,光阴如梭,3,21:20,84:500,,,,
315,绝世小恶魔Ⅰ,3,21:12,91:10,,,,
316,绝世小恶魔Ⅱ,3,21:16,91:20,,,,
317,绝世小恶魔Ⅲ,3,21:20,91:30,,,,
318,绝世小恶魔Ⅳ,3,21:24,91:40,,,,
319,绝世小恶魔Ⅴ,3,21:28,91:50,,,,
323,永恒传说,3,21:30,82:100,,,,
401,金甲战士,4,21:22,86:4:24,,,,
402,天神下凡,4,21:32,86:5:24,,,,
403,精装上阵,4,21:22,83:12:1,,,,
404,精益求精,4,21:26,83:12:2,,,,
405,精金百炼,4,21:32,83:12:3,,,,
406,精锐之师,4,21:36,83:12:4,,,,
408,蓝印非凡,4,21:12,90:1:2,,,,
409,紫印非凡,4,21:18,90:1:3,,,,
410,金印非凡,4,21:24,90:1:4,,,,
412,技能达人,4,21:12,94:2,,,,
413,技能大师,4,21:18,94:8,,,,
414,技能宗师,4,21:24,94:16,,,,
417,如有神助Ⅰ,4,21:12,95:5:1,,,,
418,如有神助Ⅱ,4,21:18,95:5:2,,,,
419,如有神助Ⅲ,4,21:24,95:5:3,,,,
420,如有神助Ⅳ,4,21:30,95:5:4,,,,
422,超凡入圣,4,21:12,1:40,,,,
423,出神入化,4,21:18,1:80,,,,
424,冠绝一世,4,21:24,1:120,,,,
501,卡牌大师,5,21:12,67:100,,,,1
502,宠物大师,5,21:12,68:100,,,,1
503,收藏大师,5,21:12,80:1,,,,
504,卢恩博物馆,5,21:32,80:100,,,,
505,潮流新星,5,21:12,40:20,,,,
506,潮流先锋,5,21:18,40:40,,,,
507,潮流女王,5,21:24,40:60,,,,
508,初露头角,5,21:12,93:10,,,,
509,崭露头角,5,21:20,93:20,,,,
512,齐头并进,5,21:28,93:60,,,,
601,战魂Ⅰ,6,21:6,14:100000,,,,
602,战魂Ⅱ,6,21:10,14:200000,,,,
603,战魂Ⅲ,6,21:12,14:300000,,,,
604,战魂Ⅳ,6,21:16,14:400000,,,,
605,战魂Ⅴ,6,21:20,14:500000,,,,
606,战魂Ⅵ,6,21:22,14:550000,,,,
607,战魂Ⅶ,6,21:26,14:600000,,,,
608,战魂Ⅷ,6,21:30,14:650000,,,,
609,战魂Ⅸ,6,21:32,14:700000,,,,
610,战魂Ⅹ,6,21:36,14:750000,,,,
611,战王Ⅰ,6,21:36,14:775000,,,,
612,战王Ⅱ,6,21:36,14:800000,,,,
613,战王Ⅲ,6,21:36,14:825000,,,,
614,战王Ⅳ,6,21:36,14:850000,,,,
615,战王Ⅴ,6,21:36,14:875000,,,,
616,战王Ⅵ,6,21:36,14:900000,,,,
617,战王Ⅶ,6,21:36,14:925000,,,,
618,战王Ⅷ,6,21:36,14:950000,,,,
619,战王Ⅸ,6,21:36,14:975000,,,,
620,战王Ⅹ,6,21:36,14:1000000,,,,
621,战皇Ⅰ,6,21:36,14:1050000,,,,
622,战皇Ⅱ,6,21:36,14:1100000,,,,
623,战皇Ⅲ,6,21:36,14:1150000,,,,
624,战皇Ⅳ,6,21:36,14:1200000,,,,
625,战皇Ⅴ,6,21:36,14:1250000,,,,
626,战皇Ⅵ,6,21:36,14:1300000,,,,
627,战皇Ⅶ,6,21:36,14:1350000,,,,
628,战皇Ⅷ,6,21:36,14:1400000,,,,
629,战皇Ⅸ,6,21:36,14:1450000,,,,
630,战皇Ⅹ,6,21:36,14:1500000,,,,
