ID,出现概率,类型,随机次数,掉落组1
Id,Rate,DropType,Times,Drop1
int,int,int,int,list
1,4100,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
2,4400,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
3,9700,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
4,3600,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
5,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
6,6300,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
7,6300,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
8,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
