id,装备类型,装备等级,职业类型,锻造目标,装备前置,合成消耗,套装ID,物攻,魔攻,物防,魔防,生命,蓝量,暴击,韧性,命中,闪避,物伤加成,魔伤加成,ATK%,MATK%,力量,敏捷,智力,体质,灵巧,幸运
Id,Type,EquipLevel,JobType,Forge,ForgeOld,CostMoney,Suit,Attack,MagicAttack,Defense,MagicDefense,Life,Sp,Crit,Ten,Hit,Dodge,PhysicalDamageBonus,MagicDamageBonus,AtkPercent,MatkPercent,Str,Agi,Int,Vit,Dex,Luk
int,int,int,list,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1001,3,1,0;1,1002,0,2500,,14,,,,,,,,,,,,,,,,,,,
1002,3,2,0;1,1003,1001,5000,,28,,,,,,,,,,,,,,,,,,,
1003,3,3,0;1,1004,1002,10000,,51,,,,,,,,,,,,,,,,,,,
1004,3,4,0;1,1005,1003,25000,,112,,,,,,,,,,,,,,,,,,,
1005,3,5,0;1,1006,1004,50000,,202,,,,,,,,,,,,,,,,,,,
1006,3,6,0;1,1007,1005,75000,1,323,,,,,,,,,,,,,,,,,,,
1007,3,7,0;1,1008,1006,100000,2,614,,,,,,,,,,,,,,,,,,,
1008,3,8,0;1,1009,1007,125000,3,829,,,,,,,,,,,,,,,,,,,
1009,3,9,0;1,1010,1008,150000,4,1077,,,,,,,,,,,,,,,,,,,
1010,3,10,0;1,1011,1009,175000,5,1509,,,,,,,,,,,,,,,,,,,
1011,3,11,0;1,1012,1010,200000,6,1735,,,,,,,,,,,,,,,,,,,
1012,3,12,0;1,1013,1011,300000,7,1978,,,,,,,,,,,,,,,,,,,
1013,3,13,0;1,1014,1012,400000,8,2294,,,,,,,,,,,,,,,,,,,
1014,3,14,0;1,1015,1013,500000,9,2547,,,,,,,,,,,,,,,,,,,
1015,3,15,0;1,0,1014,0,10,2837,,,,,,,,,,,,,,,,,,,
1501,3,1,5,1502,0,2500,,,14,,,,,,,,,,,,,,,,,,
1502,3,2,5,1503,1501,5000,,,28,,,,,,,,,,,,,,,,,,
1503,3,3,5,1504,1502,10000,,,51,,,,,,,,,,,,,,,,,,
1504,3,4,5,1505,1503,25000,,,112,,,,,,,,,,,,,,,,,,
1505,3,5,5,1506,1504,50000,,,202,,,,,,,,,,,,,,,,,,
1506,3,6,5,1507,1505,75000,1,,323,,,,,,,,,,,,,,,,,,
1507,3,7,5,1508,1506,100000,2,,614,,,,,,,,,,,,,,,,,,
1508,3,8,5,1509,1507,125000,3,,829,,,,,,,,,,,,,,,,,,
1509,3,9,5,1510,1508,150000,4,,1077,,,,,,,,,,,,,,,,,,
1510,3,10,5,1511,1509,175000,5,,1509,,,,,,,,,,,,,,,,,,
1511,3,11,5,1512,1510,200000,6,,1735,,,,,,,,,,,,,,,,,,
1512,3,12,5,1513,1511,300000,7,,1978,,,,,,,,,,,,,,,,,,
1513,3,13,5,1514,1512,400000,8,,2294,,,,,,,,,,,,,,,,,,
1514,3,14,5,1515,1513,500000,9,,2547,,,,,,,,,,,,,,,,,,
1515,3,15,5,0,1514,0,10,,2837,,,,,,,,,,,,,,,,,,
2001,3,1,3,2002,0,2500,,14,,,,,,,,,,,,,,,,,,,
2002,3,2,3,2003,2001,5000,,28,,,,,,,,,,,,,,,,,,,
2003,3,3,3,2004,2002,10000,,51,,,,,,,,,,,,,,,,,,,
2004,3,4,3,2005,2003,25000,,112,,,,,,,,,,,,,,,,,,,
2005,3,5,3,2006,2004,50000,,202,,,,,,,,,,,,,,,,,,,
2006,3,6,3,2007,2005,75000,1,323,,,,,,,,,,,,,,,,,,,
2007,3,7,3,2008,2006,100000,2,614,,,,,,,,,,,,,,,,,,,
2008,3,8,3,2009,2007,125000,3,829,,,,,,,,,,,,,,,,,,,
2009,3,9,3,2010,2008,150000,4,1077,,,,,,,,,,,,,,,,,,,
2010,3,10,3,2011,2009,175000,5,1509,,,,,,,,,,,,,,,,,,,
2011,3,11,3,2012,2010,200000,6,1735,,,,,,,,,,,,,,,,,,,
2012,3,12,3,2013,2011,300000,7,1978,,,,,,,,,,,,,,,,,,,
2013,3,13,3,2014,2012,400000,8,2294,,,,,,,,,,,,,,,,,,,
2014,3,14,3,2015,2013,500000,9,2547,,,,,,,,,,,,,,,,,,,
2015,3,15,3,0,2014,0,10,2837,,,,,,,,,,,,,,,,,,,
3001,3,1,4,3002,0,2500,,,14,,,,,,,,,,,,,,,,,,
3002,3,2,4,3003,3001,5000,,,28,,,,,,,,,,,,,,,,,,
3003,3,3,4,3004,3002,10000,,,51,,,,,,,,,,,,,,,,,,
3004,3,4,4,3005,3003,25000,,,112,,,,,,,,,,,,,,,,,,
3005,3,5,4,3006,3004,50000,,,202,,,,,,,,,,,,,,,,,,
3006,3,6,4,3007,3005,75000,1,,323,,,,,,,,,,,,,,,,,,
3007,3,7,4,3008,3006,100000,2,,614,,,,,,,,,,,,,,,,,,
3008,3,8,4,3009,3007,125000,3,,829,,,,,,,,,,,,,,,,,,
3009,3,9,4,3010,3008,150000,4,,1077,,,,,,,,,,,,,,,,,,
3010,3,10,4,3011,3009,175000,5,,1509,,,,,,,,,,,,,,,,,,
3011,3,11,4,3012,3010,200000,6,,1735,,,,,,,,,,,,,,,,,,
3012,3,12,4,3013,3011,300000,7,,1978,,,,,,,,,,,,,,,,,,
3013,3,13,4,3014,3012,400000,8,,2294,,,,,,,,,,,,,,,,,,
3014,3,14,4,3015,3013,500000,9,,2547,,,,,,,,,,,,,,,,,,
3015,3,15,4,0,3014,0,10,,2837,,,,,,,,,,,,,,,,,,
4001,3,1,2,4002,0,2500,,14,,,,,,,,,,,,,,,,,,,
4002,3,2,2,4003,4001,5000,,28,,,,,,,,,,,,,,,,,,,
4003,3,3,2,4004,4002,10000,,51,,,,,,,,,,,,,,,,,,,
4004,3,4,2,4005,4003,25000,,112,,,,,,,,,,,,,,,,,,,
4005,3,5,2,4006,4004,50000,,202,,,,,,,,,,,,,,,,,,,
4006,3,6,2,4007,4005,75000,1,323,,,,,,,,,,,,,,,,,,,
4007,3,7,2,4008,4006,100000,2,614,,,,,,,,,,,,,,,,,,,
4008,3,8,2,4009,4007,125000,3,829,,,,,,,,,,,,,,,,,,,
4009,3,9,2,4010,4008,150000,4,1077,,,,,,,,,,,,,,,,,,,
4010,3,10,2,4011,4009,175000,5,1509,,,,,,,,,,,,,,,,,,,
4011,3,11,2,4012,4010,200000,6,1735,,,,,,,,,,,,,,,,,,,
