唯一id,buffid,勇士积分
Id,BuffId,WarriorScore
int,int,int
1,50001,40
2,50001,20
3,50001,10
4,50002,50
5,50002,30
6,50002,15
7,50003,50
8,50003,30
9,50003,15
10,50004,50
11,50004,30
12,50004,15
13,50005,50
14,50005,30
15,50005,15
16,50006,40
17,50006,20
18,50006,10
19,50007,50
20,50007,30
21,50007,15
22,50008,40
23,50008,20
24,50008,10
25,50009,50
26,50009,30
27,50009,15
28,50010,50
29,50010,30
30,50010,15
31,50011,50
32,50011,30
33,50011,15
34,50012,50
35,50012,30
36,50012,15
37,50013,50
38,50013,30
39,50013,15
40,50014,50
41,50014,30
42,50014,15
43,50015,50
44,50015,30
45,50015,15
46,50016,50
47,50016,30
48,50016,15
49,50017,50
50,50017,30
51,50017,15
52,50018,50
53,50018,30
54,50018,15
55,50019,40
56,50019,20
57,50019,10
58,50020,50
59,50020,30
60,50020,15
61,50021,40
62,50021,20
63,50021,10
64,50022,40
65,50022,20
66,50022,10
67,50023,50
68,50023,30
69,50023,15
70,50024,50
71,50024,30
72,50024,15
73,50025,50
74,50025,30
75,50025,15
76,50026,50
77,50026,30
78,50026,15
79,50027,50
80,50027,30
81,50027,15
82,50028,50
83,50028,30
84,50028,15
85,50029,50
86,50029,30
87,50029,15
88,50030,40
89,50030,20
90,50030,10
91,50031,50
92,50031,30
93,50031,15
94,50032,50
95,50032,30
96,50032,15
97,50033,50
98,50033,30
99,50033,15
100,50034,50
101,50034,30
102,50034,15
103,50035,40
104,50035,20
105,50035,10
106,50036,40
107,50036,20
108,50036,10
109,50037,40
110,50037,20
111,50037,10
112,50038,50
113,50038,30
114,50038,15
115,50039,50
116,50039,30
117,50039,15
118,50040,50
119,50040,30
120,50040,15
121,50041,40
122,50041,20
123,50041,10
124,50042,40
125,50042,20
126,50042,10
127,50043,40
128,50043,20
129,50043,10
130,50044,40
131,50044,20
132,50044,10
133,50045,50
134,50045,30
135,50045,15
136,50046,50
137,50046,30
138,50046,15
139,50047,50
140,50047,30
141,50047,15
142,50048,40
143,50048,20
144,50048,10
145,50049,50
146,50049,30
147,50049,15
148,50050,50
149,50050,30
150,50050,15
151,50051,50
152,50051,30
153,50051,15
154,50052,50
155,50052,30
156,50052,15
157,50053,50
158,50053,30
159,50053,15
160,50054,50
161,50054,30
162,50054,15
163,50055,50
164,50056,30
165,50057,15
166,50058,50
167,50058,30
168,50058,15
169,50059,40
170,50059,20
171,50059,10
172,50060,40
173,50060,20
174,50060,10
175,50061,50
176,50061,30
177,50061,15
178,50062,40
179,50062,20
180,50062,10
181,50063,50
182,50063,30
183,50063,15
184,50064,40
185,50065,50
186,50066,40
187,50067,50
188,50068,40
189,50069,40
190,50069,20
191,50069,10
192,50070,50
193,50070,30
194,50070,15
195,50071,50
196,50071,30
197,50071,15
198,50072,40
199,50072,20
200,50072,10
201,50073,50
202,50073,30
203,50073,15
204,50074,50
205,50075,30
206,50076,15
207,50077,40
208,50078,20
209,50079,10
210,50080,50
211,50081,30
212,50082,15
213,50083,50
214,50083,30
215,50083,15
216,50084,40
217,50084,20
218,50084,10
219,50085,40
220,50085,20
221,50085,10
222,50086,50
223,50086,30
224,50086,15
225,50087,50
226,50088,30
227,50089,15
228,50090,50
229,50090,30
230,50090,15
231,50091,40
232,50092,20
233,50093,10
234,50094,50
235,50095,30
236,50096,15
237,50097,50
238,50098,30
239,50099,15
240,50100,50
241,50101,30
242,50102,15
243,50103,50
244,50104,30
245,50105,15
246,50106,50
247,50107,30
248,50108,15
249,50109,50
250,50110,30
251,50111,15
252,50112,50
253,50113,30
254,50114,15
255,50115,40
256,50116,20
257,50117,10
258,50118,40
259,50119,20
260,50120,10
261,50121,40
262,50121,20
263,50121,10
264,50122,50
265,50122,30
266,50122,15
267,50123,40
268,50123,20
269,50123,10
270,50124,50
271,50125,30
272,50126,15
273,50127,50
274,50128,30
275,50129,15
276,50130,50
277,50131,30
278,50132,15
279,50133,50
280,50133,30
281,50133,15
282,50134,40
283,50134,20
284,50134,10
285,50135,40
286,50135,20
287,50135,10
288,50136,10
