索引,BossID,掉落Buff列表,关卡Id,勇士积分
Id,BossID,Buffs,LevelId,WarriorScore
int,int,list,int,int
1,50000,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,1001,74
2,50005,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,1001,79
3,50010,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,1001,128
4,50015,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,1001,69
5,50025,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,1001,84
6,50060,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,1002,94
7,50065,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,1002,128
8,50016,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,1002,69
9,50080,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,1002,113
10,50040,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,1002,118
11,50030,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,1003,99
12,50090,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,1003,133
13,50095,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,1003,173
14,50060,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,1003,94
15,50065,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,1003,113
16,50000,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,1004,74
17,50036,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,1004,143
18,50101,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,1004,123
19,50136,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,1004,138
20,50076,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,1004,103
21,50074,1000:184;1000:185;1000:186;1000:187;1000:188;1000:231;1000:234;1000:237;1000:240;1000:243;1000:246;1000:249;1000:252;1000:255;1000:258,1005,193
22,50006,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,1006,79
23,50026,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,1006,84
24,50076,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,1006,103
25,50106,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,1006,158
26,50111,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,1006,183
27,50011,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,1007,128
28,50081,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,1007,118
29,50116,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,1007,108
30,50046,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,1007,148
31,50051,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,1007,153
32,50046,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,1008,148
33,50051,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,1008,153
