唯一id,副本难度,副本关,关卡数量,召唤boss,奖励,最长战斗时间,是否为高级奖励,赠送挑战次数,开启条件,勇士积分,加成积分系数,每日通关奖励
Id,Type,LevelId,LevelNum,BossList,Reward,MaxFightingTime,HighReward,ChallengeNum,UnlockDesc,WarriorScore,LevelCoefficient,DayReward
int,int,int,int,list,list,int,int,int,string,int,int,list
1001,1,1,30,25:50000:1:66926:100;25:50005:1:66926:100;25:50010:1:66926:100;25:50015:1:66926:100;25:50025:1:66926:100,19:1000;,90,0,1,,10,100,19:20000;515:10;45:400
1002,1,2,,25:50060:1:66926:100;25:50065:1:66926:100;25:50016:1:66926:100;25:50080:1:66926:100;25:50040:1:66926:100,19:1100;,90,0,,,15,,
1003,1,3,,25:50030:3:100830:100;25:50090:3:100830:100;25:50095:3:100830:100;25:50060:3:100830:100;25:50065:3:100830:100,19:1200;,90,0,,,20,,
1004,1,4,,25:50000:4:117783:100;25:50036:4:117783:100;25:50101:4:117783:100;25:50136:4:117783:100;25:50076:4:117783:100,19:1300;,90,0,,,25,,
1005,1,5,,100:50074:6:151687:100,19:1400;515:5,90,1,,,50,,
1006,1,6,,25:50006:5:134735:100;25:50026:5:134735:100;25:50076:5:134735:100;25:50106:5:134735:100;25:50111:5:134735:100,19:1500;,90,0,,,35,,
1007,1,7,,25:50011:6:151687:100;25:50081:6:151687:100;25:50116:6:151687:100;25:50046:6:151687:100;25:50051:6:151687:100,19:1600;,90,0,,,40,,
1008,1,8,,25:50046:7:168640:100;25:50051:7:168640:100;25:50056:7:168640:100;25:50131:7:168640:100;25:50146:7:168640:100,19:1700;,90,0,,,45,,
1009,1,9,,25:50065:9:202544:100;25:50140:9:202544:100;25:50005:9:202544:100;25:50100:9:202544:100;25:50000:9:202544:100,19:1800;,90,0,,,50,,
1010,1,10,,100:50024:11:236449:100,19:1900;515:5,90,1,,,100,,
1011,1,11,,25:50001:10:219497:100;25:50007:10:219497:100;25:50012:10:219497:100;25:50017:10:219497:100;25:50027:10:219497:100,19:2200;,90,0,,,60,,
1012,1,12,,25:50061:12:253401:100;25:50067:12:253401:100;25:50072:12:253401:100;25:50082:12:253401:100;25:50042:12:253401:100,19:2500;,90,0,,,65,,
1013,1,13,,25:50062:13:270354:100;25:50092:13:270354:100;25:50067:13:270354:100;25:50032:13:270354:100;25:50098:13:270354:100,19:2800;,90,0,,,70,,
1014,1,14,,25:50002:14:287306:100;25:50037:14:287306:100;25:50102:14:287306:100;25:50137:14:287306:100;25:50077:14:287306:100,19:3100;,90,0,,,75,,
1015,1,15,,100:50089:16:321211:100,19:3400;515:5,90,1,,,150,,
1016,1,16,,25:50007:15:304258:100;25:50027:15:304258:100;25:50077:15:304258:100;25:50107:15:304258:100;25:50112:15:304258:100,19:3700;,90,0,,,85,,
