时装id,时装部位类型,是否隐藏发型,时装性别限制,时装职业限制,是否开放使用,时装品质,属性数量,时装套装
FashionId,FashionLocation,FashionHideHair,FashionSex,FashionUseJob,FashionOpen,FashionQuality,AttrNum,SuitId
int,int,bool,int,list,bool,int,int,list
10001,1,false,,,true,2,2,72;11;48
10002,1,false,,,true,1,1,73;64;71
10003,1,false,,,true,1,1,74;50;62
10004,1,false,,,true,1,1,75;32;34
10005,1,false,,,true,4,4,76;8;68
10006,1,false,,,false,1,1,
10007,1,false,,,false,1,1,
10008,1,false,,,false,1,1,
10009,1,false,,,true,3,3,165;227
10010,1,false,,,true,1,1,77;40;27;67
10011,1,false,,,false,1,1,
10012,1,false,,,false,1,1,
10013,1,false,,,false,1,1,
10014,1,false,,,false,1,1,
10015,1,false,,,false,1,1,
10016,1,false,,,false,1,1,
10017,1,false,,,false,1,1,
10018,1,false,,,true,1,1,78;58;29
10019,1,false,,,true,3,3,166;225
10020,1,false,,,true,3,3,167;225
10021,1,false,,,true,1,1,79;67;23;40
10022,1,false,,,true,1,1,80;61;71
10023,1,false,,,true,1,1,81;29;57
10024,1,false,,,false,1,1,
10025,1,false,,,false,1,1,
10026,1,false,,,true,3,3,168;229
10027,1,false,,,true,3,3,169;229
10028,1,false,,,true,3,3,171;222
10029,1,false,,,true,3,3,172;226
10030,1,false,,,true,3,3,173;221
10031,1,false,,,true,3,3,174;222
10032,1,false,,,true,3,3,175;228
10033,1,false,,,true,1,1,82;36;69
10034,1,false,,,true,1,1,83;39;31
10035,1,false,,,true,3,3,176;224
10036,1,false,,,true,1,1,84;54
10037,1,false,,,true,3,3,177;224
10038,1,false,,,false,1,1,
10039,1,false,,,true,1,1,85;33;36;50
10040,1,false,,,true,3,3,86;54;33
10041,1,false,,,true,3,3,178;230
10042,1,false,,,true,1,1,87;64;24
10043,1,false,,,true,3,3,179;223
10044,1,false,,,true,3,3,180;223
10045,1,false,,,true,1,1,88;60;54
10046,1,false,,,true,1,1,89;51;60
10047,1,false,,,true,3,3,181;221
10048,1,false,,,true,3,3,182;221
10049,1,false,,,true,1,1,90;61;71
10050,1,false,,,true,4,4,91;22;68;32
10051,1,false,,,true,4,4,92;25
10052,1,false,,,true,2,2,93;62;24;51
10053,1,false,,,true,3,3,183;226
10054,1,false,,,true,2,2,94;40;33;41
10055,1,false,,,true,1,1,95;57;28
10056,1,false,,,true,3,3,184;221
10057,1,false,,,true,3,3,185;220;227
10058,1,false,,,true,3,3,186;220
10059,1,false,,,true,3,3,96;38;5;6;71
10064,1,false,,,true,4,4,170;230
10070,1,true,,,true,2,2,97;48;67
10071,1,true,,,true,4,4,98;55
10072,1,false,,,true,4,4,99;26;31
10073,1,true,2,,true,4,4,100;3
10074,1,true,1,,true,4,4,101;4
10075,1,true,2,,true,4,4,102;1
10076,1,true,1,,true,4,4,103;2
10077,1,true,1,,true,4,4,190;210
10078,1,true,2,,true,4,4,191;211
10079,1,true,1,,true,4,4,192;212
10080,1,true,2,,true,4,4,193;213
10081,1,true,1,,true,4,4,194;214
10082,1,true,2,,true,4,4,195;215
10083,1,true,1,,true,4,4,196;216
10084,1,true,2,,true,4,4,197;217
10085,1,true,1,,true,4,4,198;218
10086,1,true,2,,true,4,4,199;219
