等级,绿色升级消耗,蓝色升级消耗,紫色升级消耗,金色升级消耗,红色升级消耗,每级属性
Level,UpMaterial1,UpMaterial2,UpMaterial3,UpMaterial4,UpMaterial5,UpAttribute
int,list,list,list,list,list,int
1,,,,,,40
2,1:10000;495:1,1:20000;496:1,1:30000;497:1,1:50000;498:1,1:50000;498:1,45
3,1:15000;495:2,1:30000;496:2,1:45000;497:2,1:75000;498:2,1:75000;498:2,50
4,1:20000;495:3,1:40000;496:3,1:60000;497:3,1:100000;498:3,1:100000;498:3,55
5,1:25000;495:4,1:50000;496:4,1:75000;497:4,1:125000;498:4,1:125000;498:4,60
6,1:30000;495:5,1:60000;496:5,1:90000;497:5,1:150000;498:5,1:150000;498:5,65
7,1:35000;495:7,1:70000;496:6,1:105000;497:6,1:175000;498:6,1:175000;498:6,70
8,1:40000;495:9,1:80000;496:7,1:120000;497:7,1:200000;498:7,1:200000;498:7,75
9,1:45000;495:11,1:90000;496:8,1:135000;497:8,1:225000;498:8,1:225000;498:8,80
10,1:50000;495:13,1:100000;496:9,1:150000;497:9,1:250000;498:9,1:250000;498:9,85
11,1:55000;495:15,1:110000;496:10,1:165000;497:10,1:275000;498:10,1:275000;498:10,90
12,1:60000;495:20;496:1,1:120000;496:12;497:1,1:180000;497:12;498:1,1:300000;498:12;499:1,1:300000;498:12;499:1,95
13,1:65000;495:25;496:2,1:130000;496:14;497:2,1:195000;497:14;498:2,1:325000;498:14;499:2,1:325000;498:14;499:2,100
14,1:70000;495:30;496:3,1:140000;496:16;497:3,1:210000;497:16;498:3,1:350000;498:16;499:3,1:350000;498:16;499:3,106
15,1:75000;495:35;496:4,1:150000;496:18;497:4,1:225000;497:18;498:4,1:375000;498:18;499:4,1:375000;498:18;499:4,112
16,1:80000;495:40;496:5,1:160000;496:20;497:5,1:240000;497:20;498:5,1:400000;498:20;499:5,1:400000;498:20;499:5,118
17,1:85000;495:45;496:7,1:170000;496:22;497:7,1:255000;497:22;498:7,1:425000;498:22;499:7,1:425000;498:22;499:7,124
18,1:90000;495:50;496:9,1:180000;496:24;497:9,1:270000;497:24;498:9,1:450000;498:24;499:9,1:450000;498:24;499:9,130
19,1:95000;495:55;496:11,1:190000;496:26;497:11,1:285000;497:26;498:11,1:475000;498:26;499:11,1:475000;498:26;499:11,138
20,1:100000;495:60;496:13,1:200000;496:28;497:13,1:300000;497:28;498:13,1:500000;498:28;499:13,1:500000;498:28;499:13,146
21,1:105000;495:70;496:15,1:210000;496:30;497:15,1:315000;497:30;498:15,1:525000;498:30;499:15,1:525000;498:30;499:15,154
22,1:110000;495:80;496:20,1:220000;496:35;497:20,1:330000;497:35;498:20,1:550000;498:35;499:20,1:550000;498:35;499:20,162
23,1:115000;495:90;496:25,1:230000;496:40;497:25,1:345000;497:40;498:25,1:575000;498:40;499:25,1:575000;498:40;499:25,170
24,1:120000;495:100;496:30,1:240000;496:45;497:30,1:360000;497:45;498:30,1:600000;498:45;499:30,1:600000;498:45;499:30,180
25,1:125000;495:110;496:35,1:250000;496:50;497:35,1:375000;497:50;498:35,1:625000;498:50;499:35,1:625000;498:50;499:35,190
26,1:130000;495:120;496:40,1:260000;496:55;497:40,1:390000;497:55;498:40,1:650000;498:55;499:40,1:650000;498:55;499:40,200
27,1:135000;495:130;496:45,1:270000;496:60;497:45,1:405000;497:60;498:45,1:675000;498:60;499:45,1:675000;498:60;499:45,210
28,1:140000;495:140;496:50,1:280000;496:65;497:50,1:420000;497:65;498:50,1:700000;498:65;499:50,1:700000;498:65;499:50,220
29,1:145000;495:150;496:55,1:290000;496:70;497:55,1:435000;497:70;498:55,1:725000;498:70;499:55,1:725000;498:70;499:55,230
30,1:150000;495:160;496:60,1:300000;496:75;497:60,1:450000;497:75;498:60,1:750000;498:75;499:60,1:750000;498:75;499:60,240
