图纸ID,图纸制作材料,时装ID,分解获得
PaperId,MakeMaterial,FashionId,ResolveItem
int,list,int,list
13001,404:50;405:50;406:50;1:30000,10001,496:1
13002,404:30;405:30;406:30;1:10000,10002,495:1
13003,404:30;405:30;406:30;1:10000,10003,495:1
13004,404:30;405:30;406:30;1:10000,10004,495:1
13005,404:90;405:90;406:90;1:70000,10005,498:1
13006,404:30;405:30;406:30;1:10000,10006,495:1
13007,404:30;405:30;406:30;1:10000,10007,495:1
13008,404:30;405:30;406:30;1:10000,10008,495:1
13009,404:70;405:70;406:70;1:50000,10009,495:1
13010,404:50;405:50;406:50;1:30000,10010,495:1
13011,404:30;405:30;406:30;1:10000,10011,495:1
13012,404:30;405:30;406:30;1:10000,10012,495:1
13013,404:30;405:30;406:30;1:10000,10013,495:1
13014,404:30;405:30;406:30;1:10000,10014,495:1
13015,404:30;405:30;406:30;1:10000,10015,495:1
13016,404:30;405:30;406:30;1:10000,10016,495:1
13017,404:30;405:30;406:30;1:10000,10017,495:1
13018,404:50;405:50;406:50;1:30000,10018,495:1
13019,404:70;405:70;406:70;1:50000,10019,497:1
13020,404:70;405:70;406:70;1:50000,10020,497:1;2:200
13021,404:70;405:70;406:70;1:50000,10021,495:1
13022,404:70;405:70;406:70;1:50000,10022,495:1
13023,404:70;405:70;406:70;1:50000,10023,495:1
13024,404:30;405:30;406:30;1:10000,10024,495:1
13025,404:30;405:30;406:30;1:10000,10025,495:1
13026,404:70;405:70;406:70;1:50000,10026,497:1;2:200
13027,404:70;405:70;406:70;1:50000,10027,497:1
13028,404:30;405:30;406:30;1:10000,20001,495:1
13029,404:30;405:30;406:30;1:10000,20002,495:1
13030,404:30;405:30;406:30;1:10000,20003,495:1
13031,404:30;405:30;406:30;1:10000,20004,495:1
13032,404:30;405:30;406:30;1:10000,20005,495:1
13033,404:30;405:30;406:30;1:10000,20006,495:1
13034,404:30;405:30;406:30;1:10000,20007,495:1
13035,404:50;405:50;406:50;1:30000,30001,496:1
13036,404:30;405:30;406:30;1:10000,30002,496:1
13038,420:30;422:30;440:30;1:1000,40001,497:1
13039,420:30;422:30;440:30;1:1000,40002,497:1
13040,404:90;405:90;406:90;1:70000,40003,498:1
13041,404:90;405:90;406:90;1:70000,40004,498:1
13042,420:30;422:30;440:30;1:1000,50001,496:1
13043,420:30;422:30;440:30;1:1000,50002,496:1
13044,420:30;422:30;440:30;1:1000,50003,496:1
13045,420:30;422:30;440:30;1:1000,50004,496:1
13046,420:30;422:30;440:30;1:1000,50005,496:1
13047,404:70;405:70;406:70;1:50000,60001,497:1
13048,404:90;405:90;406:90;1:70000,10064,498:1;2:1000
13063,404:70;405:70;406:70;1:50000,10028,497:1;2:200
13064,404:70;405:70;406:70;1:50000,10029,497:1;2:200
13065,404:70;405:70;406:70;1:50000,10030,497:1;2:200
13066,404:70;405:70;406:70;1:50000,10031,497:1;2:200
13067,404:70;405:70;406:70;1:50000,10032,497:1
13068,404:90;405:90;406:90;1:70000,10033,495:1
13069,404:90;405:90;406:90;1:70000,10034,495:1
13070,404:70;405:70;406:70;1:50000,10035,497:1
13071,404:90;405:90;406:90;1:70000,10036,495:1
13072,404:70;405:70;406:70;1:50000,10037,497:1
13073,404:70;405:70;406:70;1:50000,10038,497:1
13074,404:30;405:30;406:30;1:10000,10039,495:1
13075,404:70;405:70;406:70;1:50000,10040,497:1
13076,404:70;405:70;406:70;1:50000,10041,497:1;2:200
13077,404:30;405:30;406:30;1:10000,10042,495:1
13078,404:70;405:70;406:70;1:50000,10043,497:1;2:200
13079,404:70;405:70;406:70;1:50000,10044,497:1;2:200
13080,404:30;405:30;406:30;1:10000,10045,495:1
13081,404:50;405:50;406:50;1:30000,10046,495:1
13082,404:70;405:70;406:70;1:50000,10047,497:1;2:200
13083,404:70;405:70;406:70;1:50000,10048,497:1;2:200
13084,404:30;405:30;406:30;1:10000,10049,495:1
13085,404:90;405:90;406:90;1:70000,10050,498:1
13086,404:90;405:90;406:90;1:70000,10051,498:1
13087,404:50;405:50;406:50;1:30000,10052,496:1
13088,404:70;405:70;406:70;1:50000,10053,497:1;2:200
13089,404:50;405:50;406:50;1:30000,10054,496:1
13090,404:30;405:30;406:30;1:10000,10055,495:1
13091,404:70;405:70;406:70;1:50000,10056,497:1
13092,404:70;405:70;406:70;1:50000,10057,497:1
13093,404:70;405:70;406:70;1:50000,10058,497:1
13094,404:30;405:30;406:30;1:1000,10059,497:1
13095,404:70;405:70;406:70;1:50000,20008,497:1
13097,404:90;405:90;406:90;1:70000,30005,498:1;2:1000
13098,404:70;405:70;406:70;1:50000,30006,497:1
13099,404:50;405:50;406:50;1:30000,60003,496:1
13100,404:90;405:90;406:90;1:70000,60004,498:1;2:1000
13101,404:30;405:30;406:30;1:1000,60005,498:1;2:1000
13102,404:90;405:90;406:90;1:70000,60006,498:1
13103,404:90;405:90;406:90;1:70000,60007,498:1;2:1000
13104,404:30;405:30;406:30;1:1000,60008,497:1
13105,404:50;405:50;406:50;1:30000,10070,496:1
13106,404:90;405:90;406:90;1:70000,10071,498:1
13107,404:90;405:90;406:90;1:70000,10072,498:1
13108,404:90;405:90;406:90;1:70000,10073,498:1
13109,404:90;405:90;406:90;1:70000,10074,498:1
13110,404:70;405:70;406:70;1:50000,20009,497:1
13111,404:70;405:70;406:70;1:50000,20010,497:1
13112,404:90;405:90;406:90;1:70000,30015,498:1
13113,404:30;405:30;406:30;1:10000,30007,495:1
13114,404:50;405:50;406:50;1:30000,30008,496:1
13115,404:90;405:90;406:90;1:70000,30009,498:1;2:1000
13116,404:50;405:50;406:50;1:30000,30010,496:1
13117,404:50;405:50;406:50;1:30000,30011,496:1
13118,404:50;405:50;406:50;1:30000,30012,496:1
13120,404:70;405:70;406:70;1:50000,30014,497:1
13121,404:90;405:90;406:90;1:70000,40003,498:1
13122,404:90;405:90;406:90;1:70000,40004,498:1
13123,420:30;422:30;440:30;1:1000,40005,498:1;2:1000
13124,420:30;422:30;440:30;1:1000,40006,498:1;2:1000
13125,420:90;422:90;440:90;1:70000,50006,498:1
13126,420:90;422:90;440:90;1:70000,50007,498:1
13127,420:90;422:90;440:90;1:70000,50008,498:1
13128,420:90;422:90;440:90;1:70000,50009,498:1
13129,420:90;422:90;440:90;1:70000,50011,498:1
13130,420:90;422:90;440:90;1:70000,50012,498:1
13131,420:90;422:90;440:90;1:70000,50014,498:1
13132,420:30;422:30;440:30;1:1000,50016,498:1
13133,420:30;422:30;440:30;1:1000,50017,498:1
13134,420:30;422:30;440:30;1:1000,50018,498:1
13135,420:30;422:30;440:30;1:1000,50019,498:1
13136,420:30;422:30;440:30;1:1000,50021,498:1
13137,420:30;422:30;440:30;1:1000,50022,498:1
13138,420:30;422:30;440:30;1:1000,50023,498:1
13139,420:30;422:30;440:30;1:1000,50025,498:1
13140,420:30;422:30;440:30;1:1000,50027,498:1
13141,420:30;422:30;440:30;1:1000,50028,498:1
13142,420:30;422:30;440:30;1:1000,50029,498:1
