属性ID,系数,映射关系
Id,Coefficient,Mapping
int,list,int
1,0:130;1:140;2:150;3:20;4:10;5:10,
2,0:80;1:90;2:110;3:130;4:50;5:50,
3,0:10;1:10;2:10;3:10;4:150;5:150,
4,0:70;1:140;2:80;3:80;4:80;5:90,
5,0:50;1:40;2:30;3:150;4:100;5:100,
6,0:20;1:60;2:100;3:90;4:90;5:80,
7,0:1;1:1;2:1;3:1;4:1;5:1,
8,0:10;1:10;2:10;3:10;4:10;5:10,
9,0:10;1:12;2:12;3:12;4:2;5:4,
10,0:4;1:4;2:4;3:4;4:12;5:12,
11,0:12;1:12;2:12;3:12;4:12;5:12,
12,0:12;1:12;2:12;3:12;4:12;5:12,
13,0:25;1:50;2:50;3:50;4:50;5:50,
14,0:25;1:50;2:50;3:50;4:50;5:50,
15,0:25;1:50;2:50;3:50;4:50;5:50,
16,0:25;1:50;2:50;3:50;4:50;5:50,
17,0:1;1:1;2:1;3:1;4:1;5:1,
18,0:2;1:2;2:2;3:4;4:4;5:4,
19,0:0;1:0;2:0;3:0;4:0;5:0,
20,0:0;1:0;2:0;3:0;4:0;5:0,
21,0:50;1:50;2:50;3:50;4:50;5:50,
31,0:0;1:0;2:0;3:0;4:0;5:0,
32,0:0;1:0;2:0;3:0;4:0;5:0,
33,0:0;1:0;2:0;3:0;4:0;5:0,
34,0:0;1:0;2:0;3:0;4:0;5:0,
35,0:0;1:0;2:0;3:0;4:0;5:0,
36,0:0;1:0;2:0;3:0;4:0;5:0,
37,0:0;1:0;2:0;3:0;4:0;5:0,7
38,0:0;1:0;2:0;3:0;4:0;5:0,8
39,0:0;1:0;2:0;3:0;4:0;5:0,9
40,0:0;1:0;2:0;3:0;4:0;5:0,10
41,0:0;1:0;2:0;3:0;4:0;5:0,11
42,0:0;1:0;2:0;3:0;4:0;5:0,12
43,0:0;1:0;2:0;3:0;4:0;5:0,13
44,0:0;1:0;2:0;3:0;4:0;5:0,14
45,0:0;1:0;2:0;3:0;4:0;5:0,15
46,0:0;1:0;2:0;3:0;4:0;5:0,16
47,0:0;1:0;2:0;3:0;4:0;5:0,17
48,0:0;1:0;2:0;3:0;4:0;5:0,18
49,0:0;1:0;2:0;3:0;4:0;5:0,
50,0:0;1:0;2:0;3:0;4:0;5:0,
51,0:0;1:0;2:0;3:0;4:0;5:0,
71,0:10;1:10;2:10;3:10;4:10;5:10,
72,0:10;1:10;2:10;3:10;4:10;5:10,
73,0:10;1:10;2:10;3:10;4:10;5:10,
74,0:10;1:10;2:10;3:10;4:10;5:10,
75,0:10;1:10;2:10;3:10;4:10;5:10,
76,0:10;1:10;2:10;3:10;4:10;5:10,
77,0:10;1:10;2:10;3:10;4:10;5:10,
78,0:10;1:10;2:10;3:10;4:10;5:10,
81,0:10;1:10;2:10;3:10;4:10;5:10,
82,0:10;1:10;2:10;3:10;4:10;5:10,
83,0:10;1:10;2:10;3:10;4:10;5:10,
84,0:10;1:10;2:10;3:10;4:10;5:10,
85,0:10;1:10;2:10;3:10;4:10;5:10,
86,0:10;1:10;2:10;3:10;4:10;5:10,
87,0:10;1:10;2:10;3:10;4:10;5:10,
88,0:10;1:10;2:10;3:10;4:10;5:10,
91,0:20;1:20;2:20;3:20;4:8;5:12,
92,0:8;1:8;2:8;3:8;4:20;5:20,
93,0:20;1:20;2:20;3:20;4:8;5:12,
94,0:8;1:8;2:8;3:8;4:20;5:20,
95,0:12;1:18;2:18;3:18;4:18;5:18,
96,0:12;1:18;2:18;3:18;4:18;5:18,
97,0:10;1:18;2:18;3:18;4:18;5:18,
98,0:10;1:10;2:10;3:10;4:10;5:10,
99,0:10;1:10;2:10;3:10;4:10;5:10,
100,0:1;1:1;2:1;3:1;4:1;5:1,
101,0:1;1:1;2:1;3:1;4:1;5:1,
110,0:1;1:1;2:1;3:1;4:1;5:1,
111,0:1;1:1;2:1;3:1;4:1;5:1,
112,0:1;1:1;2:1;3:1;4:1;5:1,
113,0:1;1:1;2:1;3:1;4:1;5:1,
114,0:1;1:1;2:1;3:1;4:1;5:1,
115,0:1;1:1;2:1;3:1;4:1;5:1,
116,0:1;1:1;2:1;3:1;4:1;5:1,
117,0:1;1:1;2:1;3:1;4:1;5:1,
118,0:1;1:1;2:1;3:1;4:1;5:1,
121,0:1;1:1;2:1;3:1;4:1;5:1,
122,0:1;1:1;2:1;3:1;4:1;5:1,
123,0:1;1:1;2:1;3:1;4:1;5:1,
124,0:1;1:1;2:1;3:1;4:1;5:1,
125,0:1;1:1;2:1;3:1;4:1;5:1,
126,0:1;1:1;2:1;3:1;4:1;5:1,
127,0:1;1:1;2:1;3:1;4:1;5:1,
128,0:1;1:1;2:1;3:1;4:1;5:1,
129,0:1;1:1;2:1;3:1;4:1;5:1,
