全局配置id,开服天数,星期几的BOSS,Boss等级,BOSS等级达到上限,免费挑战次数,挑战次数购买上限,单局结算奖励,挑战次数购买价格,召唤物id,BOSS开启时间,boss存活时间,BOSS结算CD,挑战时间,评分档位所需伤害量,宝箱奖励,整场伤害上限校验
Id,BossLvCycle,WeekDay,BossLevel,BossLvMax,FreeChallenge,ChallengeTimes,ChallengeReward,ChallengePrice,SummonId,SummonTime,LifeTime,SettlementCd,BattleTime,DamageSegment,DamageReward,DamageCheck
int,list,int,int,int,int,int,list,list,int,string,int,int,int,string,list,string
1,1:7,1,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4100,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11204:1;11205:1;11206:1;11207:1;11208:1,900000000
2,1:7,2,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4200,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11216:1;11217:1;11218:1;11219:1;11220:1,900000000
3,1:7,3,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4300,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11221:1;11222:1;11223:1;11224:1;11225:1,900000000
4,1:7,4,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4400,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11226:1;11227:1;11228:1;11229:1;11230:1,900000000
5,1:7,5,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4500,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11231:1;11232:1;11233:1;11234:1;11235:1,900000000
6,1:7,6,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4600,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11236:1;11237:1;11238:1;11239:1;11240:1,900000000
7,1:7,7,1,,1,30,24:200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4700,5:00:00,86400,1800,40,0:0:100000;1:100001:300000;2:300001:800000;3:800001:1400000;4:1400001:2600000;5:2600001:3000000,11241:1;11242:1;11243:1;11244:1;11245:1,900000000
11,8:14,1,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4100,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11246:1;11247:1;11248:1;11249:1;11250:1,900000000
12,8:14,2,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4200,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11251:1;11252:1;11253:1;11254:1;11255:1,900000000
13,8:14,3,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4300,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11256:1;11257:1;11258:1;11259:1;11260:1,900000000
