地块编号,地块类别,功能类型,固定时间间隔资源产出,初始机器人Id,保护时间(分钟),占领时间(分钟),固定时间间隔资源产出
Id,AreaType,FunType,RewardList,Robot,TimeProtect,TimeReward,ShowRewardList
int,int,int,list,int,int,int,list
1,1,1,28:80;1:2500;33:100;152:4;220:5,10000,60,480,28:80;1:2500;33:100
2,2,1,28:50;1:1750;33:70;152:3;220:3,10001,60,360,28:50;1:1750;33:70
3,2,1,28:50;1:1750;33:70;152:3;220:3,10001,60,360,28:50;1:1750;33:70
4,2,1,28:50;1:1750;33:70;152:3;220:3,10001,60,360,28:50;1:1750;33:70
5,7,2,,,,,
6,2,1,28:50;1:1750;33:70;152:3;220:2,10001,60,360,28:50;1:1750;33:70
7,2,1,28:50;1:1750;33:70;152:3;220:2,10001,60,360,28:50;1:1750;33:70
8,2,1,28:50;1:1750;33:70;152:3;220:2,10001,60,360,28:50;1:1750;33:70
9,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
10,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
11,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
12,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
13,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
14,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
15,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
16,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
17,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
18,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
19,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
20,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
21,3,1,28:50;1:1750;33:70;152:3;220:2,10002,60,300,28:35;1:1500;33:60
22,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
23,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
24,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
25,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
26,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
27,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
28,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
29,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
30,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
31,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
32,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
33,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
34,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
35,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
36,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
37,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
38,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
39,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
40,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
41,4,1,28:25;1:1250;33:50;152:2;220:1,10003,60,240,28:25;1:1250;33:50
42,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
