id,道具类型,道具品质,叠加数量,是否自动使用,是否消耗道具,需要等级,是否绑定,是否分职业,合成目标,分解目标,道具时效,碎片展示,获取途径,属性,对应藏品,道具使用所需时间
Id,ResType,Quality,Composition,AutoUse,Costitem,NeedLevel,Bang,Job,ComposeItem,Resolve,ItemTime,DebrisShow,SourceFun,NatureType,ActivationItem,ItemTimeCd
int,int,int,int,int,list,int,int,int,list,list,int,int,list,int,int,int
1,1,1,0,0,,,1,,,,,,4;9,,,
2,2,4,0,0,,,1,,,,,,24;99,,,
3,3,1,0,0,,,1,,,,,,,,,
4,4,1,0,0,,,1,,,,,,4,,,
5,5,3,0,0,,,1,,,,,,4;14,,,
11,11,3,0,0,,,1,,,,,,4;13,,,
12,12,1,0,0,,,1,,,,,,9,,,
13,13,1,0,0,,,1,,,,,,,,,
14,1,1,0,0,,,1,,,,,,,,,
17,17,1,0,0,,,,,,,,,,,,
18,1,1,0,0,,,1,,            ,,,,,,,
19,19,3,0,0,,,1,,,,,,19,,,
20,20,3,0,0,,,1,,,,,,98,,,
23,23,1,0,0,,,1,,,,,,,,,
24,24,3,0,0,,,1,,,,,,18,,,
25,25,1,0,0,,,1,,,,,,,,,
26,26,1,0,0,,,1,,,,,,,,,
28,28,1,0,0,,,1,,,,,,97,,,
29,29,1,0,0,,,1,,,,,,,,,
31,7,2,9999,0,,,1,,,,,,,,,
33,33,2,0,0,,,1,,,,,,,,,
34,34,3,0,0,,,1,,,,,,30,,,
35,35,3,0,0,,,1,,,,,,,,,
36,36,1,0,0,,,1,,,,,,18,,,
37,36,2,0,0,,,1,,,,,,18,,,
38,36,3,0,0,,,1,,,,,,18,,,
39,36,4,0,0,,,1,,,,,,18,,,
40,40,4,9999,0,,,1,,,,5,,,,,
41,41,4,9999,0,,,1,,1,,,,,,,
42,41,4,9999,0,,,1,,2,,,,,,,
43,42,4,9999,0,,10,1,,,,,,,,,
44,7,1,0,0,,,1,,,,,,,,,
45,45,3,9999,0,,,1,,,,,,19,,,
46,36,3,0,0,,,,,,,,,,,,
47,47,4,0,0,,,1,,,,,,31,,,
48,7,3,99999,0,,,1,,,,,,100,,,
100,7,3,9999,0,,,1,,,,,,29;96;97,,,
101,7,3,9999,0,,,1,,,,,,8,,,
102,7,3,9999,0,,,1,,,,,,8,,,
106,7,4,9999,0,,,1,,,,,,,,,
108,7,4,9999,0,,,1,,,,,,,,,
109,7,4,9999,0,,,1,,,,,,,,,
110,7,4,9999,0,,,1,,,,,,8,,,
111,15,1,9999,0,,,1,,,,,,99,,,
112,15,2,9999,0,,,1,,,,,,99,,,
113,15,3,9999,0,,,1,,,,,,99;26,,,
114,15,4,9999,0,,,1,,,,,,99;29,,,
115,7,3,999,0,,,1,,,,,,,,,
116,7,3,999,0,,,1,,,,,,,,,
117,7,4,999,0,,,1,,,,,,,,,
118,1,1,0,0,,,1,,,,,,,,,
119,2,1,0,0,,,1,,,,,,,,,
120,1,1,0,0,,,1,,,,,,,,,
121,2,1,0,0,,,1,,,,,,,,,
122,1,1,0,0,,,1,,,,,,,,,
123,2,1,0,0,,,1,,,,,,,,,
124,27,1,99,0,,10,1,,3:3600,,,,,,,
125,27,1,99,0,,10,1,,1:3600,,,,,,,
126,27,1,99,0,,10,1,,5:3600,,,,,,,
127,27,1,99,0,,10,1,,11:3600,,,,,,,
128,27,2,99,0,,10,1,,3:14400,,,,,,,
129,27,2,99,0,,10,1,,1:14400,,,,,,,
130,27,2,99,0,,10,1,,5:14400,,,,,,,
131,27,2,99,0,,10,1,,11:14400,,,,,,,
132,27,3,99,0,,10,1,,3:28800,,,,,,,
133,27,3,99,0,,10,1,,1:28800,,,,,,,
134,27,3,99,0,,10,1,,5:28800,,,,,,,
135,27,3,99,0,,10,1,,11:28800,,,,,,,
136,27,4,50,0,,10,1,,3:43200,,,,,,,
137,27,4,50,0,,10,1,,1:43200,,,,,,,
138,27,4,50,0,,10,1,,5:43200,,,,,,,
139,27,4,50,0,,10,1,,11:43200,,,,,,,
140,16,3,999,0,,32,1,0,4001,4001,,,,,,
141,16,4,999,0,,32,1,0,4002,4002,,,,,,
145,7,4,9999,0,,10,1,0,,,,,,,,
146,7,3,9999,0,,,1,,,,5,,,,,
147,7,3,9999,0,,,1,,,,5,,,,,
148,7,3,9999,0,,,1,,,,5,,,,,
149,7,3,9999,0,,,1,,,,5,,,,,
150,16,3,9999,0,,,,,4901,4901,5,,,,,
151,16,4,9999,0,,,,,4902,4902,5,,,,,
152,7,3,9999,0,,,1,,,,2,,,,,
153,7,3,9999,0,,,1,,,,5,,,,,
154,7,3,9999,0,,,1,,,,5,,,,,
155,7,3,9999,0,,,1,,,,5,,,,,
156,7,3,9999,0,,,1,,,,5,,,,,
157,7,3,9999,0,,,1,,,,5,,,,,
158,16,3,9999,0,,,,,4903,4903,5,,,,,
159,16,2,9999,0,,,1,,6425,6425,,,,,,
160,16,3,9999,0,,,1,,6426,6426,,,,,,
161,16,3,9999,0,,,1,,6427,6427,,,,,,
162,16,4,9999,0,,,1,,6428,6428,,,,,,
163,16,4,9999,0,,,1,,6429,6429,,,,,,
164,16,3,9999,0,,,,,6430,6430,,,,,,
165,16,4,9999,0,,,,,6431,6431,,,,,,
166,7,4,9999,0,,,,,,,5,,,,,
167,16,3,9999,0,,,,,6432,6432,5,,,,,
168,16,3,9999,0,,,,,6433,6433,5,,,,,
169,7,3,9999,0,,,,,,,5,,,,,
170,7,3,9999,0,,,,,,,5,,,,,
171,7,3,9999,0,,,,,,,5,,,,,
172,7,3,9999,0,,,,,,,5,,,,,
173,7,3,9999,0,,,,,,,5,,,,,
174,7,3,9999,0,,,,,,,5,,,,,
175,7,3,9999,0,,,,,,,5,,,,,
176,16,4,9999,0,,,1,,6434,6434,6,,,,,
177,16,3,9999,0,,,1,,6435,6435,6,,,,,
178,16,3,1,0,183:150,,1,,6436,6436,5,,,,,
179,16,4,1,0,183:150,,1,,6437,6437,5,,,,,
180,16,4,1,0,183:150,,1,,6438,6438,5,,,,,
181,16,4,1,0,183:150,,1,,6439,6439,5,,,,,
182,16,4,1,0,183:150,,1,,6440,6440,5,,,,,
183,7,3,9999,0,,,1,,,,5,,,,,
184,16,3,9999,0,,,1,,6441,6441,5,,,,,
185,16,4,9999,0,,,1,,6442,6442,5,,,,,
186,16,4,9999,0,,,1,,6443,6443,5,,,,,
187,16,4,9999,0,,,1,,6444,6444,5,,,,,
188,16,4,9999,0,,,1,,6445,6445,5,,,,,
189,16,4,9999,0,,,1,,6446,6446,5,,,,,
190,7,4,9999,0,,,1,,,,,,99;29,,,
191,15,5,9999,0,,,1,,,,,,99;29,,,
192,7,1,9999,,,,,,,,,,25,,,
193,7,2,9999,,,,,,,,,,25,,,
194,7,3,9999,,,,,,,,,,25,,,
195,7,4,9999,,,,,,,,,,25,,,
196,7,5,9999,,,,,,,,,,25,,,
197,16,2,999,0,,32,1,0,4042,4042,,,,,,
198,16,3,999,0,,32,1,0,4043,4043,,,,,,
199,16,4,999,0,,32,1,0,4044,4044,,,,,,
200,15,4,9999,0,,,1,,,,,,99,,,
201,7,2,9999,0,,,,,,,2,,,,,
202,16,4,9999,0,,,,,6535,6535,4,,24,,,
203,7,3,9999,0,,,,,,,5,,,,,
204,16,4,9999,0,,,1,,6538,6538,6,,,,,
205,16,3,9999,0,,,1,,6539,6539,6,,,,,
206,16,4,9999,0,,,1,,6538,6538,6,,,,,
207,16,3,9999,0,,,1,,6539,6539,6,,,,,
208,16,3,9999,0,,,1,,6539,6539,6,,,,,
209,16,3,9999,0,,,1,,6538,6538,6,,,,,
210,16,3,9999,0,,,1,,6540,6540,6,,,,,
211,16,4,9999,0,,,1,,6538,6538,6,,,,,
212,16,3,9999,0,,,1,,6539,6539,6,,,,,
213,16,3,9999,0,,,1,,6541,6541,6,,,,,
214,16,3,9999,0,,,1,,6539,6539,6,,,,,
215,7,3,9999,0,,,1,,,,5,,,,,
216,7,3,9999,0,,,1,,,,5,,,,,
217,7,3,9999,0,,,1,,,,5,,,,,
218,7,3,9999,0,,,1,,,,5,,,,,
219,16,3,9999,0,,,,,4911,4911,5,,,,,
220,7,3,9999,0,,,1,,,,5,,,,,
221,16,4,9999,0,,,1,,6539,6539,6,,,,,
222,16,3,9999,0,,,1,,6538,6538,6,,,,,
223,16,4,9999,0,,,1,,6541,6541,6,,,,,
224,16,3,9999,0,,,1,,6539,6539,6,,,,,
225,49,3,9999,0,,,1,,2:100,111,,,,,,
226,16,3,9999,0,,10,1,0,6052,6052,,,,,,
227,16,4,9999,0,,10,1,0,6053,6053,,,,,,
228,49,3,9999,0,,,1,,2:100,201,,,,,,
229,49,3,9999,0,,,1,,2:100,202,,,,,,
230,16,4,9999,0,,,1,,6541,6541,6,,,,,
231,16,3,9999,0,,,1,,6539,6539,6,,,,,
232,16,3,9999,0,,,1,,8016,8016,5,,,,,
