职业ID,职业名字,站位,职业类型,职业分支,职业阶段,职业等级上限,上阶职业,下阶职业,转职条件,消耗道具,转生,转职人物等级,转职职业等级,装备背包格子,生命系数,蓝量系数,物攻系数,魔攻系数,物防系数,魔防系数,命中系数,闪避系数,暴击系数,韧性系数,攻速,职业武器类型,普攻技能id,默认技能id,属性id,种族id,自动加点,备用技能id
Id,JobName,Position,JobType,JobBranch,JobStage,MaxJobLv,BeforeJobId,AfterJobId,ChangeCond,ItemCost,Again,UpBaseLV,UpJobLv,Bag,HpRate,SpRate,AtkRate,MatkRate,DefRate,MdefRate,HitRate,DodgeRate,CritRate,TenRate,Aspd,ArmsType,NormalSkillIds,SkillIds,NatureId,RaceId,AutoAddPoint,AlternativeSkills
int,string,int,int,int,int,int,int,list,list,list,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,list,list,int,int,list,list
10000,JobName_10000,2,0,0,0,10,0,10010;20010;30010;40010;50010,10001,,0,10,10,100,6000,6000,6500,0,3000,3000,2000,1000,5000,5000,175,1,10000;10001,10003;10003;10003;10003,1,8,1:60;4:30;5:10,
10010,JobName_10010,2,1,0,1,50,10000,10021;10022,10003,,0,40,50,100,8000,6000,6500,0,7000,5000,2000,1000,5000,5000,170,1,11000;11001;11002,11003;11003;11003;11003,1,8,4:80;1:20,
20010,JobName_20010,8,4,0,1,50,10000,20021;20022,10003,,0,40,50,100,7000,7500,0,8000,3000,5000,7000,1000,7000,5000,160,1,12000,12003;12003;12003;12003,1,8,3:85;5:15,
30010,JobName_30010,7,3,0,1,50,10000,30021;30022,10003,,0,40,50,100,7200,6500,7500,0,5000,4000,3500,3500,5000,5000,175,1,13000,13003;13003;13003;13003,1,8,5:90;6:10,
40010,JobName_40010,3,2,0,1,50,10000,40021;40022,10003,,0,40,50,100,6800,6500,7800,0,4000,3000,2500,8000,6500,5000,180,2,14000;14001;14002,14003;14003;14003;14003,1,8,1:85;6:15,
50010,JobName_50010,6,5,0,1,50,10000,50021;50022,10003,,0,40,50,100,7300,8000,0,7500,5500,5000,3000,2500,6000,9000,165,1,15000,15003;15003;15003;15003,1,8,3:80;5:20,
10021,JobName_10021,2,1,1,2,60,10010,10031,10007,190:1,0,80,50,100,8000,6500,8500,0,7000,7000,4000,2000,7500,7000,170,1,11000;11001;11002,11003;11003;11003;11003,1,8,4:80;1:20,
10022,JobName_10022,2,1,2,2,60,10010,10032,10007,190:1,0,80,50,100,8500,6500,6500,0,8000,5000,3000,2000,5000,7000,170,1,11000;11001;11002,11003;11003;11003;11003,1,8,4:80;1:20,
10031,JobName_10031,2,1,1,3,100,10021,11000,,,0,99,50,100,8500,6500,8500,0,7000,7000,4000,2000,7500,7000,170,1,11000;11001;11002,11003;11003;11003;11003,1,8,4:80;1:20,
10032,JobName_10032,2,1,2,3,100,10022,11000,,,0,99,50,100,8500,6500,6500,0,8000,5000,3000,2000,5000,7000,170,1,11000;11001;11002,11003;11003;11003;11003,1,8,4:80;1:20,
20021,JobName_20021,8,4,1,2,60,20010,20031,10007,190:1,0,80,50,100,7000,8000,0,9200,4000,6500,9200,2000,8000,5000,160,1,12000,12003;12003;12003;12003,1,8,3:85;5:15,
20022,JobName_20022,8,4,2,2,60,20010,20032,10007,190:1,0,80,50,100,7300,8000,0,8500,5000,6500,7000,2000,7000,5000,160,1,12000,12003;12003;12003;12003,1,8,3:85;5:15,
20031,JobName_20031,8,4,1,3,100,20021,11000,,,0,99,50,100,7000,8000,0,9200,4000,6500,9200,2000,8000,5000,160,1,12000,12003;12003;12003;12003,1,8,3:85;5:15,
20032,JobName_20032,8,4,2,3,100,20022,11000,,,0,99,50,100,7300,8000,0,8500,5000,6500,7000,2000,7000,5000,160,1,12000,12003;12003;12003;12003,1,8,3:85;5:15,
30021,JobName_30021,7,3,1,2,60,30010,30031,10007,190:1,0,80,50,100,7500,7500,8500,0,5000,4000,6500,3500,5000,5000,175,1,13000,13003;13003;13003;13003,1,8,5:90;6:10,
30022,JobName_30022,7,3,2,2,60,30010,30032,10007,190:1,0,80,50,100,7200,7000,8800,0,5000,5000,5000,5500,7000,5000,175,1,13000,13003;13003;13003;13003,1,8,5:90;6:10,
30031,JobName_30031,7,3,1,3,100,30021,11000,,,0,99,50,100,7500,7500,8500,0,5000,4000,6500,3500,5000,5000,175,1,13000,13003;13003;13003;13003,1,8,5:90;6:10,
30032,JobName_30032,7,3,2,3,100,30022,11000,,,0,99,50,100,7200,7000,8800,0,5000,5000,5000,5500,7000,5000,175,1,13000,13003;13003;13003;13003,1,8,5:90;6:10,
40021,JobName_40021,3,2,1,2,60,40010,40031,10007,190:1,0,80,50,100,6900,8000,9100,0,4000,3000,4000,9000,8500,7000,180,1,14000;14001;14002,14003;14003;14003;14003,1,8,1:85;6:15,
40022,JobName_40022,3,2,2,2,60,40010,40032,10007,190:1,0,80,50,100,7400,7000,8400,0,6000,3000,2500,8000,6500,5000,180,1,14000;14001;14002,14003;14003;14003;14003,1,8,1:85;6:15,
40031,JobName_40031,3,2,1,3,100,40021,11000,,,0,99,50,100,6900,8000,9100,0,4000,3000,4000,9000,8500,7000,180,1,14000;14001;14002,14003;14003;14003;14003,1,8,1:85;6:15,
40032,JobName_40032,3,2,2,3,100,40022,11000,,,0,99,50,100,7400,7000,8400,0,6000,3000,2500,8000,6500,5000,180,1,14000;14001;14002,14003;14003;14003;14003,1,8,1:85;6:15,
50021,JobName_50021,6,5,1,2,60,50010,50031,10007,190:1,0,80,50,100,7300,9500,0,8600,5500,8000,4000,4000,7500,9500,165,1,15000,15003;15003;15003;15003,1,8,3:80;5:20,
50022,JobName_50022,3,5,2,2,60,50010,50032,10007,190:1,0,80,50,100,7700,8000,0,8800,5500,5000,3500,3500,6000,9000,165,1,15004;15005;15006,15003;15003;15003;15003,1,8,3:80;5:20,
50031,JobName_50031,6,5,1,3,100,50021,11000,,,0,99,50,100,7300,9500,0,8600,5500,8000,4000,4000,7500,9500,165,1,15000,15003;15003;15003;15003,1,8,3:80;5:20,
50032,JobName_50032,3,5,2,3,100,50022,11000,,,0,99,50,100,7700,8000,0,8800,5500,5000,3500,3500,6000,9000,165,1,15004;15005;15006,15003;15003;15003;15003,1,8,3:80;5:20,
