job等级,未转身所需经验,1转升级点,1转所需经验,2转升级点,3转所需经验,3转升级点
jobLevel,expRequire1,point1,expRequire2,point2,expRequire3,point3
int,int,int,int,int,int,int
1,40,1,500,1,50000,1
2,45,1,1000,1,65000,1
3,50,1,1800,1,80000,1
4,55,1,2800,1,95000,1
5,60,1,3800,1,110000,1
6,70,1,4800,1,115000,1
7,80,1,5800,1,120000,1
8,90,1,6500,1,125000,1
9,100,1,7700,1,130000,1
10,,,8900,1,135000,1
11,,,10100,1,150000,1
12,,,11300,1,170000,1
13,,,12500,1,190000,1
14,,,13700,1,210000,1
15,,,14900,1,230000,1
16,,,16100,1,250000,1
17,,,17300,1,270000,1
18,,,18500,1,290000,1
19,,,19700,1,330000,1
20,,,20900,1,370000,1
21,,,22100,1,420000,1
22,,,23300,1,450000,1
23,,,24500,1,480000,1
24,,,25700,1,550000,1
25,,,26900,1,600000,1
26,,,28100,1,700000,1
27,,,29300,1,800000,1
28,,,30500,1,900000,1
29,,,31700,1,1000000,1
30,,,32900,1,1100000,1
31,,,34100,1,1200000,1
32,,,35300,1,1300000,1
33,,,36500,1,1400000,1
34,,,37700,1,1500000,1
35,,,38900,1,1600000,1
36,,,40100,1,1700000,1
37,,,41300,1,1800000,1
38,,,42500,1,1900000,1
39,,,43700,1,2000000,1
40,,,44900,1,2200000,1
41,,,46100,1,2400000,1
42,,,47300,1,2600000,1
43,,,48500,1,2800000,1
44,,,49700,1,3000000,1
45,,,50900,1,3200000,1
46,,,52100,1,3400000,1
47,,,53300,1,3600000,1
48,,,54500,1,3800000,1
49,,,55700,1,4050000,1
50,,,,,5000000,1
51,,,,,6000000,1
52,,,,,7000000,1
53,,,,,8000000,1
54,,,,,9000000,1
55,,,,,10000000,1
56,,,,,11000000,1
57,,,,,12000000,1
58,,,,,13000000,1
59,,,,,14000000,1
