唯一id,场景id,地图id,场景类型,挑战CD,在线base经验,在线伙伴经验,在线银币,技能经验,在线金币,在线魔魂值,在线掉落包ID,活动掉落ID,通关base经验,通关job经验,通关银币,通关金币,通关伙伴经验,活动通关现金,通关超过人数,通关公会活跃,通关掉落包ID,bossId,挑战后掉落次数,BOSS挑战等级,巡游前剧情ID,剧情索引ID,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,里程积分,查封配置
Id,LevelId,MapId,LevelType,FightCD,BaseExpOl,ParterOl,ZenyOl,CruiseOl,GoldOl,EvilOl,DropOl,HdDrop,BaseExp,JobExp,Zeny,Gold,Parter,Cash,PassNum,GuildActive,Drop,BossId,DropTimes,FightLv,DlgId,DlgContentId,FightCheck,SpAddition,PowerWeaken,StayTimeWeaken,version,MapScore,CloseDown
int,int,int,int,int,int,int,int,int,int,int,list,list,int,int,int,int,int,int,int,int,list,int,int,int,int,int,int,string,string,string,int,int,string
10001,1,1,1,1,1340,768,1448,120,0,12,10000:501,,1000,30,280,5,540,10,100,,10000:503,90000001,0,1,2,1,13,20:0,,,7,1,
10002,2,1,1,1,1340,768,1448,120,0,12,10000:501,,1020,40,280,5,560,6,120,,10000:504,90010001,0,1,,,20,20:0,,,7,1,
10003,3,1,1,1,1340,768,1448,120,0,12,10000:501,,1040,50,280,5,580,3,140,,10000:504,90010002,0,1,,,27,20:0,,,7,1,
10004,4,1,1,1,1340,768,1448,120,0,12,10000:501,,1060,60,280,5,600,2,160,,10000:504,90015003,0,1,,,35,20:0,,,7,1,
10005,5,1,1,1,1340,768,1448,120,0,12,10000:501,,1080,70,280,5,620,1,180,,10000:504,90001004,0,1,,,39,20:0,,,7,1,
10006,6,1,1,1,1348,772,1452,124,0,12,10000:501,,1100,80,280,5,640,0,200,10,10000:503,90006005,0,1,,,52,20:0,,,7,1,
10007,7,1,1,1,1348,772,1452,124,0,12,10000:501,,1120,90,280,5,660,0,220,,10000:504,90011006,0,1,,,53,20:0,,,7,1,
10008,8,1,1,1,1348,772,1452,124,0,12,10000:501,,1140,100,280,5,680,0,240,,10000:504,90016007,0,1,,,54,20:0,,,7,1,
10009,9,1,1,1,1348,772,1452,124,0,12,10000:501,,1150,110,280,5,690,0,260,,10000:504,90002008,0,1,,,55,20:0,,,7,1,
10010,10,1,1,1,1348,772,1452,124,0,12,10000:501,,1160,117,280,5,700,1,280,10,10000:504,90007009,0,1,,,75,20:0,,,7,1,
10011,11,1,1,1,1356,776,1456,124,0,12,10000:1,,1170,124,284,5,710,0,300,,10000:503,90012010,0,1,,,85,20:0,,,7,2,
10012,12,1,1,1,1356,776,1456,124,0,12,10000:1,,1180,131,284,5,720,0,320,10,10000:504,90017011,0,1,,,95,20:0,,,7,2,
10013,13,1,1,1,1356,776,1456,124,0,12,10000:1,,1190,138,284,5,730,0,340,,10000:504,90003012,0,1,,,130,20:0,,,7,2,
