任务ID,任务枚举,奖励,是否为开始任务,后续ID
MissionID,MissionCondition,Reward,BeginMission,FollowMissionld
int,list,list,int,int
100102,1:10,1:10000,1,100103
100103,1:20,512:1,,100104
100104,1:30,512:2,,100105
100105,1:40,2:50,,100106
100106,1:50,2:50,,100107
100107,1:60,2:50,,100108
100108,1:70,2:50,,100109
100109,1:80,2:50,,100110
100110,1:90,2:50,,100111
100111,1:100,2:50,,
100201,11:10004,1001:1,1,100216
100216,11:10020,601:5,,100221
100221,11:20010,601:5,,100226
100226,11:20030,601:10,,100231
100231,11:30015,602:5,,100236
100236,11:30035,602:5,,100241
100241,11:40015,602:10,,100246
100246,11:40035,602:10,,100251
100251,11:50010,603:5,,100256
100256,11:50030,603:5,,100261
100261,11:50050,603:7,,100266
100266,11:60020,603:7,,100271
100271,11:60040,604:3,,100276
100276,11:70010,604:4,,100281
100281,11:70030,604:5,,100286
100286,11:70050,604:6,,100291
100291,11:80020,604:7,,100296
100296,11:80040,604:8,,100301
100301,11:90010,605:3,,100306
100306,11:90030,605:4,,100311
100311,11:90050,605:5,,100312
100312,11:100025,607:1,,100313
100313,11:110025,607:1,,100314
100314,11:120025,607:1,,100315
100315,11:130025,607:1,,100316
100316,11:140025,607:1,,100317
100317,11:150025,607:1,,100318
100318,11:160025,607:1,,100319
100319,11:170025,607:1,,100320
100320,11:180025,607:1,,100321
100321,11:190025,607:1,,100322
100322,11:200025,607:1,,100323
100323,11:210025,607:1,,100324
100324,11:220025,607:1,,100325
100325,11:230025,607:1,,100326
100326,11:240025,607:1,,100327
100327,11:250025,607:1,,100328
100328,11:260025,607:1,,100329
100329,11:270025,607:1,,100330
100330,11:280025,607:1,,100331
100331,11:290025,607:1,,100332
100332,11:300025,607:1,,100333
100333,11:310025,607:1,,100334
100334,11:320025,607:1,,100335
100335,11:330025,607:1,,100336
100336,11:340025,607:1,,100337
100337,11:350025,607:1,,100338
100338,11:360025,607:1,,
300001,22:1,6004:1,1,300002
300002,22:2,7004:1,,300003
300003,22:3,8004:1,,300004
300004,22:4,115:4,,300005
300005,22:5,115:6,,
400001,4:30:3,512:10,1,400002
400002,4:40:4,513:1,,400003
400003,4:50:5,513:1,,
500001,37:20,512:1,1,500002
500002,37:40,115:2,,500003
500003,37:60,115:2,,500004
500004,37:80,115:2,,500005
500005,37:100,115:2,,500006
500006,37:120,115:2,,500007
500007,37:140,115:2,,500008
500008,37:160,115:2,,500009
500009,37:180,115:2,,500010
500010,37:200,115:2,,500011
500011,37:220,115:2,,500012
500012,37:240,115:2,,500013
