id,主题,正文,有效期
Id,Title,Text,Time
int,string,string,int
1,Mail1,Mail2,15
2,Mail3,Mail4,15
3,Mail11,Mail12,15
10001,Mail5,Mail6,15
10002,Mail7,Mail8,15
20001,Mail9,Mail10,15
20002,Mail9,Mail10,15
20003,Mail9,Mail10,15
20004,Mail9,Mail10,15
20005,Mail9,Mail10,15
4,Mail13,Mail14,15
5,Mail15,Mail16,15
7,Mail17,Mail18,15
8,Mail23,Mail18,15
9,Mail19,Mail20,15
10,Mail21,Mail22,15
11,Mail25,Mail26,15
12,Mail27,Mail28,15
13,Mail29,Mail30,15
14,Mail31,Mail32,15
15,Mail33,Mail34,15
16,Mail35,Mail36,15
17,Mail37,Mail38,15
18,Mail39,Mail40,15
19,Mail41,Mail42,15
20,Mail43,Mail44,15
21,Mail45,Mail46,15
22,Mail47,Mail48,15
23,Mail49,Mail50,15
24,Mail51,Mail52,15
25,Mail53,Mail54,15
26,Mail55,Mail56,15
27,Mail57,Mail58,15
28,Mail59,Mail60,15
29,Mail61,Mail62,15
30,Mail63,Mail64,15
31,Mail65,Mail66,15
32,Mail67,Mail68,15
