唯一id,怪物id,角色等级,怪物职业,职业类型,生命,蓝量,技能id,属性id,被动技能,英语唯一名
Id,MonsterId,BaseLv,JobType,NpcType,Hp,Sp,SkillIds,NatureId,PassiveSkills,EngName
int,int,int,int,int,float,float,list,int,list,string
1000,1,1,1,2,2000000.0,200000.0,98002:1;98003:1,4,,Goldenbug
1001,2,1,1,2,4000000.0,200000.0,98006:1;98007:1,2,,Hyegun
1002,3,1,1,2,7000000.0,200000.0,98012:1;98013:1,7,,Maya
1003,4,1,1,2,36000000.0,200000.0,98012:1;98013:1,7,,Maya
1004,5,1,1,2,4000000.0,200000.0,98002:1;98003:1,4,,Goldenbug
1005,6,1,1,2,7000000.0,200000.0,98006:1;98007:1,2,,Hyegun
1006,7,1,1,2,12000000.0,200000.0,98012:1;98013:1,7,,Maya
1007,8,1,1,2,60000000.0,200000.0,98012:1;98013:1,7,,Maya
1008,9,1,1,2,6000000.0,200000.0,98002:1;98003:1,4,,Goldenbug
1009,10,1,1,2,9000000.0,200000.0,98006:1;98007:1,2,,Hyegun
1010,11,1,1,2,13000000.0,200000.0,98012:1;98013:1,7,,Maya
1011,12,1,1,2,90000000.0,200000.0,98012:1;98013:1,7,,Maya
1012,13,1,1,2,8000000.0,200000.0,98002:1;98003:1,4,,Goldenbug
1013,14,1,1,2,11000000.0,200000.0,98006:1;98007:1,2,,Hyegun
1014,15,1,1,2,15000000.0,200000.0,98012:1;98013:1,7,,Maya
1015,16,1,1,2,160000000.0,200000.0,98012:1;98013:1,7,,Maya
1090,17,1,1,1,274000.0,100000.0,,3,,Soldierant
1091,18,1,1,1,230000.0,100000.0,,4,,SoldierantRed
2001,31,1,1,2,1000.0,20000.0,,1,,
2002,32,1,1,2,1000.0,20000.0,,1,,
2003,33,1,1,2,1000.0,20000.0,,1,,
2004,34,1,1,2,1000.0,20000.0,,1,,
2005,35,1,1,2,1000.0,20000.0,,1,,Phreeoni
2006,36,1,1,2,1000.0,20000.0,90210:1;90211:1,1,,Priest
2007,37,1,1,2,1000.0,20000.0,,7,,Osiris
2008,38,1,1,2,1000.0,20000.0,,5,,OwlbaronBlue
2009,39,1,1,2,1000.0,20000.0,,7,,Knight_of_abyss
2010,40,1,1,2,1000.0,20000.0,,7,,Dracula
3000,51,1,1,2,700000000.0,40000.0,99997:1;99995:1;99996:1,4,,Baphomet
3001,52,1,1,2,700000000.0,40000.0,99985:1;99991:1;99992:1;99994:1,4,,Surtur
3002,53,1,1,2,750000000.0,40000.0,35501:1;35502:1,4,,
4100,80,1,1,2,320000000.0,40000.0,99001:1;99002:1;99003:1,2,,Baphomet
4101,81,1,1,2,320000000.0,40000.0,99001:1;99002:1;99003:1,2,,Baphomet
4102,82,1,1,2,320000000.0,40000.0,99001:1;99002:1;99003:1,2,,Baphomet
4103,83,1,1,2,320000000.0,40000.0,99001:1;99002:1;99003:1,2,,Baphomet
4104,84,1,1,2,320000000.0,40000.0,99001:1;99002:1;99003:1,2,,Baphomet
