伙伴等级,需求经验,伙伴升级费用,获得点数
BaseLv,Exp,Money,GetPoint
int,int,int,int
1,500,0,3
2,600,0,3
3,700,0,3
4,800,0,3
5,900,0,4
6,1000,0,4
7,1100,0,4
8,1200,0,4
9,1300,0,4
10,3240,0,5
11,5832,0,5
12,9914,0,5
13,16853,0,5
14,25279,0,5
15,37918,0,6
16,49293,0,6
17,64080,0,6
18,76896,0,6
19,92275,0,6
20,101041,0,7
21,110134,0,7
22,119495,0,7
23,129054,0,7
24,138733,0,7
25,148444,0,8
26,158092,0,8
27,170739,0,8
28,184398,0,8
29,199149,0,8
30,215080,0,9
31,232286,0,9
32,249707,0,9
33,267186,0,9
34,284553,0,9
35,301626,0,10
36,318215,0,10
37,334125,0,10
38,350831,0,10
39,368372,0,10
40,386790,0,11
41,406129,0,11
42,426435,0,11
43,447756,0,11
44,470143,0,11
45,493650,0,12
46,518332,0,12
47,539065,0,12
48,560627,0,12
49,583052,0,12
50,606374,0,13
51,630628,0,13
52,655853,0,13
53,682087,0,13
54,709370,0,13
55,737744,0,14
56,767253,0,14
57,797943,0,14
58,829860,0,14
59,863054,0,14
60,897576,0,15
61,933479,0,15
62,970818,0,15
63,1009650,0,15
64,1050036,0,15
65,1092037,0,16
66,1135718,0,16
67,1181146,0,16
68,1228391,0,16
69,1277526,0,16
70,1328627,0,17
71,1381772,0,17
72,1437042,0,17
73,1494523,0,17
74,1554303,0,17
75,1616475,0,18
76,1681134,0,18
77,1748379,0,18
78,1818314,0,18
79,1891046,0,18
80,1966687,0,19
81,2045354,0,19
82,2127168,0,19
83,2212254,0,19
84,2300744,0,19
85,2392773,0,19
86,2488483,0,19
87,2588022,0,20
88,2691542,0,20
89,2799203,0,20
90,2911171,0,20
91,3027617,0,20
92,3148721,0,21
93,3274669,0,21
94,3405655,0,21
95,3541881,0,21
96,3683556,0,22
97,3830898,0,22
98,3984133,0,22
99,4143498,0,22
100,9638400,0,22
101,9734400,0,23
102,9830400,0,23
103,9926400,0,23
104,10022400,0,23
105,10118400,0,23
106,10214400,0,24
107,10310400,0,24
108,10406400,0,24
109,10502400,0,24
110,10598400,0,24
111,10694400,0,25
112,10790400,0,25
113,10886400,0,25
114,10982400,0,25
115,11078400,0,25
116,11174400,0,26
117,11270400,0,26
118,11366400,0,26
119,11462400,0,26
120,11558400,0,26
121,11654400,0,27
122,11750400,0,27
123,11846400,0,27
124,11942400,0,27
125,12038400,0,27
126,12134400,0,28
127,12230400,0,28
128,12326400,0,28
129,12422400,0,28
130,12518400,0,28
131,12614400,0,29
132,12710400,0,29
133,12806400,0,29
134,12902400,0,29
135,12998400,0,29
136,13094400,0,30
137,13190400,0,30
138,13286400,0,30
139,13382400,0,30
