佣兵ID,描述,职业名字,职业图标,职业类型,职业阶段,职业分支,模型id,属性id,种族id,头像id,纸娃娃,纸娃娃简影,职业图标2,显示顺位,站位,初始生命,初始蓝量,初始物攻,初始魔攻,初始物防,初始魔防,初始命中,初始闪避,初始暴击,初始韧性,STR成长率,INT成长率,AGI成长率,DEX成长率,LUC成长率,VIT成长率,攻速,普攻技能id,默认技能id,重复分解,初始技能id,上阶职业,下阶职业,转职条件,消耗道具,初始战力,备用技能id,伙伴转职索引,推荐加点比例
ParterId,Desc,JobName,JobIcon,JobType,JobStage,JobBranch,AvatarId,NatureId,RaceId,HeadId,Avatar,AvatarGray,JobIcon2,PostId,Position,Hp,Sp,Atk,Matk,Def,Mdef,Hit,Dodge,Crit,Ten,StrRate,IntRate,AgiRate,DexRate,LucRate,ViteRate,Aspd,NormalSkillIds,SkillIds,Chip,InitialSkill,BeforeJobId,AfterJobId,ChangeCond,ItemCost,InitFightPower,AlternativeSkills,ParterJob,AddPoint
int,string,string,string,int,int,int,int,int,int,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,list,list,string,int,int,list,list,list,int,list,int,list
10010,JobIntroduce_10010,JobName_10010,Jobs/Jobicon_Sword,1,1,0,20001,1,8,Heads/head_20001,RoleList/List_Head_Sword,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Sword,1,2,400,9,39,0,14,10,0,0,0,0,0,0,0,0,0,0,165,21000:1;21001:1;21002:1,21003:1;21003:1;21003:1;21003:1,10000:20,11004,0,10021;10022,40001,,491,,10010,4:80;1:20
20010,JobIntroduce_20010,JobName_20010,Jobs/Jobicon_Mage,4,1,0,20002,1,8,Heads/head_20002,RoleList/List_Head_Mage,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Mage,2,8,350,11,0,48,6,10,2,0,0,0,0,0,0,0,0,0,155,22000:1,22003:1;22003:1;22003:1;22003:1,10000:20,12004,0,20021;20022,40002,,487,,20010,3:85;5:15
30010,JobIntroduce_30010,JobName_30010,Jobs/Jobicon_Archer,3,1,0,20003,1,8,Heads/head_20003,RoleList/List_Head_Archer,RoleList/List_Head_Archer_Gray,RoleList/List_Job_Archer,3,7,360,9,45,0,10,8,1,1,0,0,0,0,0,0,0,0,170,23000:1,23003:1;23003:1;23003:1;23003:1,10000:20,13004,0,30021;30022,40003,,485,,30010,5:90;6:10
40010,JobIntroduce_40010,JobName_40010,Jobs/Jobicon_Thief,2,1,0,20004,1,8,Heads/head_20004,RoleList/List_Head_Thief,RoleList/List_Head_Thief_Gray,RoleList/List_Job_Thief,4,3,340,9,46,0,8,6,0,2,0,0,0,0,0,0,0,0,175,24000:1;24001:1;24002:1,24003:1;24003:1;24003:1;24003:1,10000:20,14005,0,40021;40022,40004,,489,,40010,1:85;6:15
50010,JobIntroduce_50010,JobName_50010,Jobs/Jobicon_Acolyte,5,1,0,20005,1,8,Heads/head_20005,RoleList/List_Head_Acolyte,RoleList/List_Head_Acolyte_Gray,RoleList/List_Job_Acolyte,5,6,365,12,0,45,11,10,0,0,0,0,0,0,0,0,0,0,160,25000:1,25003:1;25003:1;25003:1;25003:1,10000:20,15004,0,50021;50022,40005,,472,,50010,3:80;5:20
10021,JobIntroduce_10021,JobName_10021,Jobs/Jobicon_Knight,1,2,1,21101,1,8,Heads/head_20101,RoleList/List_Head_Sword_2a,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Knight,1,2,800,9,59,0,14,10,2,2,2,2,0,0,0,0,0,0,165,21000:1;21001:1;21002:1,21003:1;21003:1;21003:1;21003:1,10000:20,11004,10010,10031,40006,190:1,691,,10010,4:80;1:20
20021,JobIntroduce_20021,JobName_20021,Jobs/Jobicon_Wizard,4,2,1,21102,1,8,Heads/head_20102,RoleList/List_Head_Mage_2a,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Wizard,2,8,700,11,0,68,6,10,4,2,2,2,0,0,0,0,0,0,155,22000:1,22003:1;22003:1;22003:1;22003:1,10000:20,12004,20010,20031,40007,190:1,687,,20010,3:85;5:15
30021,JobIntroduce_30021,JobName_30021,Jobs/Jobicon_Hunter,3,2,1,21103,1,8,Heads/head_20103,RoleList/List_Head_Archer_2a,RoleList/List_Head_Archer_Gray,RoleList/List_Job_Hunter,3,7,720,9,65,0,10,8,3,3,2,2,0,0,0,0,0,0,170,23000:1,23003:1;23003:1;23003:1;23003:1,10000:20,13004,30010,30031,40008,190:1,685,,30010,5:90;6:10
