技能ID,技能类型,技能等级上限,技能品质,职业类型,职业分支,职业阶段,对应伙伴,解锁伙伴等级要求,解锁需求,技能树位置件,技能排序,进阶技能,下阶技能,进阶职业阶段,技能压制值,技能原压制值
SkillId,SkillType,MaxLv,SkillQuality,JobType,JobBranch,JobStage,ParterID,OpenLevel,OpenNeedCost,Pos,order,SuperSkill,beforeSkill,SkillBranch,PressPoint,StartPressPoint
int,int,int,int,int,int,int,int,int,list,int,int,list,int,int,int,int
21028,1,50,0,1,0,1,10010,10,1:1000;,10,98,1:21128;2:21228,,3,3,3
21029,1,50,0,1,0,1,10010,13,1:2000;,13,97,1:21129;2:21229,,3,3,3
21025,1,50,0,1,0,1,10010,16,1:3000;,16,96,1:21125;2:21225,,3,3,3
21026,1,50,0,1,0,1,10010,21,113:1,21,95,1:21126;2:21226,,3,3,3
21027,1,50,0,1,0,1,10010,26,113:1,26,94,1:21127;2:21227,,3,3,3
21030,1,50,0,1,0,1,10010,31,113:1,31,93,1:21130;2:21230,,3,3,3
21031,1,50,0,1,1,2,10021,40,113:1,50,92,1:21131,,3,9,9
21032,1,50,0,1,1,2,10021,45,113:1,55,91,1:21132,,3,9,9
21034,1,50,0,1,1,2,10021,50,113:1,60,90,1:21134,,3,9,9
21036,1,50,0,1,1,2,10021,55,114:1,65,89,1:21136,,3,9,9
21033,1,50,0,1,1,2,10021,60,114:1,70,88,1:21133,,3,9,9
21035,1,50,0,1,1,2,10021,65,114:1,75,87,1:21135,,3,9,9
21041,1,50,0,1,2,2,10022,40,113:1,50,92,2:21231,,3,9,9
21042,1,50,0,1,2,2,10022,45,113:1,55,91,2:21232,,3,9,9
21037,1,50,0,1,2,2,10022,50,113:1,60,90,2:21237,,3,9,9
21039,1,50,0,1,2,2,10022,55,114:1,65,89,2:21239,,3,9,9
21038,1,50,0,1,2,2,10022,60,114:1,70,88,2:21238,,3,9,9
21040,1,50,0,1,2,2,10022,65,114:1,75,87,2:21240,,3,9,9
21043,1,50,0,1,1,3,10031,70,191:1,80,86,1:21143,,3,21,21
21044,1,50,0,1,1,3,10031,75,191:1,85,85,1:21144,,3,21,21
21045,1,50,0,1,2,3,10032,70,191:1,80,86,2:21245,,3,21,21
21046,1,50,0,1,2,3,10032,75,191:1,85,85,2:21246,,3,21,21
21128,1,50,3,1,1,3,10031,76,200:1,10,98,,21028,0,30,180
21129,1,50,3,1,1,3,10031,77,200:1,13,97,,21029,0,30,180
21125,1,50,3,1,1,3,10031,78,200:1,16,96,,21025,0,30,180
21126,1,50,3,1,1,3,10031,79,200:1,21,95,,21026,0,30,180
21127,1,50,3,1,1,3,10031,80,200:1,26,94,,21027,0,30,180
21130,1,50,3,1,1,3,10031,81,200:1,31,93,,21030,0,30,180
21131,1,50,3,1,1,3,10031,82,200:1,50,92,,21031,0,30,480
