技能ID,增加属性
SkillId,AddAttributes
int,list
61001,1:1;9:3
61002,1:2;9:3
61003,1:1;9:4
61004,1:2;9:4
61005,1:1;9:5
61006,1:2;9:5
61007,1:1;9:6
61008,1:2;9:6
61009,1:1;9:6
61010,1:2;9:6
61011,1:1;9:7
61012,1:2;9:7
61013,1:1;9:7
61014,1:2;9:7
61015,1:1;9:8
61016,1:2;9:8
61017,1:1;9:8
61018,1:2;9:8
61019,1:1;9:9
61020,1:2;9:9
61021,1:1;9:9
61022,1:2;9:9
61023,1:1;9:10
61024,1:2;9:10
61025,1:1;9:10
61026,1:2;9:10
61027,1:1;9:11
61028,1:2;9:11
61029,1:1;9:11
61030,1:2;9:11
61031,1:1;9:12
61032,1:2;9:12
61033,1:1;9:12
62001,9:10
62002,10:10
62003,15:3
62004,7:50
62005,11:3
62006,12:3
62007,14:3
62008,13:3
62009,16:3
62010,8:10
62011,9:20
62012,10:20
62013,15:6
