唯一id,模型id,宠物职业,头像框,属性,生命,蓝量,物攻,魔攻,技能1,技能1发动概率,技能2,技能2发动概率,技能3,技能3发动概率,技能4
Id,AvatarId,JobType,Fame,NatureType,Hp,Sp,Atk,Matk,Skill1,Skill1Rate,Skill2,Skill2Rate,Skill3,Skill3Rate,Skill4
int,int,int,int,int,float,float,float,float,int,list,int,list,int,list,int
1000,45000,2,4,4,40000.0,30.0,10000.0,10000.0,36001,60;60;60;60;60;60;60;60;60;60,36002,60;60;60;60;60;60;60;60;60;60,,,
1001,45001,2,4,4,40000.0,30.0,10000.0,10000.0,36004,60;60;60;60;60;60;60;60;60;60,36005,60;60;60;60;60;60;60;60;60;60,,,
1002,45002,1,4,4,40000.0,30.0,10000.0,10000.0,36007,60;60;60;60;60;60;60;60;60;60,36008,60;60;60;60;60;60;60;60;60;60,,,
1003,45003,4,4,4,40000.0,30.0,13000.0,13000.0,36010,60;60;60;60;60;60;60;60;60;60,36011,60;60;60;60;60;60;60;60;60;60,,,
1004,45004,2,4,4,40000.0,30.0,13000.0,13000.0,36013,60;60;60;60;60;60;60;60;60;60,36014,60;60;60;60;60;60;60;60;60;60,,,
1005,45005,4,4,4,40000.0,30.0,13000.0,13000.0,36023,60;60;60;60;60;60;60;60;60;60,,60;60;60;60;60;60;60;60;60;60,,,
1006,45006,1,4,4,40000.0,30.0,15000.0,15000.0,36017,60;60;60;60;60;60;60;60;60;60,36018,60;60;60;60;60;60;60;60;60;60,,,
1007,45007,2,4,4,40000.0,30.0,15000.0,15000.0,36020,60;60;60;60;60;60;60;60;60;60,36021,60;60;60;60;60;60;60;60;60;60,,,
1008,45008,1,4,4,40000.0,30.0,15000.0,15000.0,36027,60;60;60;60;60;60;60;60;60;60,36028,60;60;60;60;60;60;60;60;60;60,,,
1009,45009,1,4,4,40000.0,30.0,15000.0,15000.0,36030,60;60;60;60;60;60;60;60;60;60,36031,60;60;60;60;60;60;60;60;60;60,,,
