唯一id,模型id,宠物职业,品质,头像框,属性,属性转化率,虚拟站位,生命,蓝量,物攻,魔攻,物防,魔防,命中,闪避,暴击,韧性,攻击速度,生命系数,蓝量系数,物攻系数,魔攻系数,物防系数,魔防系数,命中系数,闪避系数,暴击系数,韧性系数,普攻技能id,技能1,技能1发动概率,技能2,技能2发动概率,技能3,技能3发动概率,技能4,技能4发动概率,备用技能,收集奖励,宠物契约继承属性,领悟额外增加继承属性
Id,AvatarId,JobType,Quality,Fame,NatureType,ConversionRate,Pos,Hp,Sp,Atk,Matk,Def,Mdef,Hit,Dodge,Crit,Ten,AttackSpeed,HpRate,SpRate,AtkRate,MatkRate,DefRate,MdefRate,HitRate,DodgeRate,CritRate,TenRate,NormalSkillIds,Skill1,Skill1Rate,Skill2,Skill2Rate,Skill3,Skill3Rate,Skill4,Skill4Rate,EmptySkill,PetReward,contract,understand
int,int,int,int,int,int,int,int,float,float,float,float,float,float,float,float,float,float,float,int,int,int,int,int,int,int,int,int,int,list,int,list,int,list,int,list,int,list,int,list,int,int
801,50101,2,1,2,7,500,3,2764.0,10.0,572.0,125.0,41.0,125.0,15.0,30.0,24.0,18.0,100.0,326,0,326,326,326,326,326,326,326,326,70000;70001,74000,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
802,50102,2,1,2,3,500,8,6144.0,10.0,265.0,111.0,251.0,97.0,6.0,18.0,6.0,18.0,100.0,311,0,311,311,311,311,311,311,311,311,70002;70003,71000,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
803,50103,2,1,2,3,500,3,2918.0,10.0,628.0,125.0,111.0,27.0,24.0,12.0,36.0,6.0,100.0,359,0,359,359,359,359,359,359,359,359,70004;70005,74001,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
804,50104,4,1,2,5,500,8,3072.0,10.0,83.0,572.0,97.0,55.0,12.0,24.0,24.0,24.0,100.0,363,0,363,363,363,363,363,363,363,363,70006;70007,71001,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
805,50105,2,1,2,5,500,2,3379.0,10.0,125.0,530.0,139.0,27.0,30.0,6.0,43.0,6.0,100.0,326,0,326,326,326,326,326,326,326,326,70008;70009,74002,25;27;29;31;33;35;37;39;42;45,,,,,,,80042,0:2:50;2:2:100;5:2:200,100,100
806,50106,2,1,2,6,500,6,5529.0,10.0,237.0,97.0,153.0,209.0,6.0,24.0,9.0,24.0,100.0,311,0,311,311,311,311,311,311,311,311,70010;70011,71002,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
807,50107,2,1,2,4,500,3,2764.0,10.0,572.0,125.0,41.0,125.0,15.0,30.0,24.0,18.0,100.0,359,0,359,359,359,359,359,359,359,359,70012;70013,74003,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
808,50108,2,1,2,4,500,3,4300.0,10.0,418.0,390.0,125.0,125.0,24.0,12.0,18.0,18.0,100.0,363,0,363,363,363,363,363,363,363,363,70014;70015,71003,25;27;29;31;33;35;37;39;42;45,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
809,50109,4,1,2,2,500,8,3225.0,10.0,97.0,628.0,55.0,111.0,18.0,12.0,24.0,12.0,100.0,326,0,326,326,326,326,326,326,326,326,70016;70017,74004,25;27;29;31;33;35;37;39;42;45,,,,,,,80042,0:2:50;2:2:100;5:2:200,100,100
810,50201,1,2,3,7,700,2,4134.0,20.0,890.0,178.0,158.0,39.0,34.0,17.0,52.0,8.0,100.0,326,0,326,326,326,326,326,326,326,326,70018;70019,74005,25;28;31;34;37;40;43;45;48;50,71004,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
811,50202,4,2,3,7,700,6,4352.0,20.0,118.0,811.0,138.0,79.0,17.0,34.0,34.0,34.0,100.0,311,0,311,311,311,311,311,311,311,311,70020;70021,74006,25;28;31;34;37;40;43;45;48;50,71005,25;28;31;34;37;40;43;45;48;50,,,,,80042,0:2:50;2:2:100;5:2:200,200,100
812,50203,2,2,3,7,700,3,7180.0,20.0,474.0,158.0,158.0,316.0,21.0,21.0,13.0,26.0,100.0,359,0,359,359,359,359,359,359,359,359,70022;70023,74007,25;28;31;34;37;40;43;45;48;50,74008,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
813,50204,2,2,3,3,700,8,8704.0,20.0,375.0,158.0,356.0,138.0,8.0,26.0,8.0,26.0,100.0,326,0,326,326,326,326,326,326,326,326,70024;70025,74009,25;28;31;34;37;40;43;45;48;50,71006,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
814,50205,2,2,3,3,700,2,7833.0,20.0,336.0,138.0,217.0,296.0,8.0,34.0,13.0,34.0,100.0,311,0,311,311,311,311,311,311,311,311,70026;70027,74010,25;28;31;34;37;40;43;45;48;50,74011,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
815,50206,2,2,3,3,700,6,3916.0,20.0,811.0,178.0,59.0,178.0,21.0,43.0,34.0,26.0,100.0,359,0,359,359,359,359,359,359,359,359,70028;70029,74012,25;28;31;34;37;40;43;45;48;50,71007,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
816,50207,3,2,3,5,700,3,5004.0,20.0,751.0,138.0,118.0,118.0,39.0,8.0,47.0,21.0,100.0,326,0,326,326,326,326,326,326,326,326,70030;70031,74013,25;28;31;34;37;40;43;45;48;50,71008,25;28;31;34;37;40;43;45;48;50,,,,,80042,0:2:50;2:2:100;5:2:200,200,100
817,50320,4,2,3,5,700,8,4569.0,20.0,138.0,890.0,79.0,158.0,26.0,17.0,34.0,17.0,100.0,311,0,311,311,311,311,311,311,311,311,70032;70033,74014,25;28;31;34;37;40;43;45;48;50,74015,25;28;31;34;37;40;43;45;48;50,,,,,80024,0:2:50;2:2:100;5:2:200,200,100
818,50209,4,2,3,5,700,2,4352.0,20.0,118.0,811.0,138.0,79.0,17.0,34.0,34.0,34.0,100.0,359,0,359,359,359,359,359,359,359,359,70034;70035,74016,25;28;31;34;37;40;43;45;48;50,74017,25;28;31;34;37;40;43;45;48;50,,,,,80024,0:2:50;2:2:100;5:2:200,200,100
819,50210,2,2,3,6,700,6,8704.0,20.0,375.0,158.0,356.0,138.0,8.0,26.0,8.0,26.0,100.0,326,0,326,326,326,326,326,326,326,326,70036;70037,74018,25;28;31;34;37;40;43;45;48;50,74019,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
820,50211,4,2,3,6,700,3,4352.0,20.0,118.0,811.0,138.0,79.0,17.0,34.0,34.0,34.0,100.0,311,0,311,311,311,311,311,311,311,311,70038;70039,74020,25;28;31;34;37;40;43;45;48;50,71009,25;28;31;34;37;40;43;45;48;50,,,,,80024,0:2:50;2:2:100;5:2:200,200,100
821,50212,2,2,3,6,700,8,7180.0,20.0,474.0,158.0,158.0,316.0,21.0,21.0,13.0,26.0,100.0,359,0,359,359,359,359,359,359,359,359,70040;70041,74021,25;28;31;34;37;40;43;45;48;50,71010,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
822,50213,2,2,3,4,700,2,3916.0,20.0,811.0,178.0,59.0,178.0,21.0,43.0,34.0,26.0,100.0,326,0,326,326,326,326,326,326,326,326,70042;70043,74022,25;28;31;34;37;40;43;45;48;50,74023,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
823,50214,2,3,4,4,1000,6,11520.0,30.0,494.0,203.0,320.0,436.0,12.0,51.0,19.0,51.0,100.0,311,0,311,311,311,311,311,311,311,311,70044;70045,74024,30;34;38;42;46;50;54;58;62;65,71011,30;34;38;42;46;50;54;58;62;65,74072,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
824,50215,2,2,3,4,700,3,4134.0,20.0,890.0,178.0,158.0,39.0,34.0,17.0,52.0,8.0,100.0,359,0,359,359,359,359,359,359,359,359,70046;70047,74025,25;28;31;34;37;40;43;45;48;50,74026,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
825,50216,4,2,3,8,700,8,4352.0,20.0,118.0,811.0,138.0,79.0,17.0,34.0,34.0,34.0,100.0,326,0,326,326,326,326,326,326,326,326,70048;70049,74027,25;28;31;34;37;40;43;45;48;50,71012,25;28;31;34;37;40;43;45;48;50,,,,,80024,0:2:50;2:2:100;5:2:200,200,100
826,50217,4,2,3,2,700,2,4787.0,20.0,178.0,751.0,197.0,39.0,43.0,8.0,60.0,8.0,100.0,311,0,311,311,311,311,311,311,311,311,70050;70051,74028,25;28;31;34;37;40;43;45;48;50,71013,25;28;31;34;37;40;43;45;48;50,,,,,80042,0:2:50;2:2:100;5:2:200,200,100
827,50218,2,2,3,2,700,2,6092.0,20.0,593.0,553.0,178.0,178.0,34.0,17.0,26.0,26.0,100.0,359,0,359,359,359,359,359,359,359,359,70052;70053,74029,25;28;31;34;37;40;43;45;48;50,74030,25;28;31;34;37;40;43;45;48;50,,,,,80027,0:2:50;2:2:100;5:2:200,200,100
828,50219,4,2,3,2,700,3,6092.0,20.0,593.0,553.0,178.0,178.0,34.0,17.0,26.0,26.0,100.0,359,0,359,359,359,359,359,359,359,359,70054;70055,74031,25;28;31;34;37;40;43;45;48;50,71014,25;28;31;34;37;40;43;45;48;50,,,,,80024,0:2:50;2:2:100;5:2:200,200,100
829,50301,4,3,4,7,1000,8,6720.0,30.0,203.0,1409.0,116.0,232.0,38.0,25.0,68.0,25.0,100.0,359,0,359,359,359,359,359,359,359,359,70056,74032,40;44;48;52;56;60;64;68;72;75,74033,40;44;48;52;56;60;64;68;72;75,71037,30;34;38;42;46;50;54;58;62;65,,,80024,0:2:50;2:2:100;5:2:200,1200,200
830,50302,4,3,4,7,1000,2,6400.0,30.0,983.0,1186.0,116.0,203.0,25.0,51.0,51.0,51.0,100.0,311,0,311,311,311,311,311,311,311,311,70058;70059,74035,30;34;38;42;46;50;54;58;62;65,74036,30;34;38;42;46;50;54;58;62;65,71015,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,1500,200
831,50303,2,3,4,7,1000,6,6080.0,30.0,1309.0,261.0,232.0,58.0,51.0,25.0,76.0,12.0,100.0,359,0,359,359,359,359,359,359,359,359,70060;70061,74037,30;34;38;42;46;50;54;58;62;65,74038,30;34;38;42;46;50;54;58;62;65,71016,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
832,50304,2,3,4,3,1000,3,10560.0,30.0,698.0,232.0,232.0,465.0,32.0,32.0,19.0,38.0,100.0,363,0,363,363,363,363,363,363,363,363,70062;70063,74039,30;34;38;42;46;50;54;58;62;65,71017,30;34;38;42;46;50;54;58;62;65,71018,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
833,50305,2,3,4,3,1000,8,5760.0,30.0,1192.0,261.0,87.0,261.0,32.0,64.0,51.0,38.0,100.0,326,0,326,326,326,326,326,326,326,326,70064;70065,74040,40;44;48;52;56;60;64;68;72;75,74041,30;34;38;42;46;50;54;58;62;65,74042,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
834,50306,2,3,4,3,1000,3,12800.0,30.0,552.0,232.0,523.0,203.0,12.0,38.0,12.0,38.0,100.0,363,0,363,363,363,363,363,363,363,363,70066;70067,74043,30;34;38;42;46;50;54;58;62;65,74044,30;34;38;42;46;50;54;58;62;65,71019,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,800,150
835,50307,2,3,4,5,1000,8,7360.0,30.0,1105.0,203.0,174.0,174.0,57.0,12.0,70.0,32.0,100.0,359,0,359,359,359,359,359,359,359,359,70068;70069,74045,40;44;48;52;56;60;64;68;72;75,74046,30;34;38;42;46;50;54;58;62;65,71020,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
836,50308,4,3,4,5,1000,2,7040.0,30.0,261.0,1105.0,290.0,58.0,64.0,12.0,89.0,12.0,100.0,363,0,363,363,363,363,363,363,363,363,70070;70071,74047,30;34;38;42;46;50;54;58;62;65,74048,30;34;38;42;46;50;54;58;62;65,74049,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,500,100
837,50309,2,3,4,5,1000,6,5760.0,30.0,1192.0,261.0,87.0,261.0,32.0,64.0,51.0,38.0,100.0,326,0,326,326,326,326,326,326,326,326,70072;70073,74050,30;34;38;42;46;50;54;58;62;65,74051,30;34;38;42;46;50;54;58;62;65,71021,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
838,50310,4,3,4,6,1000,8,6720.0,30.0,203.0,1309.0,116.0,232.0,38.0,25.0,51.0,25.0,100.0,359,0,359,359,359,359,359,359,359,359,70074;70075,74052,40;44;48;52;56;60;64;68;72;75,74053,30;34;38;42;46;50;54;58;62;65,71022,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,800,150
839,50311,2,3,4,6,1000,3,8960.0,30.0,872.0,814.0,261.0,261.0,51.0,25.0,38.0,38.0,100.0,359,0,359,359,359,359,359,359,359,359,70076;70077,74054,30;34;38;42;46;50;54;58;62;65,74055,30;34;38;42;46;50;54;58;62;65,74056,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
840,50312,2,3,4,6,1000,8,11520.0,30.0,494.0,203.0,320.0,436.0,12.0,51.0,19.0,51.0,100.0,363,0,363,363,363,363,363,363,363,363,70078;70079,74057,30;34;38;42;46;50;54;58;62;65,71023,30;34;38;42;46;50;54;58;62;65,71024,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
