id,格子编号,品质,最大等级,进阶目标,进阶消耗
Id,Type,Quality,MaxLevel,Advance,AdvanceCost
int,int,int,int,int,list
16001,1,1,20,16002,192:20;1:500000
16002,1,2,20,16003,193:20;1:1000000
16003,1,3,20,16004,194:20;1:1500000
16004,1,4,20,16005,195:20;1:2000000
16005,1,5,20,,
16006,2,1,20,16007,192:20;1:500000
16007,2,2,20,16008,193:20;1:1000000
16008,2,3,20,16009,194:20;1:1500000
16009,2,4,20,16010,195:20;1:2000000
16010,2,5,20,,
16011,3,1,20,16012,192:20;1:500000
16012,3,2,20,16013,193:20;1:1000000
16013,3,3,20,16014,194:20;1:1500000
16014,3,4,20,16015,195:20;1:2000000
16015,3,5,20,,
16016,4,1,20,16017,192:20;1:500000
16017,4,2,20,16018,193:20;1:1000000
16018,4,3,20,16019,194:20;1:1500000
16019,4,4,20,16020,195:20;1:2000000
16020,4,5,20,,
16021,5,1,20,16022,192:20;1:500000
16022,5,2,20,16023,193:20;1:1000000
16023,5,3,20,16024,194:20;1:1500000
16024,5,4,20,16025,195:20;1:2000000
16025,5,5,20,,
16026,6,1,20,16027,192:20;1:500000
16027,6,2,20,16028,193:20;1:1000000
16028,6,3,20,16029,194:20;1:1500000
16029,6,4,20,16030,195:20;1:2000000
16030,6,5,20,,
