宠物等级,Normal升级所需经验,Mini升级所需经验,Mvp升级所需经验,Normal升级所需银币,Mini升级所需银币,Mvp升级所需银币,Normal战力,Mini战力,Mvp战力
petLevel,experience1,experience2,experience3,CostMoney1,CostMoney2,CostMoney3,Capacity1,Capacity2,Capacity3
int,int,int,int,int,int,int,int,int,int
1,3800,3800,3800,2000,2000,2000,7600,10800,16000
2,4500,4500,4500,2100,2100,2100,7900,11200,16500
3,5300,5300,5300,2200,2200,2200,8100,11500,17000
4,6000,6000,6000,2300,2300,2300,8400,11900,17500
5,6700,6700,6700,2400,2400,2400,8600,12300,18000
6,7400,7400,7400,2500,2500,2500,8900,12600,18600
7,8200,8200,8200,2600,2600,2600,9100,13000,19100
8,8900,8900,8900,2700,2700,2700,9400,13300,19600
9,9600,9600,9600,2800,2800,2800,9600,13700,20100
10,10400,10400,10400,2900,2900,2900,9900,14000,20600
11,11100,11100,11100,3000,3000,3000,10100,14400,21200
12,11800,11800,11800,3100,3100,3100,10400,14700,21700
13,12500,12500,12500,3200,3200,3200,10600,15100,22200
14,13300,13300,13300,3300,3300,3300,10900,15400,22700
15,14000,14000,14000,3400,3400,3400,11100,15800,23300
16,14700,14700,14700,3500,3500,3500,11400,16200,23800
17,15400,15400,15400,3600,3600,3600,11600,16500,24300
18,16200,16200,16200,3700,3700,3700,11900,16900,24800
19,16600,16600,16600,3800,3800,3800,12100,17200,25300
20,16900,16900,16900,3900,3900,3900,12400,17600,25900
21,17100,17100,17100,4100,4100,4100,12600,17900,26400
22,17300,17300,17300,4300,4300,4300,12900,18300,26900
23,17500,17500,17500,4500,4500,4500,13100,18600,27400
24,17700,17700,17700,4700,4700,4700,13400,19000,28000
25,17800,17800,17800,4900,4900,4900,13600,19400,28500
26,18200,18200,18200,5100,5100,5100,13900,19700,29000
27,18400,18400,18400,5300,5300,5300,14100,20100,29500
28,18600,18600,18600,5500,5500,5500,14400,20400,30000
29,18700,18700,18700,5700,5700,5700,14600,20800,30600
30,18900,18900,18900,5900,5900,5900,14900,21100,31100
31,19100,19100,19100,6100,6100,6100,15400,21800,32100
32,22900,22900,22900,6300,6300,6300,15900,22500,33200
33,23200,23200,23200,6500,6500,6500,16400,23300,34200
34,23700,23700,23700,6700,6700,6700,16900,24000,35300
35,24200,24200,24200,6900,6900,6900,17400,24700,36300
36,24700,24700,24700,7100,7100,7100,17900,25400,37400
37,25200,25200,25200,7300,7300,7300,18400,26100,38400
38,25700,25700,25700,7500,7500,7500,18900,26800,39400
39,26200,26200,26200,7700,7700,7700,19400,27500,40500
40,26700,26700,26700,7900,7900,7900,19900,28200,41500
41,27200,27200,27200,8200,8200,8200,20400,28900,42600
42,27700,27700,27700,8500,8500,8500,20900,29600,43600
43,28000,28000,28000,8800,8800,8800,21400,30400,44700
44,28100,28100,28100,9100,9100,9100,21900,31100,45700
45,28700,28700,28700,9400,9400,9400,22400,31800,46800
46,29300,29300,29300,9700,9700,9700,22900,32500,47800
47,29900,29900,29900,10000,10000,10000,23400,33200,48800
