唯一id,激活条件1,属性1,战力1,战力1,激活条件2,属性2,战力2,战力2,激活条件3,属性3,战力3,战力3
Id,Condition1,attribute1,Capacity1,AddHeroCap1,Condition2,attribute2,Capacity2,AddHeroCap2,Condition3,attribute3,Capacity3,AddHeroCap3
int,list,list,int,list,list,list,int,list,list,list,int,list
1,828:0;815:0;816:0,7:600;9:120,900,0:900;1:900;2:900;3:900;4:400;5:400,,,,,,,,
2,818:0;825:0;810:0,7:400;10:128,850,0:200;1:200;2:200;3:200;4:850;5:850,,,,,,,,
3,826:0;821:0;811:0,7:300;13:20;15:20,550,0:550;1:550;2:550;3:550;4:550;5:550,,,,,,,,
4,830:0;848:0;835:0,7:1000;9:200;15:24,1900,0:1900;1:1900;2:1900;3:1900;4:830;5:830,,,,,,,,
5,846:0;839:0;836:0,7:800;10:200;15:24,1800,0:750;1:750;2:750;3:750;4:1800;5:1800,,,,,,,,
6,823:0;840:0;837:0,7:800;15:30;13:30,1300,0:1300;1:1300;2:1300;3:1300;4:1300;5:1300,,,,,,,,
7,832:0;833:0;842:0,15:30;13:30;97:200,1100,0:1100;1:1100;2:1100;3:1100;4:1100;5:1100,,,,,,,,
8,843:0;844:0;847:0,9:300;10:300;15:24,2000,0:2000;1:2000;2:2000;3:2000;4:2000;5:2000,,,,,,,,
9,829:0;831:0;845:0,9:300;10:300;13:24,2000,0:2000;1:2000;2:2000;3:2000;4:2000;5:2000,,,,,,,,
10,841:0;834:0;838:0,9:300;10:300;97:200,1900,0:1900;1:1900;2:1900;3:1900;4:1900;5:1900,,,,,,,,
11,852:0;850:0;853:0,9:520;10:520;15:45,2400,0:2400;1:2400;2:2400;3:2400;4:2400;5:2400,,,,,,,,
