机器人ID,名字,段位ID,等级,机器人模型,装备,技能,头像,伙伴,伙伴装备,伙伴等级,战斗力,机器人系统类别
RobotId,RobotName,ArenaLevelId,RobotLevel,RobotAvatar,RobotEquip,RobotSkill,RobotHeadPortrait,PartnerId,PartnerEquip,PartnerLevel,FightPower,SystemType
int,string,int,int,int,list,list,int,list,list,list,list,int
1001,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1002,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1003,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1004,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1005,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1006,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1007,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1008,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1009,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1010,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1011,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1012,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1013,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1014,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1015,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1016,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1017,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
