高级解锁商品ID,活动轮次,消耗金币获取经验比例,任务活跃度转化经验比例,解锁后任务获得经验提高,解锁价格,间隔时间,活动开启时间,活动结束时长,结束时间,满级奖励,领取消耗经验
ID,Round,GoldExp,MissionExp,MissonExpUp,RMB,SellingBegin,StartTime,SellingDuration,CloseTime,MaxLvRewad,ExpCost
int,int,string,string,string,float,int,string,int,string,list,int
1,1,1:1,1:10,150,128,1,05:00:00,16,05:00:00,531:1,500
2,2,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
3,3,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
4,4,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
5,5,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
6,6,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
7,7,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
8,8,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
9,9,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
10,10,1:1,1:10,200,128,1,05:00:00,16,05:00:00,531:1,500
11,11,1:1,1:10,200,128,1,05:00:00,16,05:00:00,517:1,500
12,12,1:1,1:10,200,128,1,05:00:00,16,05:00:00,517:1,500
13,13,1:1,1:10,300,128,1,05:00:00,16,05:00:00,517:1,500
14,14,1:1,1:10,300,128,1,05:00:00,16,05:00:00,517:1,500
15,15,1:1,1:10,300,128,1,05:00:00,16,05:00:00,48:500,500
16,16,1:1,1:10,300,128,1,05:00:00,16,05:00:00,48:500,500
17,17,1:1,1:10,300,128,1,05:00:00,16,05:00:00,48:500,500
18,18,1:1,1:10,300,128,1,05:00:00,16,05:00:00,48:500,500
19,19,1:1,1:10,300,128,1,05:00:00,16,05:00:00,48:500,500
