礼包Id,礼包名字,类型,价格,购买后获得道具,首次购买奖励,购买额外获得,限购类型次数,排序Id,累计充值金额
Id,Name,Type,RMB,Reward,FirstBuyReward,ExtraBuyReward,RestrictedType,SortId,RmbTotalPay
int,string,int,float,list,list,list,int,int,int
1,每日礼包1,1,0,531:1;2:20,,,1,1,
2,每日礼包2,1,6,531:2;137:1,,,1,2,
3,每日礼包3,1,30,136:1;2:200,,,1,3,
4,每日礼包4,1,68,138:1;100:10;2:300,,,1,4,
5,每日礼包5,1,128,137:2;115:10;2:500,,,1,5,
6,每日礼包7,1,198,140:10;116:12;2:600,,,1,7,1000
7,每日礼包8,1,328,531:20;138:4;139:4,,,1,8,1000
8,每日礼包9,1,328,137:2;116:25;2:1000,,,1,9,5000
9,每日礼包10,1,648,137:4;513:2;2:3000,,,1,10,10000
10,每日礼包6,1,128,137:2;198:5;2:100,,,1,6,
11,每日礼包11,1,328,136:2;2:3280,,,20,11,10000
12,神器材料包(日),1,128,117:15;48:300;2:100,,,5,12,1000
30,每周礼包1,2,0,531:2;2:50,,,1,1,
31,每周礼包2,2,30,531:4;684:1;2:200,,,2,2,
32,每周礼包3,2,98,138:1;531:5;115:6,,,2,3,
33,每周礼包4,2,98,139:1;531:5;116:6,,,2,4,
34,每周礼包5,2,328,138:2;137:2;115:25,,,2,5,
35,每周礼包9,2,328,138:2;100:20;115:25,,,2,9,5000
36,每周礼包7,2,328,139:2;110:10;116:25,,,2,7,1000
37,每周礼包8,2,648,513:2;116:25;2:3000,,,2,8,1000
38,每周礼包10,2,648,607:2;115:25;2:3000,,,2,10,10000
39,每周礼包6,2,328,199:1;137:4;2:500,,,1,6,
40,神器材料包(周),2,328,117:40;48:1000;2:300,,,5,11,1000
50,每月礼包1,3,0,531:4;2:100,,,1,1,
51,每月礼包2,3,30,138:1;531:4;2:200,,,3,2,
52,每月礼包3,3,98,531:8;110:10;2:400,,,3,3,
53,每月礼包4,3,198,138:2;115:15;2:600,,,3,4,
54,每月礼包5,3,328,140:10;116:25;2:2000,,,3,5,
55,每月礼包7,3,328,137:2;115:25;2:2000,,,3,7,1000
56,每月礼包9,3,328,531:10;116:25;2:2000,,,3,9,5000
57,每月礼包8,3,648,141:5;523:1;2:3000,,,3,8,1000
58,每月礼包10,3,648,137:2;647:1;2:3000,,,3,10,10000
59,每月礼包6,3,648,199:2;137:6;2:2000,,,1,6,
60,神器材料包(月),3,648,117:80;48:2000;2:600,,,5,11,1000
100,60金币,4,6,2:60,2:60,2:6,9999,1,
101,300金币,4,30,2:300,2:300,2:30,9999,2,
102,980金币,4,98,2:980,2:980,2:98,9999,3,
103,1280金币,4,128,2:1280,2:1280,2:128,9999,4,
104,3280金币,4,328,2:3280,2:3280,2:328,9999,5,
105,6480金币,4,648,2:6480,2:6480,2:648,9999,6,
