RankId,活动种类,活动序号,活动开始日期,活动开始时间,活动结束日期,活动结束时间,功能结束日期,功能结束时间,排名档次,排名区间,排名奖励
Id,RankType,RankId,StartDay,StartTime,CloseDay,CloseTime,RestDay,RestTime,RankGrade,Rank,Reward
int,int,int,int,string,int,string,int,string,int,list,list
1,1,1,2,12:00:00,5,21:00:00,6,21:00:00,1,1:1,13150:1;12135:3;138:2;139:2;2:1000
2,1,1,2,12:00:00,5,21:00:00,6,21:00:00,2,2:2,12135:2;138:2;139:2;2:500
3,1,1,2,12:00:00,5,21:00:00,6,21:00:00,3,3:3,12135:1;138:2;139:2;2:200
4,1,1,2,12:00:00,5,21:00:00,6,21:00:00,4,4:10,12835:15;138:1;139:1;2:100
5,1,1,2,12:00:00,5,21:00:00,6,21:00:00,5,11:100,12835:10;126:6;127:6;2:50
6,1,1,2,12:00:00,5,21:00:00,6,21:00:00,6,101:1000,12835:5;126:2;127:2;2:20
7,2,1,6,12:00:00,10,20:55:00,11,21:00:00,1,1:1,13106:1;12135:3;138:2;139:2;2:1000
8,2,1,6,12:00:00,10,20:55:00,11,21:00:00,2,2:2,12135:2;138:2;139:2;2:500
9,2,1,6,12:00:00,10,20:55:00,11,21:00:00,3,3:3,12135:1;138:2;139:2;2:200
10,2,1,6,12:00:00,10,20:55:00,11,21:00:00,4,4:10,12835:15;138:1;139:1;2:100
11,2,1,6,12:00:00,10,20:55:00,11,21:00:00,5,11:100,12835:10;126:6;127:6;2:50
12,2,1,6,12:00:00,10,20:55:00,11,21:00:00,6,101:1000,12835:5;126:2;127:2;2:20
13,3,1,11,12:00:00,15,21:00:00,16,21:00:00,1,1:1,13086:1;523:2;141:5;531:20;2:1000
14,3,1,11,12:00:00,15,21:00:00,16,21:00:00,2,2:2,523:1;141:4;531:15;2:500
15,3,1,11,12:00:00,15,21:00:00,16,21:00:00,3,3:3,523:1;141:3;531:10;2:200
16,3,1,11,12:00:00,15,21:00:00,16,21:00:00,4,4:10,522:5;141:2;531:8;2:100
17,3,1,11,12:00:00,15,21:00:00,16,21:00:00,5,11:100,522:3;141:1;531:5;2:50
18,3,1,11,12:00:00,15,21:00:00,16,21:00:00,6,101:1000,522:1;140:2;531:1;2:20
19,4,1,16,12:00:00,20,21:00:00,21,21:00:00,1,1:1,13107:1;523:3;100:200;493:100;494:500
20,4,1,16,12:00:00,20,21:00:00,21,21:00:00,2,2:2,522:5;523:2;100:100;493:75;494:400
21,4,1,16,12:00:00,20,21:00:00,21,21:00:00,3,3:3,522:4;523:1;100:75;493:50;494:300
22,4,1,16,12:00:00,20,21:00:00,21,21:00:00,4,4:4,522:3;517:15;100:50;493:30;494:200
23,4,1,16,12:00:00,20,21:00:00,21,21:00:00,5,5:5,522:3;517:15;100:50;493:30;494:200
24,4,1,16,12:00:00,20,21:00:00,21,21:00:00,6,6:6,522:3;517:15;100:50;493:30;494:200
25,4,1,16,12:00:00,20,21:00:00,21,21:00:00,7,7:7,522:3;517:15;100:50;493:30;494:200
26,4,1,16,12:00:00,20,21:00:00,21,21:00:00,8,8:8,522:3;517:15;100:50;493:30;494:200
27,4,1,16,12:00:00,20,21:00:00,21,21:00:00,9,9:9,522:3;517:15;100:50;493:30;494:200
28,4,1,16,12:00:00,20,21:00:00,21,21:00:00,10,10:10,522:3;517:15;100:50;493:30;494:200
29,4,1,16,12:00:00,20,21:00:00,21,21:00:00,11,11:11,522:2;517:10;100:30;493:20;494:100
30,4,1,16,12:00:00,20,21:00:00,21,21:00:00,12,12:12,522:2;517:10;100:30;493:20;494:100
31,4,1,16,12:00:00,20,21:00:00,21,21:00:00,13,13:13,522:2;517:10;100:30;493:20;494:100
32,4,1,16,12:00:00,20,21:00:00,21,21:00:00,14,14:14,522:2;517:10;100:30;493:20;494:100
33,4,1,16,12:00:00,20,21:00:00,21,21:00:00,15,15:15,522:2;517:10;100:30;493:20;494:100
34,4,1,16,12:00:00,20,21:00:00,21,21:00:00,16,16:16,522:2;517:10;100:30;493:20;494:100
35,4,1,16,12:00:00,20,21:00:00,21,21:00:00,17,17:17,522:2;517:10;100:30;493:20;494:100
36,4,1,16,12:00:00,20,21:00:00,21,21:00:00,18,18:18,522:2;517:10;100:30;493:20;494:100
37,4,1,16,12:00:00,20,21:00:00,21,21:00:00,19,19:19,522:2;517:10;100:30;493:20;494:100
38,4,1,16,12:00:00,20,21:00:00,21,21:00:00,20,20:20,522:2;517:10;100:30;493:20;494:100
39,4,1,16,12:00:00,20,21:00:00,21,21:00:00,21,21:21,522:2;517:10;100:30;493:20;494:100
40,4,1,16,12:00:00,20,21:00:00,21,21:00:00,22,22:22,522:2;517:10;100:30;493:20;494:100
41,4,1,16,12:00:00,20,21:00:00,21,21:00:00,23,23:23,522:2;517:10;100:30;493:20;494:100
42,4,1,16,12:00:00,20,21:00:00,21,21:00:00,24,24:24,522:2;517:10;100:30;493:20;494:100
43,4,1,16,12:00:00,20,21:00:00,21,21:00:00,25,25:25,522:2;517:10;100:30;493:20;494:100
44,4,1,16,12:00:00,20,21:00:00,21,21:00:00,26,26:26,522:2;517:10;100:30;493:20;494:100
45,4,1,16,12:00:00,20,21:00:00,21,21:00:00,27,27:27,522:2;517:10;100:30;493:20;494:100
46,4,1,16,12:00:00,20,21:00:00,21,21:00:00,28,28:28,522:2;517:10;100:30;493:20;494:100
47,4,1,16,12:00:00,20,21:00:00,21,21:00:00,29,29:29,522:2;517:10;100:30;493:20;494:100
48,4,1,16,12:00:00,20,21:00:00,21,21:00:00,30,30:30,522:2;517:10;100:30;493:20;494:100
49,4,1,16,12:00:00,20,21:00:00,21,21:00:00,31,31:31,522:2;517:10;100:30;493:20;494:100
50,4,1,16,12:00:00,20,21:00:00,21,21:00:00,32,32:32,522:2;517:10;100:30;493:20;494:100
51,4,1,16,12:00:00,20,21:00:00,21,21:00:00,33,33:33,522:2;517:10;100:30;493:20;494:100
52,4,1,16,12:00:00,20,21:00:00,21,21:00:00,34,34:34,522:2;517:10;100:30;493:20;494:100
