商品Id,商品名称,商品所属tab,商品页签,商品内容,消耗资源类型,消耗资源数量,活动商品,是否热销,折扣比例,折扣后价格,限购类型次数,开始时间,结束时间,排序Id,权重概率,VIP权重概率1,VIP权重概率2,VIP权重概率3,VIP权重概率4,是否通知客户端,图片,购买后获得道具,上架解锁条件枚举
GoodsId,GoodsName,GoodsType,GoodsTypename,GoodsItem,PayForType,PayForNum,HdDrop,SellWell,Proportion,DiscountPayForNum,RestrictedType,BeginTime,EndTime,SortId,Weight,Weight1,Weight2,Weight3,Weight4,NtfClient,GoodsPic,Reward,Condition
int,string,int,string,int,int,int,int,int,int,int,string,string,string,int,int,int,int,int,int,int,string,list,list
10001,命运绳结,1,杂货店,110,2,100,,1,,,2:3,,,39,,,,,,,,,
10002,铝,1,杂货店,101,2,40,,,,,,,,50,,,,,,,,,
10003,神之金属,1,杂货店,102,2,50,,,,,,,,51,,,,,,,,,
10004,狩猎季助力包,1,杂货店,504,2,300,504,,,,,,,27,,,,,,1,,,
10021,元宵礼盒,1,杂货店,167,2,150,167,,,,,,,28,,,,,,1,,,
10022,芝麻汤圆,1,杂货店,169,2,60,169,,,,,,,29,,,,,,1,,,
10023,桂花汤圆,1,杂货店,170,2,60,170,,,,,,,30,,,,,,1,,,
10024,豆沙汤圆,1,杂货店,171,2,60,171,,,,,,,31,,,,,,1,,,
10025,巧克力,1,杂货店,177,2,10,177,,20,2,,,,22,,,,,,1,,,
10026,水,1,杂货店,183,2,100,183,,70,70,,,,23,,,,,,1,,,
10005,顶级技能书,1,杂货店,114,2,1000,,,,,,,,46,,,,,,,,,
10006,老旧相册,1,杂货店,514,2,50,,,,,2:10,,,49,,,,,,,,,
10007,天使之泪,1,杂货店,100,2,30,,,,,2:10,,,40,,,,,,,,,
10008,4小时挂机银币奖励,1,杂货店,129,2,100,,,,,,,,51,,,,,,,,,
10009,4小时挂机伙伴经验,1,杂货店,130,2,200,,,,,2:5,,,52,,,,,,,,,
10010,4小时挂机技能经验,1,杂货店,131,2,200,,,,,2:5,,,53,,,,,,,,,
10011,改名卡,1,杂货店,106,2,1000,,,,,,,,54,,,,,,,,,
10012,柔毛,1,杂货店,404,2,10,,,,,,,,55,,,,,,,,,
10013,四叶幸运草,1,杂货店,405,2,10,,,,,,,,56,,,,,,,,,
10014,兽人英雄之证,1,杂货店,406,2,10,,,,,,,,57,,,,,,,,,
