技能学习等级,技能升级需求等级,技能升级所需消耗
LearnLv,LvupDemand,LvupCost
int,list,list
2,2;3;4;5,11:50;11:60;11:70;11:80;11:90
10,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,11:150;11:225;11:300;11:375;11:450;11:525;11:600;11:675;11:750;11:1000;11:1250;11:1500;11:1750;11:2000;11:2250;11:2500;11:2750;11:3000;11:3250;11:4000;11:4750;11:5500;11:6250;11:7000;11:7750;11:8500;11:9250;11:10000;11:10750;11:12000;11:13250;11:14500;11:15750;11:17000;11:18250;11:19500;11:20750;11:22000;11:23250;11:25000;11:26750;11:28500;11:30250;11:32000;11:33750;11:35500;11:37250;11:39000;11:40750
13,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,11:165;11:247;11:330;11:412;11:495;11:577;11:660;11:742;11:825;11:1100;11:1375;11:1650;11:1925;11:2200;11:2475;11:2750;11:3025;11:3300;11:3575;11:4400;11:5225;11:6050;11:6875;11:7700;11:8525;11:9350;11:10175;11:11000;11:11825;11:13200;11:14575;11:15950;11:17325;11:18700;11:20075;11:21450;11:22825;11:24200;11:25575;11:27500;11:29425;11:31350;11:33275;11:35200;11:37125;11:39050;11:40975;11:42900;11:44825
16,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,11:195;11:292;11:390;11:487;11:585;11:682;11:780;11:877;11:975;11:1300;11:1625;11:1950;11:2275;11:2600;11:2925;11:3250;11:3575;11:3900;11:4225;11:5200;11:6175;11:7150;11:8125;11:9100;11:10075;11:11050;11:12025;11:13000;11:13975;11:15600;11:17225;11:18850;11:20475;11:22100;11:23725;11:25350;11:26975;11:28600;11:30225;11:32500;11:34775;11:37050;11:39325;11:41600;11:43875;11:46150;11:48425;11:50700;11:52975
21,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,11:210;11:315;11:420;11:525;11:630;11:735;11:840;11:945;11:1050;11:1400;11:1750;11:2100;11:2450;11:2800;11:3150;11:3500;11:3850;11:4200;11:4550;11:5600;11:6650;11:7700;11:8750;11:9800;11:10850;11:11900;11:12950;11:14000;11:15050;11:16800;11:18550;11:20300;11:22050;11:23800;11:25550;11:27300;11:29050;11:30800;11:32550;11:35000;11:37450;11:39900;11:42350;11:44800;11:47250;11:49700;11:52150;11:54600;11:57050
26,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,11:225;11:337;11:450;11:562;11:675;11:787;11:900;11:1012;11:1125;11:1500;11:1875;11:2250;11:2625;11:3000;11:3375;11:3750;11:4125;11:4500;11:4875;11:6000;11:7125;11:8250;11:9375;11:10500;11:11625;11:12750;11:13875;11:15000;11:16125;11:18000;11:19875;11:21750;11:23625;11:25500;11:27375;11:29250;11:31125;11:33000;11:34875;11:37500;11:40125;11:42750;11:45375;11:48000;11:50625;11:53250;11:55875;11:58500;11:61125
31,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,11:255;11:382;11:510;11:637;11:765;11:892;11:1020;11:1147;11:1275;11:1700;11:2125;11:2550;11:2975;11:3400;11:3825;11:4250;11:4675;11:5100;11:5525;11:6800;11:8075;11:9350;11:10625;11:11900;11:13175;11:14450;11:15725;11:17000;11:18275;11:20400;11:22525;11:24650;11:26775;11:28900;11:31025;11:33150;11:35275;11:37400;11:39525;11:42500;11:45475;11:48450;11:51425;11:54400;11:57375;11:60350;11:63325;11:66300;11:69275
40,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70,11:18450;11:19700;11:20950;11:22700;11:24450;11:26200;11:27950;11:29700;11:31450;11:33200;11:34950;11:36700;11:38450;11:40700;11:42950;11:45200;11:47450;11:49700;11:51950;11:54200;11:56450;11:58700;11:60950;11:63700;11:66450;11:69200;11:71950;11:74700;11:77450;11:80200;11:82950;11:85700;11:88450;11:91450;11:94450;11:97450;11:100450;11:103450;11:106450;11:109450;11:112450;11:115450;11:118450;11:122450;11:126450;11:130450;11:134450;11:138450;11:142450
