固定ID,SP消耗,技能ID,技能等级
Id,Cost,SkillId,SkillLV
int,int,int,int
10000001,0,10000,1
10001001,0,10001,1
10002001,0,10002,1
10003001,0,10003,1
10015001,2,10015,1
10015002,2,10015,2
10015003,2,10015,3
10015004,2,10015,4
10015005,2,10015,5
10015006,2,10015,6
10015007,2,10015,7
10015008,2,10015,8
10015009,2,10015,9
10015010,3,10015,10
10017001,0,10017,1
10018001,0,10018,1
10019001,0,10019,1
10020001,0,10020,1
11901001,1,11901,1
11902001,1,11902,1
11903001,0,11903,1
11904001,0,11904,1
11905001,0,11905,1
12901001,1,12901,1
12902001,1,12902,1
12903001,0,12903,1
12904001,0,12904,1
13901001,1,13901,1
13902001,1,13902,1
13903001,0,13903,1
13904001,1,13904,1
14901001,1,14901,1
14902001,1,14902,1
14903001,0,14903,1
14904001,0,14904,1
14905001,0,14905,1
14906001,1,14906,1
15901001,1,15901,1
15902001,1,15902,1
15903001,0,15903,1
80800001,0,80800,1
80801001,0,80801,1
89000001,1,89000,1
89001001,1,89001,1
89002001,1,89002,1
89003001,1,89003,1
11000001,0,11000,1
11001001,0,11001,1
11002001,0,11002,1
11003001,0,11003,1
11025001,3,11025,1
11025002,3,11025,2
11025003,3,11025,3
11025004,3,11025,4
11025005,3,11025,5
11025006,3,11025,6
11025007,3,11025,7
11025008,3,11025,8
11025009,3,11025,9
11025010,3,11025,10
11025011,4,11025,11
11025012,4,11025,12
11025013,4,11025,13
11025014,4,11025,14
11025015,4,11025,15
11025016,4,11025,16
11025017,4,11025,17
11025018,4,11025,18
11025019,4,11025,19
11025020,5,11025,20
11025021,5,11025,21
11025022,5,11025,22
11025023,5,11025,23
11025024,5,11025,24
11025025,5,11025,25
11025026,5,11025,26
11025027,5,11025,27
11025028,5,11025,28
11025029,6,11025,29
11025030,6,11025,30
11025031,6,11025,31
11025032,6,11025,32
11025033,6,11025,33
11025034,6,11025,34
11025035,6,11025,35
11025036,6,11025,36
11025037,6,11025,37
11025038,7,11025,38
11025039,7,11025,39
11025040,7,11025,40
11025041,7,11025,41
11025042,7,11025,42
11025043,7,11025,43
11025044,7,11025,44
11025045,7,11025,45
11025046,7,11025,46
11025047,8,11025,47
11025048,8,11025,48
11025049,8,11025,49
11025050,8,11025,50
11025051,8,11025,51
11025052,8,11025,52
11025053,8,11025,53
11025054,8,11025,54
11025055,8,11025,55
11025056,9,11025,56
11025057,9,11025,57
11025058,9,11025,58
11025059,9,11025,59
11025060,9,11025,60
11025061,9,11025,61
11025062,9,11025,62
11025063,9,11025,63
11025064,9,11025,64
11025065,10,11025,65
11025066,10,11025,66
11025067,10,11025,67
11025068,10,11025,68
11025069,10,11025,69
11025070,10,11025,70
11025071,10,11025,71
11025072,10,11025,72
11025073,10,11025,73
11025074,11,11025,74
11025075,11,11025,75
11025076,11,11025,76
11025077,11,11025,77
11025078,11,11025,78
11025079,11,11025,79
11025080,11,11025,80
11025081,11,11025,81
11025082,11,11025,82
11025083,12,11025,83
11025084,12,11025,84
11025085,12,11025,85
11025086,12,11025,86
11025087,12,11025,87
11025088,12,11025,88
11025089,12,11025,89
11025090,12,11025,90
11025091,12,11025,91
11025092,13,11025,92
11025093,13,11025,93
11025094,13,11025,94
11025095,13,11025,95
11025096,13,11025,96
11025097,13,11025,97
11025098,13,11025,98
11025099,13,11025,99
11025100,13,11025,100
11026001,2,11026,1
11026002,2,11026,2
11026003,2,11026,3
11026004,2,11026,4
11026005,2,11026,5
11026006,2,11026,6
11026007,2,11026,7
11026008,2,11026,8
11026009,2,11026,9
11026010,2,11026,10
11026011,3,11026,11
11026012,3,11026,12
11026013,3,11026,13
11026014,3,11026,14
11026015,3,11026,15
11026016,3,11026,16
11026017,3,11026,17
11026018,3,11026,18
11026019,3,11026,19
11026020,4,11026,20
11026021,4,11026,21
11026022,4,11026,22
11026023,4,11026,23
11026024,4,11026,24
11026025,4,11026,25
11026026,4,11026,26
11026027,4,11026,27
11026028,4,11026,28
11026029,5,11026,29
11026030,5,11026,30
11026031,5,11026,31
11026032,5,11026,32
11026033,5,11026,33
11026034,5,11026,34
11026035,5,11026,35
11026036,5,11026,36
11026037,5,11026,37
11026038,6,11026,38
11026039,6,11026,39
11026040,6,11026,40
11026041,6,11026,41
11026042,6,11026,42
11026043,6,11026,43
11026044,6,11026,44
11026045,6,11026,45
11026046,6,11026,46
11026047,7,11026,47
11026048,7,11026,48
11026049,7,11026,49
11026050,7,11026,50
11026051,7,11026,51
11026052,7,11026,52
11026053,7,11026,53
11026054,7,11026,54
11026055,7,11026,55
11026056,8,11026,56
11026057,8,11026,57
11026058,8,11026,58
11026059,8,11026,59
11026060,8,11026,60
11026061,8,11026,61
11026062,8,11026,62
11026063,8,11026,63
11026064,8,11026,64
11026065,9,11026,65
11026066,9,11026,66
11026067,9,11026,67
11026068,9,11026,68
11026069,9,11026,69
11026070,9,11026,70
11026071,9,11026,71
11026072,9,11026,72
11026073,9,11026,73
11026074,10,11026,74
11026075,10,11026,75
11026076,10,11026,76
11026077,10,11026,77
11026078,10,11026,78
11026079,10,11026,79
11026080,10,11026,80
11026081,10,11026,81
11026082,10,11026,82
11026083,11,11026,83
11026084,11,11026,84
11026085,11,11026,85
11026086,11,11026,86
11026087,11,11026,87
11026088,11,11026,88
11026089,11,11026,89
11026090,11,11026,90
11026091,11,11026,91
11026092,12,11026,92
11026093,12,11026,93
11026094,12,11026,94
11026095,12,11026,95
11026096,12,11026,96
11026097,12,11026,97
11026098,12,11026,98
11026099,12,11026,99
11026100,12,11026,100
11027001,1,11027,1
11027002,1,11027,2
11027003,1,11027,3
11027004,1,11027,4
11027005,1,11027,5
11027006,1,11027,6
11027007,1,11027,7
11027008,1,11027,8
11027009,1,11027,9
11027010,1,11027,10
11027011,2,11027,11
11027012,2,11027,12
11027013,2,11027,13
11027014,2,11027,14
11027015,2,11027,15
11027016,2,11027,16
11027017,2,11027,17
11027018,2,11027,18
11027019,2,11027,19
11027020,3,11027,20
11027021,3,11027,21
11027022,3,11027,22
11027023,3,11027,23
11027024,3,11027,24
11027025,3,11027,25
11027026,3,11027,26
11027027,3,11027,27
11027028,3,11027,28
11027029,4,11027,29
11027030,4,11027,30
11027031,4,11027,31
11027032,4,11027,32
11027033,4,11027,33
11027034,4,11027,34
11027035,4,11027,35
11027036,4,11027,36
11027037,4,11027,37
11027038,5,11027,38
11027039,5,11027,39
11027040,5,11027,40
11027041,5,11027,41
11027042,5,11027,42
11027043,5,11027,43
