召唤Id,召唤名字,消耗道具顺序,召唤方式,钥匙掉落包,金币掉落包,额外奖励的累计次数,额外奖励的掉落包,界面排序,可用于表现的道具类型,解锁ID,活动Id,召唤类型,开服时间,召唤组
Id,Name,Cost,Method,DropId,DropId2,Total,ExtDropId,SortId,ShowItemType,UnLock,ActivitiesId,Type,StartDay,SummoType
int,string,list,list,int,int,int,int,int,list,int,int,int,int,int
1,卡片召唤,115:1;2:200,1;5,5981,5983,250,5982,1,9,,,1,7,1
2,宠物召唤,116:1;2:200,1;5,5991,5993,50,5992,2,21,63,,2,7,2
3,神器召唤,117:1;2:200,1;5,6050,6055,250,6060,11,48,74,,3,45,3
4,神器召唤,,,6064,6067,,6069,,,,,3,60,3
10,魔法祭坛,267:1;2:200,1;5,6061,6061,250,6063,11,48,,94,3,,
1000,魔法祭坛,255:1;2:200,1;5,6070,6070,250,6072,11,48,,103,3,,
1001,圣光祭坛,2:200,1;5,6073,6073,250,6074,11,48,,146,3,,
1002,魔法祭坛,277:1;2:200,1;5,6075,6075,250,6077,11,48,,149,3,,
