爬塔层数,对应奖励
Id,Reward
int,list
300,16001;
330,16001;16006;
360,16001;16006;16011;
390,16001;16006;16011;16016;
420,16001;16006;16011;16016;16021;
450,16001;16006;16011;16016;16021;16026;
480,16001;16006;16011;16016;16021;16026;16001;
510,16001;16006;16011;16016;16021;16026;16001;16006;
540,16001;16006;16011;16016;16021;16026;16001;16006;16011;
570,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;
600,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;
630,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;
660,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;
690,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;
720,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;
750,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;
780,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;
810,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;
840,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;
870,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;
900,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;
930,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;
960,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;
990,16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;16001;16006;16011;16016;16021;16026;
