任务ID,任务枚举,任务类型,任务奖励,后续ID,任务标题,任务描述,跳转界面,是否显示进度
TargetTaskId,TargetTaskCondition,TargetTaskType,TargetReward,FollowTaskOld,TargetTaskTitle,TargetTaskDescribe,SkipInterface,ShowState
int,list,int,list,int,string,string,int,int
10001,24:2,1,1:2000,10002,,,,1
10002,24:2,1,1001:1,10003,,,,1
10003,24:3,1,5001:1,10004,,,,1
10004,24:3,1,14000:1,10005,,,,1
10005,24:3,1,5004:1,10006,,,,1
10006,24:4,1,14000:1,10007,,,,1
10007,24:3,1,109:1,10008,,通关普隆德拉南门20后获得,,1
10008,24:3,1,14000:1,10009,,,,1
10009,24:3,1,106:1,20001,,,,1
20001,24:4,1,14000:1,20002,,,,1
20002,24:5,1,2:100,20003,,,,1
20003,24:5,1,9004:1,20004,,,,1
20004,24:5,1,14001:1,20005,,,,1
20005,24:5,1,2:120,20006,,,,1
20006,24:5,1,14001:1,20007,,,,1
20007,24:5,1,109:1,30001,,通关迷藏森林31后获得,,1
30001,24:5,1,100:15,30002,,,,1
30002,24:5,1,8004:1,30003,,,,1
30003,24:5,1,7004:1,30004,,,,1
30004,24:5,1,5004:1,30005,,,,1
30005,24:5,1,100:15,30006,,,,1
30006,24:5,1,13001:1,30007,,,,1
30007,24:5,1,14001:1,30008,,,,1
30008,24:5,1,2:140,40001,,,,1
40001,24:5,1,109:1,40002,,通关兽人村落1后获得,,1
40002,24:5,1,100:20,40003,,,,1
40003,24:5,1,2:160,40004,,,,1
40004,24:5,1,14001:1,40005,,,,1
40005,24:5,1,107:1,40006,,,,1
40006,24:5,1,2:180,40007,,,,1
40007,24:5,1,14001:1,40008,,,,1
40008,24:5,1,2:180,40009,,,,1
40009,24:5,1,2:180,50001,,,,1
50001,24:5,1,100:20,50002,,,,1
50002,24:5,1,12041:10,50003,,,,1
50003,24:5,1,2:200,50004,,,,1
50004,24:5,1,14001:1,50005,,,,1
50005,24:5,1,100:20,50006,,,,1
50006,24:5,1,101:10,50007,,,,1
50007,24:5,1,102:10,50008,,,,1
50008,24:5,1,9005:1,50009,,,,1
50009,24:5,1,2:180,50010,,,,1
50010,24:5,1,2:250,60001,,,,1
60001,24:5,1,2:180,60002,,,,1
60002,24:5,1,5007:1,60003,,,,1
60003,24:5,1,100:25,60004,,,,1
60004,24:5,1,6007:1,60005,,,,1
60005,24:5,1,8007:1,60006,,,,1
60006,24:5,1,100:25,60007,,,,1
60007,24:5,1,2:180,60008,,,,1
60008,24:5,1,2:180,60009,,,,1
60009,24:5,1,2:180,60010,,,,1
60010,24:5,1,2:180,70001,,,,1
70001,24:5,1,2:180,70002,,,,1
70002,24:5,1,2:180,70003,,,,1
70003,24:5,1,100:30,70004,,,,1
70004,24:5,1,2:300,70005,,,,1
70005,24:5,1,2:300,70006,,,,1
70006,24:5,1,2:300,70007,,,,1
70007,24:5,1,2:300,70008,,,,1
70008,24:5,1,2:300,70009,,,,1
70009,24:5,1,2:300,70010,,,,1
70010,24:5,1,2:300,80001,,,,1
80001,24:5,1,2:300,80002,,,,1
80002,24:5,1,2:300,80003,,,,1
80003,24:5,1,2:300,80004,,,,1
80004,24:5,1,2:300,80005,,,,1
80005,24:5,1,2:300,80006,,,,1
80006,24:5,1,2:300,80007,,,,1
80007,24:5,1,2:300,80008,,,,1
80008,24:5,1,2:300,80009,,,,1
80009,24:5,1,2:300,80010,,,,1
80010,24:5,1,2:300,,,,,1
