ID,界面ID,解锁条件列表,锁定提示,需要锁定,需要按钮遮挡,需要提示界面,需要引导,需要显示,前置,后置,强制引导
Id,UIId,UnlockCond,LockNotice,NeedLock,NeedMask,NeedNotify,NeedGuide,NeedDisplay,PrePose,PostPose,ForceGuideGroup
int,int,list,string,bool,bool,bool,bool,bool,int,int,int
2,140,11:30005,FunUnLock,true,true,true,true,false,,,
3,11,11:30035,FunUnLock,true,true,true,true,false,,,
4,11,11:50005,FunUnLock,true,true,true,true,false,,,
5,140,11:30025,FunUnLock,true,true,true,true,false,,,
7,140,11:30030,FunUnLock,true,true,true,false,false,,,
8,140,11:40030,FunUnLock,true,true,true,true,false,,,
10,2,11:10020,FunUnLock,true,true,true,true,false,,,
11,48,11:10010,FunUnLock,true,true,true,false,false,,,6
12,48,11:10010,FunUnLock,true,true,false,false,false,,,
13,48,11:10028,FunUnLock,true,true,true,true,false,,,
14,4,11:20015,FunUnLock,true,true,true,true,false,,,
15,2,11:60020,FunUnLock,true,true,true,true,false,,,19
16,48,11:50025,FunUnLock,true,true,true,true,false,,,
17,13,11:130063,FunUnLock,true,true,true,false,false,,,
19,48,11:10012,FunUnLock,true,true,true,false,false,,,7
20,13,11:20025,FunUnLock,true,true,true,true,false,,,12
21,111,11:10003,FunUnLock,false,true,true,false,false,,,3
23,111,11:10010,FunUnLock,false,true,false,false,false,,,
24,111,11:20011,FunUnLock,false,true,false,false,false,,,
25,111,11:30011,FunUnLock,false,true,false,false,false,,,
30,140,11:60040,FunUnLock,true,true,true,false,false,,,21
32,140,11:30015,FunUnLock,true,true,true,true,false,,,
33,140,11:20010,FunUnLock,true,true,true,false,false,,,11
34,2,11:10005,FunUnLock,false,false,false,false,false,,,
35,4,11:10008,FunUnLock,true,false,false,false,false,,,
36,2,11:10003,FunUnLock,true,true,false,false,false,,,
37,28,11:50005,FunUnLock,true,true,false,false,true,,,
38,13,37:40,CardUnlock,false,false,true,false,false,,,
39,13,37:75,CardUnlock,false,false,true,false,false,,,
40,13,37:105,CardUnlock,false,false,true,false,false,,,
41,48,11:40040,FunUnLock,true,true,true,true,false,,,
42,196,11:60020,FunUnLock,false,true,false,false,true,,,
43,196,11:70025,FunUnLock,false,true,false,false,true,,,
44,196,11:90025,FunUnLock,false,true,false,false,true,,,
45,196,11:110028,FunUnLock,false,true,false,false,true,,,
46,196,11:140020,FunUnLock,false,true,false,false,true,,,
47,196,11:180020,FunUnLock,false,true,false,false,true,,,
48,142,1002:1;11:30010,FunUnLock,true,true,false,false,true,,,
49,140,11:60025,FunUnLock,true,true,true,false,false,,,20
50,140,11:30010,FunUnLock,true,true,true,true,false,,,
51,48,11:100005,,false,false,true,false,false,,,
52,2,11:10013,,true,false,true,false,false,,,10
53,48,11:30035,FunUnLock,true,true,false,true,false,,,
54,2,1001:0;11:10013,,true,false,true,false,false,,,
55,169,1001:0;11:20001,FunUnlock,false,false,false,false,false,,,
56,173,11:60020,FunUnLock,false,false,true,false,true,,,
57,2,1001:0;11:10013,FunUnLock,true,false,true,false,false,,,
58,140,11:20030,FunUnLock,true,true,true,false,false,,,13
59,2,11:9990015,FunUnLock,false,false,false,false,false,,,
60,2,1001:0;11:10013,,true,false,false,false,false,,,
61,2,1001:0;11:10013,,true,false,false,false,false,,,
62,140,11:30020,,true,true,true,false,false,,,
63,140,11:60020,FunUnLock,true,true,true,true,false,,,
64,2,1001:0;11:10013,,true,false,false,false,false,,,
65,173,11:100048,,false,false,false,false,true,,,
66,2,11:10013,FunUnLock,true,false,false,false,false,,,
68,91,11:90010,FunUnLock,true,true,true,false,true,,,
69,91,11:80015,FunUnLock,true,true,true,false,true,,,
70,4,11:10009,,true,false,true,false,false,,,
71,2,1001:0;11:10013,,true,false,false,false,false,,,
72,140,1001:0,,false,false,false,false,false,,,
73,140,11:200020,,true,true,true,false,false,,,
74,0,11:250001,,true,true,false,false,false,,,
75,48,11:250001,,true,true,false,false,false,,,
76,101,37:1000,,true,true,false,false,true,,,
77,190,11:70040,,true,true,false,false,false,,,
