Vip等级,战斗X2加速,Vip道具奖励,Vip升级所需经验,恶魔免费刷新次数,VIP上线提示,宠物进阶消耗免费,卡片重铸免费,宠物分解全额返还,角色技能重置免费,公会狩猎额外次数,一键插卡功能,黑市VIP权重,世界BOSS刮奖次数,额外荣誉之证,时光之力购买次数,银币加成,基础经验加成,伙伴经验加成,技能经验加成,每日礼包购买次数+1,离线挂机时长上限（秒）,签到翻倍,世界BOSS挑战次数
Lv,QuickBattle,Reward,VipExp,EvilFreeTimes,VipLogin,PetAdvance,CardReset,PetBreak,SkillReset,GuildBossChallenge,CardInsertion,ShopWeight,WorldBoss,PvpReward,HangupTimes,SilverUp,BaseExpUp,PartnerExpUp,SkillExpUp,GiftBuyTimes,HangupDuration,SignInRewardUp,WorldBossCount
int,int,list,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,list,int,int,int
0,0,,500,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,,0,,0
1,0,604:1;11:20000,1500,3,0,0,0,0,0,0,1,0,3,0,1,500,500,0,0,1:501:1;2:502:2,3600,2,0
2,0,605:1;5:20000,3000,4,0,0,0,0,0,0,1,0,3,0,1,500,500,500,500,,7200,2,1
3,0,1:50000;301:1,4500,4,0,0,0,0,0,0,1,0,3,0,1,1000,1000,500,500,,10800,2,1
4,0,514:10;100:5,6000,5,0,0,0,0,0,0,1,0,3,10,2,1000,1000,1000,1000,,14400,2,2
5,1,606:1;5:50000,7500,5,0,0,0,0,0,0,1,1,3,10,2,2000,2000,1000,1000,1:501:1;2:502:2,18000,2,2
6,1,606:5;11:50000,11000,6,0,0,0,0,0,0,1,1,3,20,2,2000,2000,2000,2000,,21600,2,2
7,1,12144:1;1:100000,14500,6,0,0,0,0,0,0,1,1,3,20,3,3000,3000,2000,2000,,25200,2,3
8,1,110:5;512:5;113:1,18000,7,0,0,1,0,0,0,1,1,3,30,3,3000,3000,3000,3000,,28800,2,3
9,1,13075:1;5:100000,22000,7,0,1,1,0,0,0,1,1,3,30,4,4000,4000,3000,3000,,32400,2,3
10,1,841:1;11:100000;19:20000,50000,8,0,1,1,1,0,0,1,2,3,40,4,4000,4000,5000,5000,,36000,2,4
11,1,607:3;1:100000;302:1;264:1,100000,8,0,1,1,1,1,1,1,2,3,40,5,6000,6000,5000,5000,1:501:1;2:502:2;3:501:1,43200,2,4
12,1,12144:2;5:150000,150000,9,0,1,1,1,1,1,1,3,3,50,5,6000,6000,7500,7500,,57600,2,4
13,1,261:1;841:1;841:1;11:150000;19:50000;264:1,250000,0,0,1,1,1,1,1,1,3,3,50,5,8000,8000,7500,7500,,72000,2,5
14,1,9010:1;12144:1;303:1,500000,0,0,1,1,1,1,1,1,4,3,60,6,8000,8000,10000,10000,,86400,2,5
15,1,841:1;841:1;13085:1;19:100000;264:1,750000,0,0,1,1,1,1,1,1,4,3,70,6,10000,10000,10000,11000,,172800,2,5
16,1,327:1;520:3;851:1,1000000,0,0,1,1,1,1,1,1,4,3,80,7,11000,11000,10000,12000,,216000,2,5
17,1,690:1;520:3;851:1,1300000,0,0,1,1,1,1,1,1,4,3,90,7,12000,12000,10000,13000,,259200,2,5
18,1,328:1;520:3;851:1,1600000,0,0,1,1,1,1,1,1,4,3,100,8,13000,13000,10000,14000,,302400,2,5
19,1,690:1;520:3;851:1,2000000,0,0,1,1,1,1,1,1,4,3,110,8,14000,14000,10000,15000,,345600,2,5
20,1,329:1;520:3;851:1,2400000,0,0,1,1,1,1,1,1,4,3,120,9,15000,15000,10000,16000,,388800,2,5
21,1,11202:1;117:100;851:1,2800000,0,0,1,1,1,1,1,1,4,3,140,9,15000,17500,10000,17000,,388800,2,5
22,1,11562:1;117:100;851:1,2800000,0,0,1,1,1,1,1,1,4,3,160,9,15000,20000,10000,18000,,388800,2,5
