全局配置id,召唤物id,开服时间,解锁条件,召唤时间,存活时间,1等奖,2等奖,3等奖奖,中将概率,衰减概率,系统掉血
Id,SummonId,StartDay,Tiaozhantiaojian,SummonTime,LifeTime,FirstRewardServer,SecondRewardServer,ThreeRewardServer,Roll,Roll2,AutoHp
int,int,int,int,list,int,list,list,list,list,list,list
1,1003,1,10006,10:30;15:00;19:00;22:30,604800,12139:1;2:50;5004:1;1:50000,531:1;2:20;5003:1;1:30000,12102:3;2:10;5003:1;1:20000,30;2000;2000,20;1050;600,0
2,1000,1,10006,10:30;15:00;19:00;22:30,10800,531:1;2:30;7003:1;1:30000,530:3;2:20;7002:1;1:20000,12103:3;2:10;7002:1;1:10000,100;1000;1000,100;600;300,60:100
3,1001,1,50030,10:30;15:00;19:00;22:30,10800,531:2;2:30;8003:1;1:30000,530:4;2:20;8002:1;1:20000,12104:3;2:10;8002:1;1:10000,100;1000;1000,100;600;300,60:100
4,1002,1,70030,10:30;15:00;19:00;22:30,10800,531:3;2:30;9003:1;1:30000,530:5;2:20;9002:1;1:20000,12105:3;2:10;9002:1;1:10000,100;1000;1000,100;600;300,60:100
5,1007,3,10006,10:30;15:00;19:00;22:30,604800,12139:1;2:50;5004:1;1:50000,531:1;2:20;5003:1;1:30000,12102:3;2:10;5003:1;1:20000,30;2000;2000,50;1050;600,0
6,1004,3,10006,10:30;15:00;19:00;22:30,10800,531:1;2:30;7003:1;1:30000,530:3;2:20;7002:1;1:20000,12103:3;2:10;7002:1;1:10000,100;1000;1000,100;600;300,60:100
7,1005,3,50030,10:30;15:00;19:00;22:30,10800,531:2;2:30;8003:1;1:30000,530:4;2:20;8002:1;1:20000,12104:3;2:10;8002:1;1:10000,100;1000;1000,100;600;300,60:100
8,1006,3,70030,10:30;15:00;19:00;22:30,10800,531:3;2:30;9003:1;1:30000,530:5;2:20;9002:1;1:20000,12105:3;2:10;9002:1;1:10000,100;1000;1000,100;600;300,60:100
9,1011,7,10006,10:30;15:00;19:00;22:30,604800,12139:1;2:50;5004:1;1:50000,531:2;2:20;5003:1;1:30000,531:1;2:10;5003:1;1:20000,30;2000;2000,50;1050;600,0
10,1008,7,10006,10:30;15:00;19:00;22:30,10800,531:1;2:30;7003:1;1:30000,530:3;2:20;7002:1;1:20000,12103:3;2:10;7002:1;1:10000,100;1000;1000,100;600;300,60:100
11,1009,7,50030,10:30;15:00;19:00;22:30,10800,531:2;2:30;8003:1;1:30000,530:4;2:20;8002:1;1:20000,12104:3;2:10;8002:1;1:10000,100;1000;1000,100;600;300,60:100
12,1010,7,70030,10:30;15:00;19:00;22:30,10800,531:3;2:30;9003:1;1:30000,530:5;2:20;9002:1;1:20000,12105:3;2:10;9002:1;1:10000,100;1000;1000,100;600;300,60:100
13,1015,14,10006,10:30;15:00;19:00;22:30,604800,12139:1;101:10;102:10;5005:1,531:2;101:5;102:5;5004:1,531:1;101:2;102:2;5004:1,30;2000;2000,50;1050;600,0
14,1012,14,10006,10:30;15:00;19:00;22:30,10800,531:2;101:10;102:10;7004:1,530:5;101:2;102:2;7003:1,530:2;101:1;102:1;7003:1,100;1000;1000,100;600;300,60:100
15,1013,14,50030,10:30;15:00;19:00;22:30,10800,531:3;101:10;102:10;8004:1,530:7;101:3;102:3;8003:1,530:3;101:1;102:1;8003:1,100;1000;1000,100;600;300,60:100
16,1014,14,70030,10:30;15:00;19:00;22:30,10800,531:4;101:10;102:10;9004:1,530:10;101:4;102:4;9003:1,530:4;101:1;102:1;9003:1,100;1000;1000,100;600;300,60:100
